# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/5950  : Характер роста
gid://shopify/TaxonomyAttribute/8399  : Тип конструкции защиты
gid://shopify/TaxonomyAttribute/8400  : Основа измерения размера защиты
gid://shopify/TaxonomyAttribute/7553  : Тип защиты
gid://shopify/TaxonomyAttribute/7795  : Цвет мякоти гуавы
gid://shopify/TaxonomyAttribute/7796  : Сорт гуавы
gid://shopify/TaxonomyAttribute/7554  : Материал направляющей
gid://shopify/TaxonomyAttribute/7555  : Тип колец
gid://shopify/TaxonomyAttribute/7556  : Разметка направляющих линий
gid://shopify/TaxonomyAttribute/9664  : Материал скребка гуиро
gid://shopify/TaxonomyAttribute/9665  : Тип поверхности гуиро
gid://shopify/TaxonomyAttribute/9666  : Тип отделки корпуса гитары
gid://shopify/TaxonomyAttribute/9667  : Тип бридж-системы гитары
gid://shopify/TaxonomyAttribute/9668  : Тип кейса для гитары
gid://shopify/TaxonomyAttribute/3288  : Тип фурнитуры или детали для гитары
gid://shopify/TaxonomyAttribute/9669  : Место размещения увлажнителя для гитары
gid://shopify/TaxonomyAttribute/9670  : Конфигурация входов и выходов гитарной педали
gid://shopify/TaxonomyAttribute/9671  : Тип выходного разъема гитарной педали
gid://shopify/TaxonomyAttribute/2479  : Размер гитары
gid://shopify/TaxonomyAttribute/9672  : Отделка слайда для гитары
gid://shopify/TaxonomyAttribute/9673  : Стиль слайда для гитары
gid://shopify/TaxonomyAttribute/9674  : Тип стойки для гитары
gid://shopify/TaxonomyAttribute/9675  : Тип крепления ремня для гитары
gid://shopify/TaxonomyAttribute/9676  : Материал концов ремня для гитары
gid://shopify/TaxonomyAttribute/9677  : Характеристики гитарного ремня
gid://shopify/TaxonomyAttribute/9678  : Покрытие гитарных струн
gid://shopify/TaxonomyAttribute/9679  : Тип калибра гитарных струн
gid://shopify/TaxonomyAttribute/9680  : Категория калибра комплекта гитарных струн
gid://shopify/TaxonomyAttribute/9681  : Тип обмотки гитарных струн
gid://shopify/TaxonomyAttribute/9682  : Форма кнопки колка гитары
gid://shopify/TaxonomyAttribute/9683  : Конфигурация колков гитары
gid://shopify/TaxonomyAttribute/9684  : Стиль крепления колков
gid://shopify/TaxonomyAttribute/9685  : Тип штока колка гитары
gid://shopify/TaxonomyAttribute/9686  : Стиль колков
gid://shopify/TaxonomyAttribute/9687  : Состояние клея
gid://shopify/TaxonomyAttribute/9688  : Тип действия оружия
gid://shopify/TaxonomyAttribute/9689  : Рабочее состояние оружия
gid://shopify/TaxonomyAttribute/9690  : Тип оружия
gid://shopify/TaxonomyAttribute/6709  : Материал вставки
gid://shopify/TaxonomyAttribute/2098  : Тип фурнитуры для водосточных желобов
gid://shopify/TaxonomyAttribute/3112  : Конструкция водосточного желоба
gid://shopify/TaxonomyAttribute/7557  : Гимнастическая дисциплина
gid://shopify/TaxonomyAttribute/5590  : Поддерживаемая версия HDMI
gid://shopify/TaxonomyAttribute/1959  : Стандарт HDR
gid://shopify/TaxonomyAttribute/5059  : Поколение теста на ВИЧ
gid://shopify/TaxonomyAttribute/8443  : Функции управления HVAC
gid://shopify/TaxonomyAttribute/2137  : Тип управления системой ОВиК
gid://shopify/TaxonomyAttribute/2898  : Материал жилища для животных
gid://shopify/TaxonomyAttribute/5157  : Эффект для волос
gid://shopify/TaxonomyAttribute/1645  : Эффект от ухода за волосами
gid://shopify/TaxonomyAttribute/3346  : Состав набора для ухода за волосами
gid://shopify/TaxonomyAttribute/1647  : Технология ухода за волосами
gid://shopify/TaxonomyAttribute/3332  : Цвет волос
gid://shopify/TaxonomyAttribute/5161  : Формула краски для волос
gid://shopify/TaxonomyAttribute/5165  : Материал волокон маскирующего средства для волос
gid://shopify/TaxonomyAttribute/5156  : Тип мотора фена
gid://shopify/TaxonomyAttribute/5164  : Тип удаляемой краски для волос
gid://shopify/TaxonomyAttribute/6710  : Текстура наращенных волос
gid://shopify/TaxonomyAttribute/1643  : Тип выпадения волос
gid://shopify/TaxonomyAttribute/6711  : Тип сетки для волос
gid://shopify/TaxonomyAttribute/5159  : Применение масла для волос
gid://shopify/TaxonomyAttribute/5158  : Эффект масла для волос
gid://shopify/TaxonomyAttribute/6712  : Класс качества волос
gid://shopify/TaxonomyAttribute/3347  : Тип ножниц для волос
gid://shopify/TaxonomyAttribute/5150  : Преимущества для укладки волос
gid://shopify/TaxonomyAttribute/3348  : Состав набора для укладки волос
gid://shopify/TaxonomyAttribute/3135  : Характеристики инструмента для укладки волос
gid://shopify/TaxonomyAttribute/5160  : Эффект средства для волос
gid://shopify/TaxonomyAttribute/1199  : Тип волос
gid://shopify/TaxonomyAttribute/7558  : Тип недоуздка
gid://shopify/TaxonomyAttribute/2920  : Материал бойка молотка
gid://shopify/TaxonomyAttribute/7559  : Тип гамака
gid://shopify/TaxonomyAttribute/6713  : Покрытие рук и ног
gid://shopify/TaxonomyAttribute/9691  : Конфигурация набора ручных тарелок
gid://shopify/TaxonomyAttribute/9692  : Материал мембраны ручного барабана
gid://shopify/TaxonomyAttribute/5951  : Тип аксессуара для сушилки для рук
gid://shopify/TaxonomyAttribute/7560  : Тип тренажера для кистей
gid://shopify/TaxonomyAttribute/8401  : Материал каркаса защиты рук
gid://shopify/TaxonomyAttribute/8402  : Тип покрытия защиты рук
gid://shopify/TaxonomyAttribute/8403  : Тип крепления защиты рук
gid://shopify/TaxonomyAttribute/8404  : Конфигурация набора защиты рук
gid://shopify/TaxonomyAttribute/7561  : Тип защиты рук
gid://shopify/TaxonomyAttribute/8405  : Защита рук от погодных условий
gid://shopify/TaxonomyAttribute/7562  : Тип ремня для лопаток
gid://shopify/TaxonomyAttribute/9693  : Механизм крепления ручной перкуссии
gid://shopify/TaxonomyAttribute/9694  : Способ размещения и удержания ручной перкуссии
gid://shopify/TaxonomyAttribute/9695  : Тип высоты звучания ручной перкуссии
gid://shopify/TaxonomyAttribute/9696  : Способ игры на ручной перкуссии
gid://shopify/TaxonomyAttribute/9697  : Конфигурация комплекта ручной перкуссии
gid://shopify/TaxonomyAttribute/9698  : Размерный класс ручной перкуссии
gid://shopify/TaxonomyAttribute/1208  : Назначение для правой или левой руки
gid://shopify/TaxonomyAttribute/5241  : Характеристики мыла для рук
gid://shopify/TaxonomyAttribute/7563  : Уровень поддержки руки
gid://shopify/TaxonomyAttribute/7564  : Размер поддержки руки
gid://shopify/TaxonomyAttribute/3183  : Тип грелки для рук
gid://shopify/TaxonomyAttribute/9699  : Тип острия иглы для ручного шитья
gid://shopify/TaxonomyAttribute/7565  : Тип мяча для гандбола
gid://shopify/TaxonomyAttribute/7566  : Игровая поверхность для гандбола
gid://shopify/TaxonomyAttribute/7567  : Тип мишени для гандбола
gid://shopify/TaxonomyAttribute/8406  : Тип приведения ручного тормоза
gid://shopify/TaxonomyAttribute/8407  : Ориентация ручного тормоза
gid://shopify/TaxonomyAttribute/2581  : Тип замка на наручниках
gid://shopify/TaxonomyAttribute/9700  : Материал рукоятки пистолета
gid://shopify/TaxonomyAttribute/7568  : Конфигурация ручки
gid://shopify/TaxonomyAttribute/5952  : Тип крепления ручки
gid://shopify/TaxonomyAttribute/2194  : Конструкция рукоятки
gid://shopify/TaxonomyAttribute/9701  : Эргономика рукоятки
gid://shopify/TaxonomyAttribute/7569  : Материал рукоятки
gid://shopify/TaxonomyAttribute/5953  : Тип ручки
gid://shopify/TaxonomyAttribute/1669  : Текстура поверхности ручки
gid://shopify/TaxonomyAttribute/7570  : Тип рукоятки
gid://shopify/TaxonomyAttribute/5954  : Регулировка длины рукоятки
gid://shopify/TaxonomyAttribute/1295  : Материал ручки
gid://shopify/TaxonomyAttribute/5955  : Расположение рукоятки
gid://shopify/TaxonomyAttribute/7571  : Форма рукоятки
gid://shopify/TaxonomyAttribute/5070  : Тип ручки
gid://shopify/TaxonomyAttribute/1597  : Тип ручки
gid://shopify/TaxonomyAttribute/7572  : Конструкция руля
gid://shopify/TaxonomyAttribute/7573  : Тип руля
gid://shopify/TaxonomyAttribute/5956  : Конфигурация поручней
gid://shopify/TaxonomyAttribute/1849  : Тип трубки
gid://shopify/TaxonomyAttribute/9702  : Тип канала кулисы
gid://shopify/TaxonomyAttribute/6714  : Тип манжеты перчаток
gid://shopify/TaxonomyAttribute/3003  : Характеристики перчаток или варежек
gid://shopify/TaxonomyAttribute/7574  : Материал утеплителя перчаток
gid://shopify/TaxonomyAttribute/2780  : Материал перчаток или варежек
gid://shopify/TaxonomyAttribute/7575  : Размер перчаток
gid://shopify/TaxonomyAttribute/3255  : Тип перчаток или варежек
gid://shopify/TaxonomyAttribute/7576  : Конструкция дельтаплана
gid://shopify/TaxonomyAttribute/7577  : Размер резьбы держателя
gid://shopify/TaxonomyAttribute/5957  : Тип подвесного крепления
gid://shopify/TaxonomyAttribute/1530  : Конструкция подвесного кресла
gid://shopify/TaxonomyAttribute/6916  : Способ подвесного крепления
gid://shopify/TaxonomyAttribute/5639  : Тип тактильной обратной связи
gid://shopify/TaxonomyAttribute/1459  : Тип сидра
gid://shopify/TaxonomyAttribute/3086  : Характеристики жесткого диска
gid://shopify/TaxonomyAttribute/3314  : Форм-фактор жесткого диска
gid://shopify/TaxonomyAttribute/3315  : Установка жесткого диска
gid://shopify/TaxonomyAttribute/2634  : Класс каски
gid://shopify/TaxonomyAttribute/5958  : Зона зимостойкости
gid://shopify/TaxonomyAttribute/2255  : Твердость
gid://shopify/TaxonomyAttribute/5031  : Оценка твердости (по шкале карандашей)
gid://shopify/TaxonomyAttribute/8408  : Тип отделки хардтопа
gid://shopify/TaxonomyAttribute/8409  : Материал корпуса хардтопа
gid://shopify/TaxonomyAttribute/8410  : Конфигурация окон хардтопа
gid://shopify/TaxonomyAttribute/2081  : Покрытие оборудования или технического изделия
gid://shopify/TaxonomyAttribute/2790  : Материал оборудования или технического изделия
gid://shopify/TaxonomyAttribute/2132  : Способ установки оборудования или технического изделия
gid://shopify/TaxonomyAttribute/2094  : Сорт лесоматериалов из лиственных пород
gid://shopify/TaxonomyAttribute/9703  : Материал гребенки гармоники
gid://shopify/TaxonomyAttribute/9704  : Отделка крышек губной гармоники
gid://shopify/TaxonomyAttribute/9705  : Материал крышек гармоники
gid://shopify/TaxonomyAttribute/9706  : Отделка гармоники
gid://shopify/TaxonomyAttribute/9707  : Аксессуары в комплекте гармоники
gid://shopify/TaxonomyAttribute/9708  : Диапазон звучания губной гармоники
gid://shopify/TaxonomyAttribute/9709  : Материал язычковых пластин губной гармоники
gid://shopify/TaxonomyAttribute/9710  : Система или тип губной гармоники
gid://shopify/TaxonomyAttribute/9711  : Система настройки гармоники
gid://shopify/TaxonomyAttribute/1269  : Тип застежки в страховочной системе
gid://shopify/TaxonomyAttribute/7578  : Тип оболочки страховочной системы
gid://shopify/TaxonomyAttribute/7579  : Тип страховочной системы
gid://shopify/TaxonomyAttribute/7580  : Тип упряжи
gid://shopify/TaxonomyAttribute/9712  : Тип механики арфы
gid://shopify/TaxonomyAttribute/9713  : Отделка арфы
gid://shopify/TaxonomyAttribute/9714  : Аксессуары арфы
gid://shopify/TaxonomyAttribute/2481  : Размер арфы
gid://shopify/TaxonomyAttribute/7797  : Метод добычи
gid://shopify/TaxonomyAttribute/7798  : Стадия сбора урожая
gid://shopify/TaxonomyAttribute/9715  : Стиль шляпы
gid://shopify/TaxonomyAttribute/2093  : Место установки люка
gid://shopify/TaxonomyAttribute/8411  : Режим аварийного сигнала
gid://shopify/TaxonomyAttribute/5959  : Обнаруживаемые опасности
gid://shopify/TaxonomyAttribute/2636  : Тип защитного костюма
gid://shopify/TaxonomyAttribute/7581  : Конфигурация головки
gid://shopify/TaxonomyAttribute/9716  : Материал мембраны
gid://shopify/TaxonomyAttribute/7582  : Тип движения головки
gid://shopify/TaxonomyAttribute/9717  : Сторона мембраны
gid://shopify/TaxonomyAttribute/7583  : Тип утяжеления головки
gid://shopify/TaxonomyAttribute/6715  : Декор ободка
gid://shopify/TaxonomyAttribute/6917  : Тип изголовья
gid://shopify/TaxonomyAttribute/7584  : Конфигурация ремней шлема
gid://shopify/TaxonomyAttribute/9718  : Тип коронки головки флейты
gid://shopify/TaxonomyAttribute/2485  : Срез головки флейты
gid://shopify/TaxonomyAttribute/9719  : Стандарт строя головки флейты
gid://shopify/TaxonomyAttribute/8412  : Форма обивки потолка
gid://shopify/TaxonomyAttribute/5426  : Форма амбушюров наушников
gid://shopify/TaxonomyAttribute/5448  : Технология драйвера наушников
gid://shopify/TaxonomyAttribute/1807  : Тип разъема для наушников
gid://shopify/TaxonomyAttribute/1814  : Тип наушников
gid://shopify/TaxonomyAttribute/8413  : Способ крепления держателя подголовника
gid://shopify/TaxonomyAttribute/8414  : Комплектация подголовниками
gid://shopify/TaxonomyAttribute/5009  : Тип подключения гарнитуры
gid://shopify/TaxonomyAttribute/7585  : Стандарт рулевой колонки
gid://shopify/TaxonomyAttribute/7586  : Тип уздечки
gid://shopify/TaxonomyAttribute/3004  : Характеристики головного убора
gid://shopify/TaxonomyAttribute/6716  : Предполагаемое назначение головного убора
gid://shopify/TaxonomyAttribute/5518  : Совместимость со слуховыми аппаратами
gid://shopify/TaxonomyAttribute/5046  : Сторона уха для слухового аппарата
gid://shopify/TaxonomyAttribute/3124  : Характеристики слухового аппарата
gid://shopify/TaxonomyAttribute/2828  : Материал слухового аппарата
gid://shopify/TaxonomyAttribute/7587  : Тип усилителя слуха
gid://shopify/TaxonomyAttribute/5047  : Уровень потери слуха
gid://shopify/TaxonomyAttribute/5312  : Класс защиты слуха
gid://shopify/TaxonomyAttribute/7588  : Метод мониторинга пульса
gid://shopify/TaxonomyAttribute/7589  : Технология измерения пульса
gid://shopify/TaxonomyAttribute/7590  : Расположение датчика пульса
gid://shopify/TaxonomyAttribute/1654  : Функция подогрева
gid://shopify/TaxonomyAttribute/1485  : Острота
gid://shopify/TaxonomyAttribute/6717  : Технология удержания тепла
gid://shopify/TaxonomyAttribute/1649  : Регулировка нагрева
gid://shopify/TaxonomyAttribute/2825  : Способ нагрева грелки
gid://shopify/TaxonomyAttribute/5121  : Тип тепловой терапии
gid://shopify/TaxonomyAttribute/8415  : Особенности обогреваемого стекла
gid://shopify/TaxonomyAttribute/8416  : Способ управления отопителем
gid://shopify/TaxonomyAttribute/8417  : Тип электрического разъема блока управления отопителем
gid://shopify/TaxonomyAttribute/1499  : Инструкции по подогреву
gid://shopify/TaxonomyAttribute/1772  : Способ нагрева
gid://shopify/TaxonomyAttribute/5122  : Дизайн грелки
gid://shopify/TaxonomyAttribute/5120  : Характеристики грелки
gid://shopify/TaxonomyAttribute/1773  : Скорость нагрева
gid://shopify/TaxonomyAttribute/5960  : Ступени нагрева
gid://shopify/TaxonomyAttribute/7799  : Технология нагрева
gid://shopify/TaxonomyAttribute/128   : Высота каблука
gid://shopify/TaxonomyAttribute/6718  : Форма каблука
gid://shopify/TaxonomyAttribute/3267  : Тип обуви на каблуке
gid://shopify/TaxonomyAttribute/2404  : Регулировка высоты
gid://shopify/TaxonomyAttribute/5060  : Метод обнаружения хеликобактер пилори
gid://shopify/TaxonomyAttribute/8418  : Тип назначения вертолета
gid://shopify/TaxonomyAttribute/8419  : Конфигурация роторов вертолета
gid://shopify/TaxonomyAttribute/7591  : Тип аксессуара шлема
gid://shopify/TaxonomyAttribute/8420  : Тип аудиоразъема шлема
gid://shopify/TaxonomyAttribute/8421  : Совместимость шлема с системой связи
gid://shopify/TaxonomyAttribute/7592  : Тип конструкции шлема
gid://shopify/TaxonomyAttribute/8422  : Посадка шлема (форма головы)
gid://shopify/TaxonomyAttribute/8423  : Тип внутренней подкладки шлема
gid://shopify/TaxonomyAttribute/7593  : Материал внутренней подкладки шлема
gid://shopify/TaxonomyAttribute/8424  : Тип застежки системы фиксации шлема
gid://shopify/TaxonomyAttribute/7594  : Сертификация безопасности шлема
gid://shopify/TaxonomyAttribute/8425  : Стандарт сертификации безопасности шлема
gid://shopify/TaxonomyAttribute/2639  : Затемнение маски
gid://shopify/TaxonomyAttribute/8426  : Материал корпуса шлема
gid://shopify/TaxonomyAttribute/8427  : Система размеров шлема
gid://shopify/TaxonomyAttribute/8428  : Тип солнцезащитного визора шлема
gid://shopify/TaxonomyAttribute/8429  : Совместимость шлема с типом транспорта
gid://shopify/TaxonomyAttribute/8430  : Регулировка вентиляции шлема
gid://shopify/TaxonomyAttribute/8431  : Конфигурация вентиляции шлема
gid://shopify/TaxonomyAttribute/8433  : Оптические особенности (щитка) визора шлема
gid://shopify/TaxonomyAttribute/8432  : Регулировка козырька или визора шлема
gid://shopify/TaxonomyAttribute/8434  : Тип визора или щитка шлема
gid://shopify/TaxonomyAttribute/6719  : Тип подгиба
gid://shopify/TaxonomyAttribute/6430  : Совместимость с полушарием
gid://shopify/TaxonomyAttribute/6720  : Тип линии низа
gid://shopify/TaxonomyAttribute/7800  : Назначение травяного настоя
gid://shopify/TaxonomyAttribute/5133  : Назначение травяной добавки
gid://shopify/TaxonomyAttribute/8435  : Размер шестигранника
gid://shopify/TaxonomyAttribute/9720  : Тип пары хай-хэтов
gid://shopify/TaxonomyAttribute/9721  : Характер звучания хай-хэта
gid://shopify/TaxonomyAttribute/6721  : Класс видимости
gid://shopify/TaxonomyAttribute/7595  : Тип хайбэка
gid://shopify/TaxonomyAttribute/8436  : Диаметр шара фаркопа
gid://shopify/TaxonomyAttribute/8437  : Тип крепления шара фаркопа
gid://shopify/TaxonomyAttribute/2717  : Класс сцепного устройства
gid://shopify/TaxonomyAttribute/1274  : Тип сцепки
gid://shopify/TaxonomyAttribute/6431  : Тип рукоятки игрушечной лошадки
gid://shopify/TaxonomyAttribute/6432  : Звуковые особенности игрушечной лошадки
gid://shopify/TaxonomyAttribute/2852  : Состав набора инвентаря для хоккея
gid://shopify/TaxonomyAttribute/7596  : Тип хоккейных ворот
gid://shopify/TaxonomyAttribute/7597  : Размерная категория хоккея
gid://shopify/TaxonomyAttribute/7598  : Размерный сегмент хоккейной экипировки
gid://shopify/TaxonomyAttribute/1646  : Степень фиксации
gid://shopify/TaxonomyAttribute/7599  : Текстура поверхности захвата
gid://shopify/TaxonomyAttribute/5484  : Тип металлизации отверстий
gid://shopify/TaxonomyAttribute/5961  : Особенности охранной сигнализации
gid://shopify/TaxonomyAttribute/9722  : Тип проекта выкройки для домашнего декора
gid://shopify/TaxonomyAttribute/8438  : Омологация или свод правил
gid://shopify/TaxonomyAttribute/7801  : Форма меда
gid://shopify/TaxonomyAttribute/7802  : Метод обработки меда
gid://shopify/TaxonomyAttribute/7803  : Сорт меда
gid://shopify/TaxonomyAttribute/7600  : Конфигурация капюшона
gid://shopify/TaxonomyAttribute/6722  : Конструкция капюшона
gid://shopify/TaxonomyAttribute/6723  : Стиль капюшона
gid://shopify/TaxonomyAttribute/6724  : Тип капюшона
gid://shopify/TaxonomyAttribute/9727  : Формат застежки hook & loop
gid://shopify/TaxonomyAttribute/9728  : Сторона текстильной застежки
gid://shopify/TaxonomyAttribute/9723  : Размер крючков и петель (номер крючка)
gid://shopify/TaxonomyAttribute/9724  : Класс нагрузки текстильной застежки
gid://shopify/TaxonomyAttribute/9726  : Сторона текстильной застежки
gid://shopify/TaxonomyAttribute/7601  : Покрытие/отделка крючка
gid://shopify/TaxonomyAttribute/7602  : Конфигурация крючков
gid://shopify/TaxonomyAttribute/2130  : Конструкция крюка
gid://shopify/TaxonomyAttribute/7603  : Стиль ушка крючка
gid://shopify/TaxonomyAttribute/7604  : Тип ушка крючка
gid://shopify/TaxonomyAttribute/2352  : Тип ручки крючка
gid://shopify/TaxonomyAttribute/7605  : Материал крюка
gid://shopify/TaxonomyAttribute/9729  : Тип органайзера для крючков
gid://shopify/TaxonomyAttribute/7606  : Конфигурация острия крючка
gid://shopify/TaxonomyAttribute/7607  : Тип жала крючка
gid://shopify/TaxonomyAttribute/7608  : Длина цевья крючка
gid://shopify/TaxonomyAttribute/2353  : Размер крючка
gid://shopify/TaxonomyAttribute/5962  : Тип крючка
gid://shopify/TaxonomyAttribute/2731  : Тип крюка
gid://shopify/TaxonomyAttribute/9725  : Формат текстильной застежки
gid://shopify/TaxonomyAttribute/9730  : Способ крепления крючков и петель
gid://shopify/TaxonomyAttribute/1288  : Форма обруча
gid://shopify/TaxonomyAttribute/7609  : Тип hop-up
gid://shopify/TaxonomyAttribute/10582 : Тип попоны для лошади
gid://shopify/TaxonomyAttribute/10583 : Тип щетки для лошади
gid://shopify/TaxonomyAttribute/10584 : Назначение средств ухода за лошадьми
gid://shopify/TaxonomyAttribute/1286  : Вид лошади
gid://shopify/TaxonomyAttribute/10585 : Стадия кормления лошади
gid://shopify/TaxonomyAttribute/10586 : Тип инструмента для груминга лошадей
gid://shopify/TaxonomyAttribute/2879  : Аксессуары для ухода за лошадьми в комплекте
gid://shopify/TaxonomyAttribute/10587 : Тип защиты ног лошади
gid://shopify/TaxonomyAttribute/9731  : Порода модели лошади
gid://shopify/TaxonomyAttribute/2919  : Материал шланга
gid://shopify/TaxonomyAttribute/6725  : Тип носочной части чулочно-носочных изделий
gid://shopify/TaxonomyAttribute/1919  : Интерфейс хоста
gid://shopify/TaxonomyAttribute/8439  : Тип корзины воздушного шара
gid://shopify/TaxonomyAttribute/8440  : Тип горелки воздушного шара
gid://shopify/TaxonomyAttribute/8441  : Материал оболочки воздушного шара
gid://shopify/TaxonomyAttribute/9732  : Инструмент для нанесения методом «хотфикс»
gid://shopify/TaxonomyAttribute/10588 : Тип оси втулки
gid://shopify/TaxonomyAttribute/10589 : Тип мотор-колеса
gid://shopify/TaxonomyAttribute/3317  : Возможности стекирования концентратора или коммутатора
gid://shopify/TaxonomyAttribute/6433  : Тип конструкции хулахупа
gid://shopify/TaxonomyAttribute/6434  : Особенности хулахупа
gid://shopify/TaxonomyAttribute/10590 : Конструкция корпуса
gid://shopify/TaxonomyAttribute/8442  : Тип корпуса
gid://shopify/TaxonomyAttribute/5084  : Система увлажнения
gid://shopify/TaxonomyAttribute/3289  : Конструкция увлажнителя
gid://shopify/TaxonomyAttribute/5963  : Характеристики увлажнителя
gid://shopify/TaxonomyAttribute/6297  : Тип фильтра увлажнителя
gid://shopify/TaxonomyAttribute/9733  : Тип наполнителя увлажнителя
gid://shopify/TaxonomyAttribute/9734  : Способ заправки увлажнителя
gid://shopify/TaxonomyAttribute/9735  : Увлажняющий элемент
gid://shopify/TaxonomyAttribute/1450  : Поддержание влажности
gid://shopify/TaxonomyAttribute/3297  : Режим регулировки влажности
gid://shopify/TaxonomyAttribute/5964  : Тип аксессуара для хьюмидора
gid://shopify/TaxonomyAttribute/7804  : Базовый ингредиент хумуса
gid://shopify/TaxonomyAttribute/3391  : Конструкция охотничьего скрадка
gid://shopify/TaxonomyAttribute/10591 : Тип охотничьего манка
gid://shopify/TaxonomyAttribute/10592 : Функция ошейника для охотничьих собак
gid://shopify/TaxonomyAttribute/2870  : Конструкция охотничьего ножа или ножа для выживания
gid://shopify/TaxonomyAttribute/8444  : Конфигурация гибридной трансмиссии
gid://shopify/TaxonomyAttribute/8445  : Тип гибридной системы
gid://shopify/TaxonomyAttribute/8446  : Тип кабины гибридного грузовика
gid://shopify/TaxonomyAttribute/10593 : Особенности сумки для гидратора
gid://shopify/TaxonomyAttribute/10594 : Функции пояса для питьевой системы
gid://shopify/TaxonomyAttribute/10595 : Совместимость с гидратором
gid://shopify/TaxonomyAttribute/10596 : Стиль мундштука гидратора
gid://shopify/TaxonomyAttribute/10597 : Стиль гидрационного рюкзака
gid://shopify/TaxonomyAttribute/10598 : Теплоизоляция гидрационной системы
gid://shopify/TaxonomyAttribute/10599 : Тип клапана гидратора
gid://shopify/TaxonomyAttribute/10600 : Тип гидравлической жидкости
gid://shopify/TaxonomyAttribute/7805  : Степень гидрогенизации
gid://shopify/TaxonomyAttribute/8447  : Уровень гидрофобности
gid://shopify/TaxonomyAttribute/5965  : Система гидропонных удобрений
gid://shopify/TaxonomyAttribute/5966  : Тип гигрометра
gid://shopify/TaxonomyAttribute/5967  : Аксессуары в комплекте ведерка для льда
gid://shopify/TaxonomyAttribute/5968  : Теплоизоляция ведерка для льда
gid://shopify/TaxonomyAttribute/7806  : Формат мороженого
gid://shopify/TaxonomyAttribute/5969  : Комплектация мороженицы
gid://shopify/TaxonomyAttribute/1565  : Тип гипотермического пакета
gid://shopify/TaxonomyAttribute/5970  : Форма льда
gid://shopify/TaxonomyAttribute/10601 : Тип точилки для коньков
gid://shopify/TaxonomyAttribute/10602 : Подходящая температура льда
gid://shopify/TaxonomyAttribute/7807  : Разновидность сахарной пудры
gid://shopify/TaxonomyAttribute/2664  : Тип значка
gid://shopify/TaxonomyAttribute/5528  : Требование подтверждения личности
gid://shopify/TaxonomyAttribute/8448  : Конфигурация катушки зажигания
gid://shopify/TaxonomyAttribute/8449  : Стандарт соответствия проводов зажигания
gid://shopify/TaxonomyAttribute/8450  : Материал изоляции проводов зажигания
gid://shopify/TaxonomyAttribute/8451  : Тип комплекта проводов зажигания
gid://shopify/TaxonomyAttribute/8452  : Тип клемм проводов зажигания
gid://shopify/TaxonomyAttribute/2169  : Система запуска
gid://shopify/TaxonomyAttribute/2620  : Метод освещения препарата
gid://shopify/TaxonomyAttribute/10603 : Тип подсветки
gid://shopify/TaxonomyAttribute/2020  : Поддерживаемые форматы изображений
gid://shopify/TaxonomyAttribute/1999  : Размер светочувствительной матрицы
gid://shopify/TaxonomyAttribute/8453  : Тип установки иммобилайзера
gid://shopify/TaxonomyAttribute/2718  : Тип блокирующего устройства
gid://shopify/TaxonomyAttribute/8454  : Способ разблокировки иммобилайзера
gid://shopify/TaxonomyAttribute/10604 : Сертификации ударозащиты
gid://shopify/TaxonomyAttribute/8455  : Уровень защиты от ударов
gid://shopify/TaxonomyAttribute/10605 : Класс ударозащиты
gid://shopify/TaxonomyAttribute/6435  : Материал ударной поверхности
gid://shopify/TaxonomyAttribute/9736  : Базовый материал благовоний
gid://shopify/TaxonomyAttribute/2282  : Аромат благовония
gid://shopify/TaxonomyAttribute/5971  : Тип подставки для благовоний
gid://shopify/TaxonomyAttribute/3270  : Состав набора для изготовления благовоний
gid://shopify/TaxonomyAttribute/9737  : Способ изготовления благовоний
gid://shopify/TaxonomyAttribute/9738  : Тип инструмента для благовоний
gid://shopify/TaxonomyAttribute/2283  : Тип благовония
gid://shopify/TaxonomyAttribute/10606 : Тип регулировки наклона
gid://shopify/TaxonomyAttribute/6436  : Аксессуары в комплекте
gid://shopify/TaxonomyAttribute/9739  : Тип кейса в комплекте
gid://shopify/TaxonomyAttribute/9740  : Комплектующие в комплекте
gid://shopify/TaxonomyAttribute/9741  : Компоненты застежки в комплекте
gid://shopify/TaxonomyAttribute/10607 : Тип емкости для жидкости в комплекте
gid://shopify/TaxonomyAttribute/9742  : Предметы в комплекте (деревянный духовой инструмент)
gid://shopify/TaxonomyAttribute/9743  : Материалы в комплекте
gid://shopify/TaxonomyAttribute/8456  : Монтажные аксессуары в комплекте
gid://shopify/TaxonomyAttribute/6918  : Тип насоса в комплекте
gid://shopify/TaxonomyAttribute/9744  : Тип скребка в комплекте
gid://shopify/TaxonomyAttribute/5050  : Тип урологической прокладки
gid://shopify/TaxonomyAttribute/10608 : Конструкция индикатора
gid://shopify/TaxonomyAttribute/10609 : Отслеживаемые функции индикатора
gid://shopify/TaxonomyAttribute/6437  : Использование в помещении или на улице
gid://shopify/TaxonomyAttribute/5493  : Допуск индуктивности
gid://shopify/TaxonomyAttribute/2651  : Отрасль
gid://shopify/TaxonomyAttribute/1715  : Возрастная группа младенцев
gid://shopify/TaxonomyAttribute/9745  : Предметы в комплекте надувного декора
gid://shopify/TaxonomyAttribute/9746  : Тип надувного декора
