# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-Brillen-Passform-Design
gid://shopify/TaxonomyAttribute/10626 : Art der Kajak-Aufbewahrungstasche
gid://shopify/TaxonomyAttribute/10627 : Stil des Kajaks
gid://shopify/TaxonomyAttribute/8468  : Kieltyp
gid://shopify/TaxonomyAttribute/2112  : Anwendung des Kerosins
gid://shopify/TaxonomyAttribute/10628 : Stil der Kettlebell
gid://shopify/TaxonomyAttribute/6736  : Befestigungsmechanismus der Schlüssel
gid://shopify/TaxonomyAttribute/5984  : Schlüsselblatttyp
gid://shopify/TaxonomyAttribute/2138  : Hauptzweck
gid://shopify/TaxonomyAttribute/10629 : Schlüsselentnahme im entriegelten Zustand
gid://shopify/TaxonomyAttribute/2473  : Keyboard-Aktion
gid://shopify/TaxonomyAttribute/9788  : Eingänge des Keyboardverstärkers
gid://shopify/TaxonomyAttribute/9789  : Ausgangstypen des Keyboardverstärkers
gid://shopify/TaxonomyAttribute/5649  : Tastaturbaugruppen-Typ
gid://shopify/TaxonomyAttribute/5644  : Tastatur-Hintergrundbeleuchtungstyp
gid://shopify/TaxonomyAttribute/9790  : Griffart des Keyboardkoffers
gid://shopify/TaxonomyAttribute/9791  : Typ der Innenpolsterung des Keyboardkoffers
gid://shopify/TaxonomyAttribute/9792  : Schutzklasse des Keyboardkoffers
gid://shopify/TaxonomyAttribute/9793  : Rollenart des Keyboardkoffers
gid://shopify/TaxonomyAttribute/1909  : Tastaturformat
gid://shopify/TaxonomyAttribute/3291  : Tastentyp der Tastatur
gid://shopify/TaxonomyAttribute/1911  : Tastatur-Layout
gid://shopify/TaxonomyAttribute/5645  : Tastatur-Montagestil
gid://shopify/TaxonomyAttribute/9794  : Anschlussart des Keyboardpedals
gid://shopify/TaxonomyAttribute/1914  : Tastaturanschlusstyp
gid://shopify/TaxonomyAttribute/9795  : Art der Stromversorgung des Keyboards
gid://shopify/TaxonomyAttribute/3082  : Spezielle Tastaturfunktionen
gid://shopify/TaxonomyAttribute/9796  : Typ der Keyboardständer-Ebene
gid://shopify/TaxonomyAttribute/9797  : Keyboardständer-Ebenen
gid://shopify/TaxonomyAttribute/1912  : Tastaturschaltertyp
gid://shopify/TaxonomyAttribute/1879  : Tastaturtyp
gid://shopify/TaxonomyAttribute/5631  : Beschriftungsdruckverfahren der Tastenkappen
gid://shopify/TaxonomyAttribute/5646  : Tastenkappenmaterial
gid://shopify/TaxonomyAttribute/5630  : Tastenkappenprofil
gid://shopify/TaxonomyAttribute/9798  : Befestigungsart des Schlüsselanhängers
gid://shopify/TaxonomyAttribute/9799  : Stil des Schlüsselanhängers
gid://shopify/TaxonomyAttribute/1335  : Tastaturstil
gid://shopify/TaxonomyAttribute/5393  : Trapezkorrekturtyp
gid://shopify/TaxonomyAttribute/9800  : Finish der Klappenmechanik
gid://shopify/TaxonomyAttribute/10630 : Kickpunkt
gid://shopify/TaxonomyAttribute/10631 : Grip-System der Abdruckzone
gid://shopify/TaxonomyAttribute/10632 : Merkmale des Kickboards
gid://shopify/TaxonomyAttribute/10633 : Griffart des Kickboards
gid://shopify/TaxonomyAttribute/10634 : Montageposition des Seitenständers
gid://shopify/TaxonomyAttribute/10635 : Typ des Seitenständers
gid://shopify/TaxonomyAttribute/8469  : Unterstützungsgrad des Nierengurts
gid://shopify/TaxonomyAttribute/5038  : Funktionen des Brennofens
gid://shopify/TaxonomyAttribute/9801  : Brennatmosphäre des Ofens
gid://shopify/TaxonomyAttribute/9802  : Typ des Brennofen-Heizelements
gid://shopify/TaxonomyAttribute/5039  : Beladungsart des Brennofens
gid://shopify/TaxonomyAttribute/10636 : Kingpin-Design
gid://shopify/TaxonomyAttribute/10637 : Ausrichtung des Kingpins
gid://shopify/TaxonomyAttribute/8470  : Im Set enthaltene Komponenten
gid://shopify/TaxonomyAttribute/2383  : Bausatztyp
gid://shopify/TaxonomyAttribute/9803  : Paket-Format
gid://shopify/TaxonomyAttribute/9804  : Enthaltene Paket-Artikel
gid://shopify/TaxonomyAttribute/9805  : Typ der Kit-Tasche bzw. der Kiste
gid://shopify/TaxonomyAttribute/6445  : Im Kit enthaltene Werkzeuge
gid://shopify/TaxonomyAttribute/5985  : Küchenlayout
gid://shopify/TaxonomyAttribute/5986  : Inbegriffene Küchentextilien
gid://shopify/TaxonomyAttribute/1411  : Inbegriffene Küchenutensilien
gid://shopify/TaxonomyAttribute/3320  : Küchen-/Esszimmermöbel inklusive
gid://shopify/TaxonomyAttribute/10638 : Aufblassystem des Kites
gid://shopify/TaxonomyAttribute/10639 : Konfiguration der Kiteleinen
gid://shopify/TaxonomyAttribute/10640 : Typ des Kites
gid://shopify/TaxonomyAttribute/10641 : Stil der Kiteboardtasche
gid://shopify/TaxonomyAttribute/1253  : Kitesurfing-Stil
gid://shopify/TaxonomyAttribute/7818  : Kiwisorte
gid://shopify/TaxonomyAttribute/5092  : Kniebandagenstil
gid://shopify/TaxonomyAttribute/6737  : Typ der Knieschoner-Tasche
gid://shopify/TaxonomyAttribute/10642 : Knieschonerart
gid://shopify/TaxonomyAttribute/10643 : Design des Knieschutzes
gid://shopify/TaxonomyAttribute/10644 : Konstruktion des Kneeboards
gid://shopify/TaxonomyAttribute/10645 : Typ des Kneeboard-Gurts
gid://shopify/TaxonomyAttribute/9806  : Verriegelungsmechanik des Messers
gid://shopify/TaxonomyAttribute/10646 : Verriegelungsmechanismus der Messers
gid://shopify/TaxonomyAttribute/10647 : Öffnungsmechanismus des Messers
gid://shopify/TaxonomyAttribute/9807  : Messersystem
gid://shopify/TaxonomyAttribute/1263  : Messertyp
gid://shopify/TaxonomyAttribute/9808  : Verwendungszweck des Strickgummis
gid://shopify/TaxonomyAttribute/6738  : Strickmuster
gid://shopify/TaxonomyAttribute/6739  : Strickstil
gid://shopify/TaxonomyAttribute/9809  : Typ des Strickmarkierers/-zählers
gid://shopify/TaxonomyAttribute/9810  : Stil der Stricknadelspitze
gid://shopify/TaxonomyAttribute/2953  : Strick-/Polsterprojekttyp
gid://shopify/TaxonomyAttribute/2414  : Drehknopffunktion
gid://shopify/TaxonomyAttribute/2415  : Stil des Knopfs/Reglers
gid://shopify/TaxonomyAttribute/2116  : Design des Knaufs/Griffs
gid://shopify/TaxonomyAttribute/8471  : Klopfsensor
gid://shopify/TaxonomyAttribute/5197  : Knotenform
gid://shopify/TaxonomyAttribute/10648 : Aggressivität der Rändelung
gid://shopify/TaxonomyAttribute/10649 : Standard der Rändelmarkierung
gid://shopify/TaxonomyAttribute/7819  : Kohlrabisorte
gid://shopify/TaxonomyAttribute/7820  : Typ des Koji-Schimmels
gid://shopify/TaxonomyAttribute/7821  : Kumquatsorte
gid://shopify/TaxonomyAttribute/10662 : LED-Farboptionen
gid://shopify/TaxonomyAttribute/10663 : Farbe der LED-Anzeige
gid://shopify/TaxonomyAttribute/10664 : Farbe des LED-Lichts
gid://shopify/TaxonomyAttribute/5175  : LED-Lichtmodus
gid://shopify/TaxonomyAttribute/1885  : LNB-Ausgang
gid://shopify/TaxonomyAttribute/1886  : LNB-Technologie
gid://shopify/TaxonomyAttribute/5987  : Etiketteninhaltstyp
gid://shopify/TaxonomyAttribute/9811  : Typ der Etikettenkante
gid://shopify/TaxonomyAttribute/9812  : Etikettbeschichtung
gid://shopify/TaxonomyAttribute/9813  : Finish-/Kantenstil des Etiketts
gid://shopify/TaxonomyAttribute/9814  : Faltart des Etiketts
gid://shopify/TaxonomyAttribute/9815  : Textart des Etiketts
gid://shopify/TaxonomyAttribute/3011  : Beschriftungsprojekttyp
gid://shopify/TaxonomyAttribute/2615  : Design des Laborgefrierschranks
gid://shopify/TaxonomyAttribute/6740  : Größe des Lace-Bereichs
gid://shopify/TaxonomyAttribute/10650 : Stil des Schnürsenkelspanners
gid://shopify/TaxonomyAttribute/6741  : Typ des Lace-Materials
gid://shopify/TaxonomyAttribute/10651 : Zertifizierung des Lacrosseballs
gid://shopify/TaxonomyAttribute/2851  : Lacrosse-Ausrüstung inklusive
gid://shopify/TaxonomyAttribute/10652 : Regelwerkszertifizierung des Lacrosse-Tors
gid://shopify/TaxonomyAttribute/10653 : Typ der Lacrosse-Tasche
gid://shopify/TaxonomyAttribute/10654 : Typ der Lacrosse-Bespannung
gid://shopify/TaxonomyAttribute/6924  : Position der Leiter
gid://shopify/TaxonomyAttribute/2732  : Leitertyp
gid://shopify/TaxonomyAttribute/3369  : Laminierungsmodus
gid://shopify/TaxonomyAttribute/5041  : Laminierverfahren
gid://shopify/TaxonomyAttribute/5988  : Lampenarmstil
gid://shopify/TaxonomyAttribute/5406  : Lampen-Baugruppentyp
gid://shopify/TaxonomyAttribute/5989  : Montagetyp des Laternensockels
gid://shopify/TaxonomyAttribute/5405  : Lampen-Qualitätsstufe
gid://shopify/TaxonomyAttribute/5990  : Typ der Lampenschirmhalterung
gid://shopify/TaxonomyAttribute/5991  : Lampenschirmform
gid://shopify/TaxonomyAttribute/5992  : Lichtdurchlässigkeit des Lampenschirms
gid://shopify/TaxonomyAttribute/2041  : Lampentyp
gid://shopify/TaxonomyAttribute/5993  : Lampenschirmform
gid://shopify/TaxonomyAttribute/5102  : Lanzettenmechanismustyp
gid://shopify/TaxonomyAttribute/1733  : Sprache
gid://shopify/TaxonomyAttribute/2536  : Sprachversion
gid://shopify/TaxonomyAttribute/6742  : Befestigungsvorrichtung des Lanyards
gid://shopify/TaxonomyAttribute/6743  : Schlüsselbandstil
gid://shopify/TaxonomyAttribute/10655 : Typ des Lanyards
gid://shopify/TaxonomyAttribute/9816  : Enthaltenes Zubehör für den Handwebrahmen
gid://shopify/TaxonomyAttribute/6744  : Reversstil
gid://shopify/TaxonomyAttribute/5648  : Laptop-Kabeltyp
gid://shopify/TaxonomyAttribute/5647  : Laptop-Gehäuseteil-Typ
gid://shopify/TaxonomyAttribute/2270  : Lichtquelle des Lasers
gid://shopify/TaxonomyAttribute/9817  : Lasersicherheitsklasse
gid://shopify/TaxonomyAttribute/6925  : Latexverarbeitungsmethode
gid://shopify/TaxonomyAttribute/6926  : Typ des Latex
gid://shopify/TaxonomyAttribute/2196  : Anwendung der Drehmaschine
gid://shopify/TaxonomyAttribute/10656 : Launch-Profil
gid://shopify/TaxonomyAttribute/10657 : Montageart des Abschussgeräts
gid://shopify/TaxonomyAttribute/5994  : Wäscheballstruktur
gid://shopify/TaxonomyAttribute/3145  : Eigenschaften von Waschmitteln
gid://shopify/TaxonomyAttribute/5995  : Typ des Wäschezubehörs
gid://shopify/TaxonomyAttribute/6299  : Rasenlüftertyp
gid://shopify/TaxonomyAttribute/5996  : Typ für Rasenmäher-Keilriemen
gid://shopify/TaxonomyAttribute/5997  : Typ des Rasenmähermessers
gid://shopify/TaxonomyAttribute/5998  : Rasenstreuertyp
gid://shopify/TaxonomyAttribute/6300  : Typ des Rasentraktorreifens
gid://shopify/TaxonomyAttribute/6745  : Schichtsystem
gid://shopify/TaxonomyAttribute/6746  : Schichtdesign
gid://shopify/TaxonomyAttribute/9818  : Typ der Spannungsregelung der Lazy Kate
gid://shopify/TaxonomyAttribute/2254  : Minengrad
gid://shopify/TaxonomyAttribute/10658 : Typ der Leinenbefestigung
gid://shopify/TaxonomyAttribute/7822  : Blattgelatine-Qualität
gid://shopify/TaxonomyAttribute/7823  : Zubereitungsart des Fertigsalats
gid://shopify/TaxonomyAttribute/8472  : Biegefedermaterial
gid://shopify/TaxonomyAttribute/6747  : Auslaufschutzschicht
gid://shopify/TaxonomyAttribute/10659 : Typ des Leinenclips
gid://shopify/TaxonomyAttribute/3233  : Leinendesign
gid://shopify/TaxonomyAttribute/10660 : Stil der Leine
gid://shopify/TaxonomyAttribute/10661 : Leinenart
gid://shopify/TaxonomyAttribute/5680  : Lederart
gid://shopify/TaxonomyAttribute/2330  : Textur des Leders/Kunstleders
gid://shopify/TaxonomyAttribute/7824  : Wirkungsart des Triebmittels
gid://shopify/TaxonomyAttribute/7825  : Triebmittel
gid://shopify/TaxonomyAttribute/2271  : Anbringungsart des Rednerpults
gid://shopify/TaxonomyAttribute/7826  : Auswahl an Porree
gid://shopify/TaxonomyAttribute/10665 : Beinlänge
gid://shopify/TaxonomyAttribute/6748  : Stil des Beinbündchens
gid://shopify/TaxonomyAttribute/6749  : Höhe des Beinausschnitts
gid://shopify/TaxonomyAttribute/6750  : Beinschnitt
gid://shopify/TaxonomyAttribute/6751  : Beinlänge
gid://shopify/TaxonomyAttribute/1852  : Beinverschlusstyp
gid://shopify/TaxonomyAttribute/10666 : Beinschlaufenart
gid://shopify/TaxonomyAttribute/6752  : Stil der Beinöffnung
gid://shopify/TaxonomyAttribute/1853  : Beinabschnitte
gid://shopify/TaxonomyAttribute/6927  : Bauart der Beine
gid://shopify/TaxonomyAttribute/5598  : Beschriftungstyp
gid://shopify/TaxonomyAttribute/6753  : Fußdesign der Leggings
gid://shopify/TaxonomyAttribute/6754  : Stil des Leggingsbunds
gid://shopify/TaxonomyAttribute/6755  : Verschlussart der Lei
gid://shopify/TaxonomyAttribute/7827  : Zitronensorte
gid://shopify/TaxonomyAttribute/5230  : Längenverstellbarkeit
gid://shopify/TaxonomyAttribute/6446  : Methode zur Längenverstellung
gid://shopify/TaxonomyAttribute/1985  : Mit Objektivdeckel kompatibles Gerät
gid://shopify/TaxonomyAttribute/5219  : Linsenbehälter-Zubehör inklusive
gid://shopify/TaxonomyAttribute/5557  : Linseneigenschaften
gid://shopify/TaxonomyAttribute/1693  : Linsenbeschichtung
gid://shopify/TaxonomyAttribute/5397  : Linsen-Farbkombination
gid://shopify/TaxonomyAttribute/10667 : Linsenfarbe/-tönung
gid://shopify/TaxonomyAttribute/2249  : Linsenkonfiguration
gid://shopify/TaxonomyAttribute/10668 : Schutzbrillenkonstruktion
gid://shopify/TaxonomyAttribute/5234  : Linsen-Filterkategorie
gid://shopify/TaxonomyAttribute/1987  : Objektivfiltereffekte
gid://shopify/TaxonomyAttribute/1988  : Linsenfiltertyp
gid://shopify/TaxonomyAttribute/5012  : Im Lieferumfang enthaltenes Objektiv-Kit-Zubehör
gid://shopify/TaxonomyAttribute/77    : Linsenpolarisation
gid://shopify/TaxonomyAttribute/5030  : Objektivschutzabdeckungsstil
gid://shopify/TaxonomyAttribute/5013  : Merkmale des Objektivschutzes
gid://shopify/TaxonomyAttribute/5227  : Linsen-Brechungsindex
gid://shopify/TaxonomyAttribute/3303  : Linsenaufbewahrungstyp
gid://shopify/TaxonomyAttribute/6756  : Linsentönungskategorie
gid://shopify/TaxonomyAttribute/5224  : Linsentönungstyp
gid://shopify/TaxonomyAttribute/1694  : Linsentyp
gid://shopify/TaxonomyAttribute/2957  : Linsen-/Diamaterial
gid://shopify/TaxonomyAttribute/7828  : Salatsorte
gid://shopify/TaxonomyAttribute/10669 : Spielniveau
gid://shopify/TaxonomyAttribute/8473  : Hebelanordnung
gid://shopify/TaxonomyAttribute/9819  : Hebeltyp
gid://shopify/TaxonomyAttribute/8474  : Stil der Kennzeichenabdeckung
gid://shopify/TaxonomyAttribute/8475  : Typ der Kennzeichenpersonalisierung
gid://shopify/TaxonomyAttribute/2646  : Lizenztyp
gid://shopify/TaxonomyAttribute/9820  : Lizenz-/Nutzungsbedingungen
gid://shopify/TaxonomyAttribute/9821  : Lizenzierte Sportmarke
gid://shopify/TaxonomyAttribute/5999  : Deckeleigenschaften
gid://shopify/TaxonomyAttribute/6928  : Deckelscharniermechanismus
gid://shopify/TaxonomyAttribute/9822  : Positionen der Deckelstütze
gid://shopify/TaxonomyAttribute/1786  : Deckeltyp
gid://shopify/TaxonomyAttribute/6000  : Deckelbelüftungstyp
gid://shopify/TaxonomyAttribute/10670 : Farbcode des Lie-Winkels
gid://shopify/TaxonomyAttribute/10671 : Zertifizierungsstandard für Rettungswesten
gid://shopify/TaxonomyAttribute/3175  : Eigenschaften der Rettungsweste
gid://shopify/TaxonomyAttribute/8476  : Zertifizierungsstandard für Rettungsboote
gid://shopify/TaxonomyAttribute/8477  : Typ des Rettungsinsel-Containers
gid://shopify/TaxonomyAttribute/8478  : Normstandard für Rettungswesten
gid://shopify/TaxonomyAttribute/8479  : Vorgesehene Nutzergruppe der Rettungsweste
gid://shopify/TaxonomyAttribute/8480  : Zulassungsstandard des Rettungsrings
gid://shopify/TaxonomyAttribute/8481  : Merkmale des Rettungsrings
gid://shopify/TaxonomyAttribute/6001  : Hebemechanismus
gid://shopify/TaxonomyAttribute/6929  : Hebemechanismus
gid://shopify/TaxonomyAttribute/8482  : Hebe-/Auflagepunkt
gid://shopify/TaxonomyAttribute/8483  : Typ des Traggases
gid://shopify/TaxonomyAttribute/8484  : Typ der Hebeunterstützung
gid://shopify/TaxonomyAttribute/9823  : Typ der Ligatur-/Kappenkomponente
gid://shopify/TaxonomyAttribute/9824  : Material der Ligatur
gid://shopify/TaxonomyAttribute/9825  : Beschichtung bzw. Finish der Ligatur
gid://shopify/TaxonomyAttribute/9826  : Kontaktart der Ligatur zum Rohrblatt
gid://shopify/TaxonomyAttribute/9827  : Position der Ligaturschraube (relativ zum Rohrblatt)
gid://shopify/TaxonomyAttribute/9828  : Mechanismus zur Einstellung der Ligaturspannung
gid://shopify/TaxonomyAttribute/9829  : Typ des Feststellmechanismus der Ligatur
gid://shopify/TaxonomyAttribute/2229  : Befestigungsart des Lichts
gid://shopify/TaxonomyAttribute/8485  : Gehäusematerial der Lichtleiste
gid://shopify/TaxonomyAttribute/8486  : Linsenmaterial des Lightbars
gid://shopify/TaxonomyAttribute/8487  : Montageort des Lightbars
gid://shopify/TaxonomyAttribute/1360  : Lichtsteuerung
gid://shopify/TaxonomyAttribute/2008  : Lichtdesign
gid://shopify/TaxonomyAttribute/2021  : Belichtungsmodi
gid://shopify/TaxonomyAttribute/6002  : Bedarf an Lichtexposition
gid://shopify/TaxonomyAttribute/2050  : Lichtfilter
gid://shopify/TaxonomyAttribute/1740  : Beleuchtungsoptionen
gid://shopify/TaxonomyAttribute/5404  : Lichtabweisungstyp
gid://shopify/TaxonomyAttribute/1333  : Lichtquelle
gid://shopify/TaxonomyAttribute/1574  : Lichtspektrum
gid://shopify/TaxonomyAttribute/9830  : Stil des Lichtstativs
gid://shopify/TaxonomyAttribute/8488  : Funktion des Lichtschalters
gid://shopify/TaxonomyAttribute/1244  : Lichttemperatur
gid://shopify/TaxonomyAttribute/5051  : Lichttherapiegerät-Bauform
gid://shopify/TaxonomyAttribute/2742  : Lichttyp
gid://shopify/TaxonomyAttribute/9831  : Unterstützte Lichtsteuerungsprotokolle
gid://shopify/TaxonomyAttribute/10672 : Lichteffekte
gid://shopify/TaxonomyAttribute/2982  : Eigenschaften der Beleuchtung
gid://shopify/TaxonomyAttribute/10673 : Beleuchtungsmodus
gid://shopify/TaxonomyAttribute/3056  : Beleuchtungsoptionen
gid://shopify/TaxonomyAttribute/5451  : Beleuchtungstyp
gid://shopify/TaxonomyAttribute/9832  : Lilienart
gid://shopify/TaxonomyAttribute/10674 : Beweglichkeit der Gliedmaßen
gid://shopify/TaxonomyAttribute/10675 : Material der Wurfarme
gid://shopify/TaxonomyAttribute/7829  : Auswahl an Limetten
gid://shopify/TaxonomyAttribute/10676 : Auftrieb der Schnur
gid://shopify/TaxonomyAttribute/10677 : Leinenzweck
gid://shopify/TaxonomyAttribute/2247  : Zeilenabstandsoptionen
gid://shopify/TaxonomyAttribute/2729  : Typ der Leine/des Seils
gid://shopify/TaxonomyAttribute/9833  : Finish/Behandlung des Leinens
gid://shopify/TaxonomyAttribute/9834  : Webart des Leinens
gid://shopify/TaxonomyAttribute/6003  : Installationsmethode des Liners
gid://shopify/TaxonomyAttribute/6930  : Typ der Futterpolsterung
gid://shopify/TaxonomyAttribute/10678 : Form des Inletts
gid://shopify/TaxonomyAttribute/6757  : Typ des Innenfutters
gid://shopify/TaxonomyAttribute/6758  : Futter
gid://shopify/TaxonomyAttribute/6759  : Futtermaterial
gid://shopify/TaxonomyAttribute/6760  : Art des Futters
gid://shopify/TaxonomyAttribute/10679 : Art der Kettenverbindung
gid://shopify/TaxonomyAttribute/6004  : Fusselwalzentyp
gid://shopify/TaxonomyAttribute/5302  : Lippenbalsam-Tönungsgrad
gid://shopify/TaxonomyAttribute/5273  : Lipgloss-Applikatortyp
gid://shopify/TaxonomyAttribute/1621  : Lipgloss-Effekt
gid://shopify/TaxonomyAttribute/5272  : Lipgloss-Formulierung
gid://shopify/TaxonomyAttribute/3336  : Lippenkonturenstift-Design
gid://shopify/TaxonomyAttribute/5271  : Lippen-Make-up-Deckkraft
gid://shopify/TaxonomyAttribute/5274  : Lippenstift-Deckkraft
gid://shopify/TaxonomyAttribute/1622  : Lippenstifteffekt
gid://shopify/TaxonomyAttribute/1464  : Auswahl an Likören
gid://shopify/TaxonomyAttribute/10680 : Form des Lebendköders
gid://shopify/TaxonomyAttribute/6005  : Lebendfallendesign
gid://shopify/TaxonomyAttribute/2551  : Zutaten des Viehfutters
gid://shopify/TaxonomyAttribute/6931  : Wohnzimmermöbel inklusive
gid://shopify/TaxonomyAttribute/2117  : Tragfähigkeit
gid://shopify/TaxonomyAttribute/10681 : Lademechanismus
gid://shopify/TaxonomyAttribute/2723  : Typ der Laderampe
gid://shopify/TaxonomyAttribute/1374  : Beladungstyp
gid://shopify/TaxonomyAttribute/8489  : Typ des Schließzylinders
gid://shopify/TaxonomyAttribute/6006  : Schließschlüsseloption
gid://shopify/TaxonomyAttribute/2738  : Platzierung des Schlosses
gid://shopify/TaxonomyAttribute/8490  : Sicherheitsstufe des Schlosses
gid://shopify/TaxonomyAttribute/8491  : Schließsystem
gid://shopify/TaxonomyAttribute/1236  : Schlosstyp
gid://shopify/TaxonomyAttribute/6932  : Konfiguration der Spindbank
gid://shopify/TaxonomyAttribute/1726  : Verriegelung
gid://shopify/TaxonomyAttribute/9835  : Antriebsart des Lokomotivvorbilds
gid://shopify/TaxonomyAttribute/9836  : Radanordnung der Lokomotive (Whyte-Notation)
gid://shopify/TaxonomyAttribute/6933  : Höhenklassifizierung des Hochbetts
gid://shopify/TaxonomyAttribute/5483  : Logikfamilie
gid://shopify/TaxonomyAttribute/6761  : Methode der Logoaufbringung
gid://shopify/TaxonomyAttribute/9837  : Kompatibles Stoffgewicht für das Logoetikett
gid://shopify/TaxonomyAttribute/9838  : Kantenverarbeitung des Logoetiketts
gid://shopify/TaxonomyAttribute/9839  : Druck-/Produktionsverfahren des Logoetiketts
gid://shopify/TaxonomyAttribute/8492  : Vollständigkeit des Longblocks
gid://shopify/TaxonomyAttribute/6762  : Enthaltene Long-John-Teile
gid://shopify/TaxonomyAttribute/7830  : Longan-Sorte
gid://shopify/TaxonomyAttribute/9840  : Enthaltenes Zubehör für den Webstuhl
gid://shopify/TaxonomyAttribute/9841  : Finish des Webstuhls
gid://shopify/TaxonomyAttribute/9842  : Typ des faltbaren/tragbaren Webstuhldesigns
gid://shopify/TaxonomyAttribute/9843  : Faltbares Rahmendesign des Webstuhls
gid://shopify/TaxonomyAttribute/9844  : Methode zur Einstellung der Webstuhlspannung
gid://shopify/TaxonomyAttribute/9845  : Bindungssystem des Webstuhls
gid://shopify/TaxonomyAttribute/7831  : Mispelsorte
gid://shopify/TaxonomyAttribute/2388  : Lovibond
gid://shopify/TaxonomyAttribute/1676  : Schmiermittelaufbringung
gid://shopify/TaxonomyAttribute/1677  : Schmiermittelzusammensetzung
gid://shopify/TaxonomyAttribute/2060  : Art des Schmiermittelspenders
gid://shopify/TaxonomyAttribute/5112  : Gleitmitteleffekt
gid://shopify/TaxonomyAttribute/10682 : Eigenschaften des Schmierstoffs
gid://shopify/TaxonomyAttribute/2397  : Schmiermittelform
gid://shopify/TaxonomyAttribute/6007  : Anforderung an das Schmiermittel
gid://shopify/TaxonomyAttribute/10683 : Anforderung an die Schmierung
gid://shopify/TaxonomyAttribute/8493  : Schmierungsart
gid://shopify/TaxonomyAttribute/8494  : Profil des Radmuttersitzes
gid://shopify/TaxonomyAttribute/6934  : Typ der Lendenwirbelstütze
gid://shopify/TaxonomyAttribute/2914  : Schnittholz-/Holzart
gid://shopify/TaxonomyAttribute/6008  : Im Lunchbox-Set enthaltene Artikel
gid://shopify/TaxonomyAttribute/10684 : Stil des Ausfallschritttrainers
gid://shopify/TaxonomyAttribute/10685 : Auftrieb des Köders
gid://shopify/TaxonomyAttribute/9846  : Glanzeigenschaft
gid://shopify/TaxonomyAttribute/7832  : Litschi-Sorte
gid://shopify/TaxonomyAttribute/2407  : Anbringungsart der Marschklemme/-mappe
gid://shopify/TaxonomyAttribute/9847  : Montageposition der Lyra/des Flipfolders
gid://shopify/TaxonomyAttribute/6447  : Typ der Liedtextanzeige
gid://shopify/TaxonomyAttribute/5657  : Unterstützte M.2-Laufwerkslänge
gid://shopify/TaxonomyAttribute/8496  : Typ des Ausgangssignals des MAP-Sensors
gid://shopify/TaxonomyAttribute/6014  : MERV-Bewertung
gid://shopify/TaxonomyAttribute/2430  : MIDI-Konnektivität
gid://shopify/TaxonomyAttribute/9881  : Typ der MIDI-Ausgabe
gid://shopify/TaxonomyAttribute/5352  : MIMO-Technologie
gid://shopify/TaxonomyAttribute/10711 : MMA-Handschuhtyp
gid://shopify/TaxonomyAttribute/10712 : MOLLE-Kompatibilität
gid://shopify/TaxonomyAttribute/1797  : Inbegriffenes MP3-Player-Zubehör
gid://shopify/TaxonomyAttribute/2547  : MPAA-Bewertung
gid://shopify/TaxonomyAttribute/6009  : Stil der Machetenklinge
gid://shopify/TaxonomyAttribute/5014  : MagSafe-Kompatibilität
gid://shopify/TaxonomyAttribute/10686 : Magazinkompatibilität
gid://shopify/TaxonomyAttribute/10687 : Magnetanforderung
gid://shopify/TaxonomyAttribute/6448  : Enthaltene Aufbewahrung für Magnetspielzeug
gid://shopify/TaxonomyAttribute/1350  : Magnettyp
gid://shopify/TaxonomyAttribute/2616  : Vergrößerung
gid://shopify/TaxonomyAttribute/5251  : Make-up-Pinsel-Anwendung
gid://shopify/TaxonomyAttribute/3130  : Make-up-Eigenschaften
gid://shopify/TaxonomyAttribute/3334  : Make-up-Farbton
gid://shopify/TaxonomyAttribute/7833  : Malanga-Sorte
gid://shopify/TaxonomyAttribute/2935  : Schlägelmaterial
gid://shopify/TaxonomyAttribute/9848  : Bewertungssystem für Malzfarbe
gid://shopify/TaxonomyAttribute/9849  : Malzschrotung
gid://shopify/TaxonomyAttribute/9850  : Malzform
gid://shopify/TaxonomyAttribute/9851  : Einsatzzweck für das Malz
gid://shopify/TaxonomyAttribute/9852  : Malzbehandlung
gid://shopify/TaxonomyAttribute/9853  : Verwendungszweck des Malzes
gid://shopify/TaxonomyAttribute/8495  : Typ des Mann-über-Bord-Systems
gid://shopify/TaxonomyAttribute/5350  : Verwaltungstyp
gid://shopify/TaxonomyAttribute/5209  : Anpassungsmethode des Unterkiefergeräts
gid://shopify/TaxonomyAttribute/9854  : Holz für Boden und Zargen der Mandoline
gid://shopify/TaxonomyAttribute/4993  : Rückenform der Mandoline
gid://shopify/TaxonomyAttribute/9855  : Holz der Mandolinendecke
gid://shopify/TaxonomyAttribute/9856  : Typ des Mandolinenstegs
gid://shopify/TaxonomyAttribute/9857  : Tonabnehmerart der Mandoline
gid://shopify/TaxonomyAttribute/9858  : Saitenart der Mandoline
gid://shopify/TaxonomyAttribute/7834  : Mangostan-Sorte
gid://shopify/TaxonomyAttribute/10688 : Stil der Schaufensterpuppe
gid://shopify/TaxonomyAttribute/2681  : Herstellertyp
gid://shopify/TaxonomyAttribute/10689 : Herstellungsverfahren
gid://shopify/TaxonomyAttribute/6449  : Kartenabdeckung (Himmel/Himmelskörper)
gid://shopify/TaxonomyAttribute/10690 : Kartenformat
