# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Артикули за животни и домашни любимци
gid://shopify/TaxonomyCategory/hg-10-18-4-2      : Дом и градина > Битови консумативи > Ограничаване на отпадъците > Кошчета за боклук и кошчета за отпадъци > Кошчета за отпадъци
gid://shopify/TaxonomyCategory/hg-10-19          : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци
gid://shopify/TaxonomyCategory/hg-10-19-1        : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци > Колички за контейнери за отпадъци
gid://shopify/TaxonomyCategory/hg-10-19-2        : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци > Заграждения за контейнери за отпадъци
gid://shopify/TaxonomyCategory/hg-10-19-3        : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци > Етикети и табели за контейнери за отпадъци
gid://shopify/TaxonomyCategory/hg-10-19-4        : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци > Капаци за контейнери за отпадъци
gid://shopify/TaxonomyCategory/hg-10-19-5        : Дом и градина > Битови консумативи > Аксесоари за събиране на отпадъци > Колела за контейнери за отпадъци
gid://shopify/TaxonomyCategory/hg-11             : Дом и градина > Кухня и трапезария
gid://shopify/TaxonomyCategory/hg-11-1           : Дом и градина > Кухня и трапезария > Оборудване за барове
gid://shopify/TaxonomyCategory/hg-11-1-1         : Дом и градина > Кухня и трапезария > Оборудване за барове > Фонтани за абсент
gid://shopify/TaxonomyCategory/hg-11-1-2         : Дом и градина > Кухня и трапезария > Оборудване за барове > Диспенсъри и кранове за бира
gid://shopify/TaxonomyCategory/hg-11-1-3         : Дом и градина > Кухня и трапезария > Оборудване за барове > Кубчета за охлаждане на напитки и клечки
gid://shopify/TaxonomyCategory/hg-11-1-3-1       : Дом и градина > Кухня и трапезария > Оборудване за барове > Кубчета за охлаждане на напитки и клечки > Охлаждащи кубчета за напитки
gid://shopify/TaxonomyCategory/hg-11-1-3-2       : Дом и градина > Кухня и трапезария > Оборудване за барове > Кубчета за охлаждане на напитки и клечки > Клечки за напитки
gid://shopify/TaxonomyCategory/hg-11-1-4         : Дом и градина > Кухня и трапезария > Оборудване за барове > Кофи и охладители за напитки
gid://shopify/TaxonomyCategory/hg-11-1-4-1       : Дом и градина > Кухня и трапезария > Оборудване за барове > Кофи и охладители за напитки > Охладители за напитки
gid://shopify/TaxonomyCategory/hg-11-1-4-2       : Дом и градина > Кухня и трапезария > Оборудване за барове > Кофи и охладители за напитки > Кофи за напитки
gid://shopify/TaxonomyCategory/hg-11-1-5         : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-5-1       : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки > Капачки за бира
gid://shopify/TaxonomyCategory/hg-11-1-5-2       : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки > Отваряеми капачки за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-5-3       : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки > Капачки за бутилки с ръчно отваряне
gid://shopify/TaxonomyCategory/hg-11-1-5-4       : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки > Завинтващи се капачки за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-5-5       : Дом и градина > Кухня и трапезария > Оборудване за барове > Капачки за бутилки > Въртящи се капачки за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-6         : Дом и градина > Кухня и трапезария > Оборудване за барове > Запушалки и тапи за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-7         : Дом и градина > Кухня и трапезария > Оборудване за барове > Поставки за подложки за чаши
gid://shopify/TaxonomyCategory/hg-11-1-8         : Дом и градина > Кухня и трапезария > Оборудване за барове > Подложки за чаши
gid://shopify/TaxonomyCategory/hg-11-1-9         : Дом и градина > Кухня и трапезария > Оборудване за барове > Комплекти инструменти за коктейли и барове
gid://shopify/TaxonomyCategory/hg-11-1-10        : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти
gid://shopify/TaxonomyCategory/hg-11-1-10-1      : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти > Шила за разбиване на лед
gid://shopify/TaxonomyCategory/hg-11-1-10-2      : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти > Отварачки за бутилки
gid://shopify/TaxonomyCategory/hg-11-1-10-3      : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти > Шейкъри за коктейли
gid://shopify/TaxonomyCategory/hg-11-1-10-4      : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти > Цедки за коктейли
gid://shopify/TaxonomyCategory/hg-11-1-10-5      : Дом и градина > Кухня и трапезария > Оборудване за барове > Шейкъри за коктейли и инструменти > Мъдлъри
gid://shopify/TaxonomyCategory/hg-11-1-11        : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони
gid://shopify/TaxonomyCategory/hg-11-1-11-1      : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони > Електрически тирбушони
gid://shopify/TaxonomyCategory/hg-11-1-11-2      : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони > Тирбушони с лост
gid://shopify/TaxonomyCategory/hg-11-1-11-3      : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони > Въртящи се тирбушони
gid://shopify/TaxonomyCategory/hg-11-1-11-4      : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони > Сервитьорски тирбушони
gid://shopify/TaxonomyCategory/hg-11-1-11-5      : Дом и градина > Кухня и трапезария > Оборудване за барове > Тирбушони > Тирбушони с крила
gid://shopify/TaxonomyCategory/hg-11-1-12        : Дом и градина > Кухня и трапезария > Оборудване за барове > Гарафи
gid://shopify/TaxonomyCategory/hg-11-1-13        : Дом и градина > Кухня и трапезария > Оборудване за барове > Декорации за чаши
gid://shopify/TaxonomyCategory/hg-11-1-14        : Дом и градина > Кухня и трапезария > Оборудване за барове > Резачки за фолио
gid://shopify/TaxonomyCategory/hg-11-1-15        : Дом и градина > Кухня и трапезария > Оборудване за барове > Кофи за лед
gid://shopify/TaxonomyCategory/hg-11-1-16        : Дом и градина > Кухня и трапезария > Оборудване за барове > Аератори за вино
gid://shopify/TaxonomyCategory/hg-11-1-17        : Дом и градина > Кухня и трапезария > Оборудване за барове > Поставки за бутилки за вино
gid://shopify/TaxonomyCategory/hg-11-2           : Дом и градина > Кухня и трапезария > Съдове за готвене и печене
gid://shopify/TaxonomyCategory/hg-11-2-1         : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене
gid://shopify/TaxonomyCategory/hg-11-2-1-1       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Комплекти за печене
gid://shopify/TaxonomyCategory/hg-11-2-1-2       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тави за печене на сладки и бисквити
gid://shopify/TaxonomyCategory/hg-11-2-1-3       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тави и форми за хляб
gid://shopify/TaxonomyCategory/hg-11-2-1-4       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тигани за запичане
gid://shopify/TaxonomyCategory/hg-11-2-1-5       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Форми за торта
gid://shopify/TaxonomyCategory/hg-11-2-1-6       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Форми за мъфини и сладкиши
gid://shopify/TaxonomyCategory/hg-11-2-1-7       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тави за пай и киш
gid://shopify/TaxonomyCategory/hg-11-2-1-8       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тави за пица
gid://shopify/TaxonomyCategory/hg-11-2-1-9       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Каменни плочи за пица
gid://shopify/TaxonomyCategory/hg-11-2-1-10      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Рамекини и купички за суфле
gid://shopify/TaxonomyCategory/hg-11-2-1-11      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за печене > Тигани за печене
gid://shopify/TaxonomyCategory/hg-11-2-2         : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-1       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Подложки и форми за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-1-1     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Подложки и форми за печене > Хартиени форми за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-1-2     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Подложки и форми за печене > Подложки за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-2       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Тежести за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-2-1     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Тежести за печене > Топчета за печене на тесто
gid://shopify/TaxonomyCategory/hg-11-2-2-2-2     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Тежести за печене > Керамични тежести за печене
gid://shopify/TaxonomyCategory/hg-11-2-2-3       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за печене > Решетки за тави за печене
gid://shopify/TaxonomyCategory/hg-11-2-3         : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене
gid://shopify/TaxonomyCategory/hg-11-2-3-1       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Касероли
gid://shopify/TaxonomyCategory/hg-11-2-3-2       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Комплекти съдове за готвене
gid://shopify/TaxonomyCategory/hg-11-2-3-3       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тигани за палачинки и блини
gid://shopify/TaxonomyCategory/hg-11-2-3-3-1     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тигани за палачинки и блини > Тигани за блини
gid://shopify/TaxonomyCategory/hg-11-2-3-3-2     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тигани за палачинки и блини > Тигани за палачинки
gid://shopify/TaxonomyCategory/hg-11-2-3-4       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Съдове с двойно дъно
gid://shopify/TaxonomyCategory/hg-11-2-3-5       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Холандски фурни
gid://shopify/TaxonomyCategory/hg-11-2-3-6       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Съдове за ферментация и консервиране
gid://shopify/TaxonomyCategory/hg-11-2-3-7       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Плочи и тигани за грил
gid://shopify/TaxonomyCategory/hg-11-2-3-8       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Преси за скара
gid://shopify/TaxonomyCategory/hg-11-2-3-9       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тигани за паеля
gid://shopify/TaxonomyCategory/hg-11-2-3-10      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тенджери под налягане и консервиране
gid://shopify/TaxonomyCategory/hg-11-2-3-10-1    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тенджери под налягане и консервиране > Тенджери за консервиране
gid://shopify/TaxonomyCategory/hg-11-2-3-10-2    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тенджери под налягане и консервиране > Тенджери под налягане
gid://shopify/TaxonomyCategory/hg-11-2-3-11      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тенджери
gid://shopify/TaxonomyCategory/hg-11-2-3-12      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тигани за сотиране
gid://shopify/TaxonomyCategory/hg-11-2-3-13      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Чугунени тигани и тигани за пържене
gid://shopify/TaxonomyCategory/hg-11-2-3-13-1    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Чугунени тигани и тигани за пържене > Тигани за пържене
gid://shopify/TaxonomyCategory/hg-11-2-3-13-2    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Чугунени тигани и тигани за пържене > Чугунени тигани
gid://shopify/TaxonomyCategory/hg-11-2-3-14      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Тенджери за бульони
gid://shopify/TaxonomyCategory/hg-11-2-3-15      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Чайници за котлон
gid://shopify/TaxonomyCategory/hg-11-2-3-16      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Таджини и глинени съдове за готвене
gid://shopify/TaxonomyCategory/hg-11-2-3-16-1    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Таджини и глинени съдове за готвене > Глинени съдове за готвене
gid://shopify/TaxonomyCategory/hg-11-2-3-16-2    : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Таджини и глинени съдове за готвене > Таджини
gid://shopify/TaxonomyCategory/hg-11-2-3-17      : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Съдове за готвене > Уок тигани
gid://shopify/TaxonomyCategory/hg-11-2-4         : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Комбинирани комплекти съдове за готвене и печене
gid://shopify/TaxonomyCategory/hg-11-2-5         : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове
gid://shopify/TaxonomyCategory/hg-11-2-5-1       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Дръжки за тенджери и тигани
gid://shopify/TaxonomyCategory/hg-11-2-5-2       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Капаци за тенджери и тигани
gid://shopify/TaxonomyCategory/hg-11-2-5-3       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви
gid://shopify/TaxonomyCategory/hg-11-2-5-3-1     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви > Разделители за храна
gid://shopify/TaxonomyCategory/hg-11-2-5-3-2     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви > Уплътнения
gid://shopify/TaxonomyCategory/hg-11-2-5-3-3     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви > Дръжки
gid://shopify/TaxonomyCategory/hg-11-2-5-3-4     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви > Таймери за тенджера под налягане
gid://shopify/TaxonomyCategory/hg-11-2-5-3-6     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за тенджера под налягане и консерви > Клапани
gid://shopify/TaxonomyCategory/hg-11-2-5-4       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Кошници за готвене на пара
gid://shopify/TaxonomyCategory/hg-11-2-5-5       : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за уок тигани
gid://shopify/TaxonomyCategory/hg-11-2-5-5-1     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за уок тигани > Четки за уок тигани
gid://shopify/TaxonomyCategory/hg-11-2-5-5-2     : Дом и градина > Кухня и трапезария > Съдове за готвене и печене > Аксесоари за готварски съдове > Аксесоари за уок тигани > Метални подложки за уок тигани
gid://shopify/TaxonomyCategory/hg-11-3           : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки
gid://shopify/TaxonomyCategory/hg-11-3-1         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Термосни контейнери за напитки
gid://shopify/TaxonomyCategory/hg-11-3-2         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Манерки
gid://shopify/TaxonomyCategory/hg-11-3-3         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Охладители
gid://shopify/TaxonomyCategory/hg-11-3-4         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Ръкави за напитки
gid://shopify/TaxonomyCategory/hg-11-3-4-1       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Ръкави за напитки > Ръкави за кенчета и бутилки
gid://shopify/TaxonomyCategory/hg-11-3-4-2       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Ръкави за напитки > Ръкави за чаши
gid://shopify/TaxonomyCategory/hg-11-3-5         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Вакуумни бутилки
gid://shopify/TaxonomyCategory/hg-11-3-6         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Изолирани чанти
gid://shopify/TaxonomyCategory/hg-11-3-7         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кутии за обяд и чанти
gid://shopify/TaxonomyCategory/hg-11-3-7-1       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кутии за обяд и чанти > Чанти за обяд
gid://shopify/TaxonomyCategory/hg-11-3-7-2       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кутии за обяд и чанти > Комплекти кутии за обяд
gid://shopify/TaxonomyCategory/hg-11-3-7-3       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кутии за обяд и чанти > Контейнери за обяд
gid://shopify/TaxonomyCategory/hg-11-3-7-4       : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кутии за обяд и чанти > Куфарчета за обяд
gid://shopify/TaxonomyCategory/hg-11-3-8         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Кошници за пикник
gid://shopify/TaxonomyCategory/hg-11-3-9         : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Резервни капаци за напитки
gid://shopify/TaxonomyCategory/hg-11-3-10        : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Термоси
gid://shopify/TaxonomyCategory/hg-11-3-11        : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Бутилки за вода
gid://shopify/TaxonomyCategory/hg-11-3-12        : Дом и градина > Кухня и трапезария > Контейнери за храна и напитки > Чанти за вино
gid://shopify/TaxonomyCategory/hg-11-4           : Дом и градина > Кухня и трапезария > Съхранение на храна
gid://shopify/TaxonomyCategory/hg-11-4-1         : Дом и градина > Кухня и трапезария > Съхранение на храна > Кутии и чанти за хляб
gid://shopify/TaxonomyCategory/hg-11-4-2         : Дом и градина > Кухня и трапезария > Съхранение на храна > Кофички за бонбони
gid://shopify/TaxonomyCategory/hg-11-4-3         : Дом и градина > Кухня и трапезария > Съхранение на храна > Буркани за бисквитки
gid://shopify/TaxonomyCategory/hg-11-4-4         : Дом и градина > Кухня и трапезария > Съхранение на храна > Капаци за контейнери за храна
gid://shopify/TaxonomyCategory/hg-11-4-5         : Дом и градина > Кухня и трапезария > Съхранение на храна > Чанти за съхранение на храна
gid://shopify/TaxonomyCategory/hg-11-4-6         : Дом и градина > Кухня и трапезария > Съхранение на храна > Контейнери за съхранение на храна
gid://shopify/TaxonomyCategory/hg-11-4-7         : Дом и градина > Кухня и трапезария > Съхранение на храна > Хранителни опаковки
gid://shopify/TaxonomyCategory/hg-11-4-7-1       : Дом и градина > Кухня и трапезария > Съхранение на храна > Хранителни опаковки > Фолио
gid://shopify/TaxonomyCategory/hg-11-4-7-2       : Дом и градина > Кухня и трапезария > Съхранение на храна > Хранителни опаковки > Пергаментова хартия
gid://shopify/TaxonomyCategory/hg-11-4-7-3       : Дом и градина > Кухня и трапезария > Съхранение на храна > Хранителни опаковки > Фолио за свежо съхранение
gid://shopify/TaxonomyCategory/hg-11-4-7-4       : Дом и градина > Кухня и трапезария > Съхранение на храна > Хранителни опаковки > Восъчна хартия
gid://shopify/TaxonomyCategory/hg-11-4-8         : Дом и градина > Кухня и трапезария > Съхранение на храна > Буркани за мед
gid://shopify/TaxonomyCategory/hg-11-5           : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна
gid://shopify/TaxonomyCategory/hg-11-5-1         : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Етикети за храни и напитки
gid://shopify/TaxonomyCategory/hg-11-5-2         : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Диспенсъри на опаковки за храна
gid://shopify/TaxonomyCategory/hg-11-5-3         : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Пакети за абсорбиране на кислород
gid://shopify/TaxonomyCategory/hg-11-5-4         : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Телчета и щипки за торбички
gid://shopify/TaxonomyCategory/hg-11-5-4-1       : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Телчета и щипки за торбички > Капачки за запечатване на торбички
gid://shopify/TaxonomyCategory/hg-11-5-4-2       : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Телчета и щипки за торбички > Щипки за запечатване на торбички
gid://shopify/TaxonomyCategory/hg-11-5-4-4       : Дом и градина > Кухня и трапезария > Аксесоари за съхранение на храна > Телчета и щипки за торбички > Телчета за завързване
gid://shopify/TaxonomyCategory/hg-11-6           : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди
gid://shopify/TaxonomyCategory/hg-11-6-1         : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за хлебопекарни
gid://shopify/TaxonomyCategory/hg-11-6-1-1       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за хлебопекарни > Тави за хляб
gid://shopify/TaxonomyCategory/hg-11-6-1-2       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за хлебопекарни > Куки за месене
gid://shopify/TaxonomyCategory/hg-11-6-1-3       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за хлебопекарни > Лопатки за месене
gid://shopify/TaxonomyCategory/hg-11-6-2         : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо
gid://shopify/TaxonomyCategory/hg-11-6-2-1       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Нагреватели за кани за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-2       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Кани за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-3       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Кошници за филтър за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-4       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Филтри за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-5       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Аксесоари за кафемелачки
gid://shopify/TaxonomyCategory/hg-11-6-2-6       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Кафемелачки
gid://shopify/TaxonomyCategory/hg-11-6-2-7       : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо
gid://shopify/TaxonomyCategory/hg-11-6-2-7-2     : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Капучинатори
gid://shopify/TaxonomyCategory/hg-11-6-2-7-3     : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Адаптери за капсули
gid://shopify/TaxonomyCategory/hg-11-6-2-7-5     : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Шейкъри за шоколад
gid://shopify/TaxonomyCategory/hg-11-6-2-7-8     : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Диспенсъри за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-7-9     : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Дозатори за кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-7-10    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Комплекти за приготвяне на кафе
gid://shopify/TaxonomyCategory/hg-11-6-2-7-12    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Нагреватели за чаши
gid://shopify/TaxonomyCategory/hg-11-6-2-7-13    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Капаци за вани за отцеждане
gid://shopify/TaxonomyCategory/hg-11-6-2-7-14    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Тави за отцеждане
gid://shopify/TaxonomyCategory/hg-11-6-2-7-15    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Дрипери
gid://shopify/TaxonomyCategory/hg-11-6-2-7-16    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Кутии за изхвърляне утайка
gid://shopify/TaxonomyCategory/hg-11-6-2-7-20    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Уплътнения
gid://shopify/TaxonomyCategory/hg-11-6-2-7-21    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Дръжки
gid://shopify/TaxonomyCategory/hg-11-6-2-7-23    : Дом и градина > Кухня и трапезария > Аксесоари за кухненски уреди > Аксесоари за кафемашини и машини за еспресо > Резервни части за кафемашини и машини за еспресо > Кранчета
