# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-lasien istuvuuden muotoilu
gid://shopify/TaxonomyAttribute/7844  : Maidon perusainetyyppi
gid://shopify/TaxonomyAttribute/7845  : Eläinten ruokintatapa
gid://shopify/TaxonomyAttribute/6017  : Maidonvaahdottimen tyyppi
gid://shopify/TaxonomyAttribute/6018  : Maidon vaahdotusmenetelmä
gid://shopify/TaxonomyAttribute/6019  : Maidonvaahdotusjärjestelmä
gid://shopify/TaxonomyAttribute/7846  : Maidon käsittelymenetelmä
gid://shopify/TaxonomyAttribute/7847  : Maidon alkuperäeläin
gid://shopify/TaxonomyAttribute/7848  : Hirssin käsittelymenetelmä
gid://shopify/TaxonomyAttribute/7849  : Hirssilajike
gid://shopify/TaxonomyAttribute/7850  : Jauhantaprosessi
gid://shopify/TaxonomyAttribute/2378  : Mineraaliluokka
gid://shopify/TaxonomyAttribute/5134  : Mineraaliyhdisteen muoto
gid://shopify/TaxonomyAttribute/2618  : Vähimmäissuurennus
gid://shopify/TaxonomyAttribute/9882  : Rahapajan tunnus
gid://shopify/TaxonomyAttribute/6938  : Peilikonfiguraatio
gid://shopify/TaxonomyAttribute/6939  : Peilien peittävyys
gid://shopify/TaxonomyAttribute/6020  : Peilin kaarevuus
gid://shopify/TaxonomyAttribute/10709 : Peilin kaarevuustyyppi
gid://shopify/TaxonomyAttribute/2560  : Peilikahvan muotoilu
gid://shopify/TaxonomyAttribute/10710 : Peilin kiinnityskohta
gid://shopify/TaxonomyAttribute/6940  : Peilin muoto
gid://shopify/TaxonomyAttribute/5247  : Peilin sivut
gid://shopify/TaxonomyAttribute/6021  : Peilin tyyppi
gid://shopify/TaxonomyAttribute/5283  : Sumutteen käyttöalue
gid://shopify/TaxonomyAttribute/6022  : Sumutustila
gid://shopify/TaxonomyAttribute/8501  : Sekoitussuhde
gid://shopify/TaxonomyAttribute/1827  : Sekoitintyyppi
gid://shopify/TaxonomyAttribute/6303  : Sekoituskulhon ominaisuudet
gid://shopify/TaxonomyAttribute/6023  : Sekoitusmekanismi
gid://shopify/TaxonomyAttribute/1736  : Siirrettävä asennustyyppi
gid://shopify/TaxonomyAttribute/1738  : Mobiililiike
gid://shopify/TaxonomyAttribute/5429  : Matkapuhelimen mukana tulevat lisävarusteet
gid://shopify/TaxonomyAttribute/3073  : Matkapuhelimen kotelon ominaisuudet
gid://shopify/TaxonomyAttribute/5015  : Matkapuhelinliittimen liitintyyppi
gid://shopify/TaxonomyAttribute/5016  : Matkapuhelimen muotoilu
gid://shopify/TaxonomyAttribute/6941  : Liikkuvuusominaisuudet
gid://shopify/TaxonomyAttribute/1582  : Invalidimopedityyppi
gid://shopify/TaxonomyAttribute/5379  : Liikkuvuustyyppi
gid://shopify/TaxonomyAttribute/3127  : Liikkuvuus-/esteettömyyslaitteiden ominaisuudet
gid://shopify/TaxonomyAttribute/6024  : Mochi-koneen toiminnot
gid://shopify/TaxonomyAttribute/6025  : Toimintatila
gid://shopify/TaxonomyAttribute/6455  : Mallilentokoneiden kokoonpanotaso
gid://shopify/TaxonomyAttribute/2395  : Malliohjaustekniikka
gid://shopify/TaxonomyAttribute/5042  : Mallin sukupuoliedustus
gid://shopify/TaxonomyAttribute/9883  : Pienoismallin rakennussarjan sisältö
gid://shopify/TaxonomyAttribute/9884  : Pienoismallituotteen tyyppi
gid://shopify/TaxonomyAttribute/9885  : Pienoismalliraketin rakennussarjaan sisältyvät osat
gid://shopify/TaxonomyAttribute/9886  : Mallirakettipakkauksen muoto
gid://shopify/TaxonomyAttribute/9887  : Rakettimoottorin impulssiluokka
gid://shopify/TaxonomyAttribute/6456  : Rakettimoottorin kiinnikkeen koko
gid://shopify/TaxonomyAttribute/9888  : Vaadittu malliraketin virtalähde
gid://shopify/TaxonomyAttribute/9889  : Rakettimoottorin ajoaineen tyyppi
gid://shopify/TaxonomyAttribute/9890  : Suositeltu laukaisutangon tai -kiskon koko
gid://shopify/TaxonomyAttribute/9891  : Raketin palautusmenetelmä
gid://shopify/TaxonomyAttribute/6457  : Raketin palautusjärjestelmän tyyppi
gid://shopify/TaxonomyAttribute/6458  : Pienoismalliraketin vaiheistus
gid://shopify/TaxonomyAttribute/9892  : Pienoisrautatietarvikkeen sähköliitäntätyyppi
gid://shopify/TaxonomyAttribute/2393  : Pienoismallijunien lisävarustetyyppi
gid://shopify/TaxonomyAttribute/9893  : Pienoismallijunan kytkintyyppi
gid://shopify/TaxonomyAttribute/9894  : Mallijunan raideleveys
gid://shopify/TaxonomyAttribute/9895  : Mallijunan valaisuominaisuudet
gid://shopify/TaxonomyAttribute/9896  : Pienoismallijunan virranottotapa
gid://shopify/TaxonomyAttribute/9897  : Mallijunan mittakaava
gid://shopify/TaxonomyAttribute/9898  : Pienoismallijunan äänitoiminnot
gid://shopify/TaxonomyAttribute/3022  : Mallijunan teema
gid://shopify/TaxonomyAttribute/9899  : Pienoismallijunan raideleveys
gid://shopify/TaxonomyAttribute/9900  : Muovailuvahan pohjamateriaali
gid://shopify/TaxonomyAttribute/9901  : Muovailuvahan ominaisuudet
gid://shopify/TaxonomyAttribute/5360  : Modeemin muotokerroin
gid://shopify/TaxonomyAttribute/5361  : Modeemiteknologia
gid://shopify/TaxonomyAttribute/9902  : Muokkaustaso
gid://shopify/TaxonomyAttribute/1867  : Modulaatiomenetelmä
gid://shopify/TaxonomyAttribute/6026  : Kosteutta imevä muoto
gid://shopify/TaxonomyAttribute/3341  : Kosteusvoide tyyppi
gid://shopify/TaxonomyAttribute/7851  : Melassin pääraaka-aine
gid://shopify/TaxonomyAttribute/7852  : Melassilaatu
gid://shopify/TaxonomyAttribute/9903  : Muotin materiaali
gid://shopify/TaxonomyAttribute/2955  : Muotoiltu/leikattu muoto
gid://shopify/TaxonomyAttribute/2097  : Muovaussovellus
gid://shopify/TaxonomyAttribute/2119  : Muovailun muoto
gid://shopify/TaxonomyAttribute/6027  : Rahan nostotapa
gid://shopify/TaxonomyAttribute/2795  : Näytön kiinnitystyyppi
gid://shopify/TaxonomyAttribute/2905  : Näytön muoto
gid://shopify/TaxonomyAttribute/2007  : Näyttölaitetyyppi
gid://shopify/TaxonomyAttribute/3085  : Monitorin/näytön erikoisominaisuudet
gid://shopify/TaxonomyAttribute/5109  : Seurantamenetelmä
gid://shopify/TaxonomyAttribute/5053  : Valvontapalvelun tyyppi
gid://shopify/TaxonomyAttribute/6028  : Mopin pään tyyppi
gid://shopify/TaxonomyAttribute/6029  : Mopin puristusmekanismi
gid://shopify/TaxonomyAttribute/1841  : Emolevyn piirisarjaperhe
gid://shopify/TaxonomyAttribute/1842  : Emolevyn muotokerroin
gid://shopify/TaxonomyAttribute/3071  : Emolevyn muistiominaisuudet
gid://shopify/TaxonomyAttribute/1734  : Liike
gid://shopify/TaxonomyAttribute/2793  : Liiketunnistimen tyyppi
gid://shopify/TaxonomyAttribute/10713 : Moottorin hihnan tyyppi
gid://shopify/TaxonomyAttribute/10714 : Moottorin kokoonpano
gid://shopify/TaxonomyAttribute/8502  : Moottorin asennuskokoonpano
gid://shopify/TaxonomyAttribute/10715 : Moottorin asennussijainti
gid://shopify/TaxonomyAttribute/10716 : Moottorin sijainti
gid://shopify/TaxonomyAttribute/2162  : Moottorin käynnistysmenetelmä
gid://shopify/TaxonomyAttribute/5255  : Moottorin tyyppi
gid://shopify/TaxonomyAttribute/8503  : Moottoriajoneuvojen A/V-integraatio-ominaisuudet
gid://shopify/TaxonomyAttribute/8504  : Ajoneuvon polttimon käyttökohde tai sijainti
gid://shopify/TaxonomyAttribute/8505  : Ajoneuvon polttimon hyväksyntästandardi
gid://shopify/TaxonomyAttribute/8506  : Moottoriajoneuvon happianturin ryhmä
gid://shopify/TaxonomyAttribute/8507  : Moottoriajoneuvon happianturin johtojen määrä
gid://shopify/TaxonomyAttribute/8508  : Ajoneuvon happianturin sijainti
gid://shopify/TaxonomyAttribute/8509  : Ajoneuvon happianturin anturinumero
gid://shopify/TaxonomyAttribute/8510  : Moottoriajoneuvon happianturin tyyppi
gid://shopify/TaxonomyAttribute/8511  : Moottoriajoneuvon maalin levitysmenetelmä
gid://shopify/TaxonomyAttribute/8512  : Moottoriajoneuvon maalausjärjestelmän vaihe
gid://shopify/TaxonomyAttribute/2698  : Moottoriajoneuvon sijoitus
gid://shopify/TaxonomyAttribute/8513  : Moottoriajoneuvon kaiuttimen kiinnitystyyppi
gid://shopify/TaxonomyAttribute/8514  : Moottoriajoneuvon bassokaiuttimen koko
gid://shopify/TaxonomyAttribute/8515  : Ajoneuvon subwooferin puhekelan kokoonpano
gid://shopify/TaxonomyAttribute/8516  : Moottoriajoneuvon subwooferin puhekelan impedanssi (kelaa kohden)
gid://shopify/TaxonomyAttribute/2695  : Moottoriajoneuvotyyppi
gid://shopify/TaxonomyAttribute/8517  : Moottoriajoneuvon jännitteensäätimen tyyppi
gid://shopify/TaxonomyAttribute/8518  : Moottoripyörän panssarien sertifiointistandardi
gid://shopify/TaxonomyAttribute/8519  : Moottoripyöräpeitteen kokoluokka
gid://shopify/TaxonomyAttribute/2750  : Moottoripyörän vetotapa
gid://shopify/TaxonomyAttribute/8520  : Moottoripyöräkäsineiden sertifiointistandardi
gid://shopify/TaxonomyAttribute/2716  : Moottoripyöräkäsineiden käyttötarkoitus
gid://shopify/TaxonomyAttribute/8521  : Moottoripyöräkäsineen vedenpitävä rakenne
gid://shopify/TaxonomyAttribute/8522  : Moottoripyörän suojan peittoalue
gid://shopify/TaxonomyAttribute/8523  : Moottoripyöräilijän munuaisvyön rakenne
gid://shopify/TaxonomyAttribute/8524  : Moottoripyöräasun munuaisvyön tarkoitus
gid://shopify/TaxonomyAttribute/8525  : Moottoripyörän laukkujen kokoluokka
gid://shopify/TaxonomyAttribute/8526  : Moottoripyörän laukkujen kiinnitysjärjestelmä
gid://shopify/TaxonomyAttribute/8527  : Moottoripyörän laukkujen puolisuus
gid://shopify/TaxonomyAttribute/8528  : Moottoripyörän suojavarusteiden kokojärjestelmä
gid://shopify/TaxonomyAttribute/8529  : Moottoripyörän kuljetustelineen tyyppi
gid://shopify/TaxonomyAttribute/8530  : Moottoripyöräilyn ajotyyli
gid://shopify/TaxonomyAttribute/8531  : Moottoripyörän renkaan nopeusluokitus
gid://shopify/TaxonomyAttribute/2702  : Moottoripyörän rengastyyppi
gid://shopify/TaxonomyAttribute/2751  : Moottoripyörä-/skootterityyppi
gid://shopify/TaxonomyAttribute/8532  : Moottoriurheilun ikkunaverkon sertifiointi
gid://shopify/TaxonomyAttribute/10717 : Kummun käyttötapa
gid://shopify/TaxonomyAttribute/8533  : Asennuksen kiinnitysmenetelmä
gid://shopify/TaxonomyAttribute/5675  : Kiinnikkeen asennuspiste
gid://shopify/TaxonomyAttribute/5674  : Kiinnitysrajapintajärjestelmä
gid://shopify/TaxonomyAttribute/2789  : Kiinnitysmateriaali
gid://shopify/TaxonomyAttribute/3023  : Kiinnityksen/telineen ominaisuudet
gid://shopify/TaxonomyAttribute/10718 : Mountainboard-trukin tyyppi
gid://shopify/TaxonomyAttribute/6030  : Kiinnityspulttijako
gid://shopify/TaxonomyAttribute/2794  : Asennuslaitteisto
gid://shopify/TaxonomyAttribute/8534  : Kiinnityslaite sisältyy (asennusta varten)
gid://shopify/TaxonomyAttribute/5430  : Kiinnityskäyttöliittymän malli
gid://shopify/TaxonomyAttribute/5619  : Kiinnitysrajapinnan standardi
gid://shopify/TaxonomyAttribute/8535  : Asennuskohta
gid://shopify/TaxonomyAttribute/5017  : Kiinnitysmekanismi
gid://shopify/TaxonomyAttribute/8536  : Kiinnitystapa
gid://shopify/TaxonomyAttribute/8537  : Asennussijainti
gid://shopify/TaxonomyAttribute/10719 : Asennuskiskon tyyppi
gid://shopify/TaxonomyAttribute/8538  : Kiinnitysvastaanottimen koko
gid://shopify/TaxonomyAttribute/5343  : Asennustyyli
gid://shopify/TaxonomyAttribute/5506  : Asennustekniikka
gid://shopify/TaxonomyAttribute/5521  : Kiinnityskierteen koko
gid://shopify/TaxonomyAttribute/1205  : Asennustyyppinen
gid://shopify/TaxonomyAttribute/8539  : Kiinnitys-/säilytystilatyyppi
gid://shopify/TaxonomyAttribute/9904  : Kiinnitystapa
gid://shopify/TaxonomyAttribute/9905  : Asennus-/liitostyyppi
gid://shopify/TaxonomyAttribute/3080  : Hiirimaton ominaisuudet
gid://shopify/TaxonomyAttribute/1915  : Hiiriporttityyppi
gid://shopify/TaxonomyAttribute/1917  : Hiiriteknologia
gid://shopify/TaxonomyAttribute/3083  : Hiiren/ohjauspallon ominaisuudet
gid://shopify/TaxonomyAttribute/10720 : Suukappaleen tyyppi
gid://shopify/TaxonomyAttribute/3381  : Hammassuojan suunnittelu
gid://shopify/TaxonomyAttribute/10721 : Hammassuojan muotin tyyppi
gid://shopify/TaxonomyAttribute/2483  : Suukappale
gid://shopify/TaxonomyAttribute/9906  : Suukappaleen viisteen pituus
gid://shopify/TaxonomyAttribute/9907  : Suukappaleen materiaali
gid://shopify/TaxonomyAttribute/9909  : Suukappaleen varren koko
gid://shopify/TaxonomyAttribute/9910  : Suukappaleen varren tyyppi
gid://shopify/TaxonomyAttribute/9908  : Suukappaleen varren tai vastakappaleen koko
gid://shopify/TaxonomyAttribute/6031  : Suukappaleen muoto
gid://shopify/TaxonomyAttribute/10722 : Suukappaleen tyyli
gid://shopify/TaxonomyAttribute/9911  : Suukappaleen tyyppi
gid://shopify/TaxonomyAttribute/6942  : Liikemekanismi
gid://shopify/TaxonomyAttribute/6032  : Leikkuulaitteen materiaali
gid://shopify/TaxonomyAttribute/7853  : Muffinin koko
gid://shopify/TaxonomyAttribute/6033  : Katteen muoto
gid://shopify/TaxonomyAttribute/1843  : Moni-Gpu-teknologia
gid://shopify/TaxonomyAttribute/5355  : Moniplexer-teknologia
gid://shopify/TaxonomyAttribute/3128  : Lihasstimulaattorin muotoilu
gid://shopify/TaxonomyAttribute/7854  : Sienilajike
gid://shopify/TaxonomyAttribute/1793  : Musiikkilaji
gid://shopify/TaxonomyAttribute/2441  : Nuottitelineen muotoilu
gid://shopify/TaxonomyAttribute/9912  : Nuottitelineen tason kallistussäätö
gid://shopify/TaxonomyAttribute/9913  : Nuottitelineen käyttötarkoitus
gid://shopify/TaxonomyAttribute/9914  : Rytmikapulan viretyyppi
gid://shopify/TaxonomyAttribute/6459  : Soittorasian mekanismin tyyppi
gid://shopify/TaxonomyAttribute/2488  : Sävellaji
gid://shopify/TaxonomyAttribute/9915  : Kosketinsoittimen laukun istuvuustyyppi
gid://shopify/TaxonomyAttribute/9916  : Räikkäsoittimen sointi
gid://shopify/TaxonomyAttribute/9917  : Raappasoittimen uran pintamateriaali
gid://shopify/TaxonomyAttribute/9918  : Raappasoitintyyppi
gid://shopify/TaxonomyAttribute/9919  : Vaimentimen kiinnitysmenetelmä
gid://shopify/TaxonomyAttribute/9920  : Vaimennustaso
gid://shopify/TaxonomyAttribute/9921  : Vaimenninkorkin tai -pehmusteen materiaali
gid://shopify/TaxonomyAttribute/9922  : Vaimentimen peittävyystyyppi
gid://shopify/TaxonomyAttribute/9923  : Vaimentava pinta
gid://shopify/TaxonomyAttribute/5583  : NEMA-kotelon luokitus
gid://shopify/TaxonomyAttribute/3338  : Mukana kynsituotteet
gid://shopify/TaxonomyAttribute/5280  : Kynsitaidetarvikkeen tyyppi
gid://shopify/TaxonomyAttribute/3131  : Kynsienhoito-ominaisuudet
gid://shopify/TaxonomyAttribute/1623  : Kynsien muotoilu
gid://shopify/TaxonomyAttribute/3339  : Kynsilakan kuivausmuoto
gid://shopify/TaxonomyAttribute/1624  : Kynnen muoto
gid://shopify/TaxonomyAttribute/9924  : Lapun tekstipohja
gid://shopify/TaxonomyAttribute/6034  : Toimitukseen sisältyvät torkkualustan tuotteet
gid://shopify/TaxonomyAttribute/6035  : Lautasliinan reunan viimeistely
gid://shopify/TaxonomyAttribute/9925  : Servietin kerrosmäärä
gid://shopify/TaxonomyAttribute/2673  : Kansallinen/alueellinen luokitus
gid://shopify/TaxonomyAttribute/1958  : Alkuperäinen kuvasuhde
gid://shopify/TaxonomyAttribute/3129  : Nebulisaattorin muotoilu
gid://shopify/TaxonomyAttribute/1591  : Sumutinteknologia
gid://shopify/TaxonomyAttribute/8540  : Niskatuen säätöjärjestelmä
gid://shopify/TaxonomyAttribute/8541  : Niskatuen koon mittaustapa
gid://shopify/TaxonomyAttribute/9926  : Kaulan konfiguraatio
gid://shopify/TaxonomyAttribute/10723 : Kaulan peitteen tyyppi
gid://shopify/TaxonomyAttribute/8542  : Kaulatuen kokojärjestelmä
gid://shopify/TaxonomyAttribute/3262  : Kaulakorun suunnittelu
gid://shopify/TaxonomyAttribute/6767  : Kaulakorun pituustyyppi
gid://shopify/TaxonomyAttribute/32    : Pääntie
gid://shopify/TaxonomyAttribute/10724 : Neulan tasapainotusalue
gid://shopify/TaxonomyAttribute/9927  : Neulakotelon muoto
gid://shopify/TaxonomyAttribute/5044  : Neulan päällystystyyppi
gid://shopify/TaxonomyAttribute/10725 : Neulan vaimennustyyppi
gid://shopify/TaxonomyAttribute/2354  : Neulansilmätyyppi
gid://shopify/TaxonomyAttribute/9928  : Huovutusneulan profiili
gid://shopify/TaxonomyAttribute/2602  : Neulakoetin
gid://shopify/TaxonomyAttribute/9929  : Neulanpitimen ominaisuudet
gid://shopify/TaxonomyAttribute/9930  : Neulanpitimen kiinnitystapa
gid://shopify/TaxonomyAttribute/9931  : Neulanpitimen tyyppi
gid://shopify/TaxonomyAttribute/1545  : Neulan materiaali
gid://shopify/TaxonomyAttribute/9932  : Neulan paininpinnan tyyppi
gid://shopify/TaxonomyAttribute/9933  : Neulavaatimus (helmikirjontakuvio)
gid://shopify/TaxonomyAttribute/2355  : Neulan koko
gid://shopify/TaxonomyAttribute/9934  : Neulan kokojärjestelmä
gid://shopify/TaxonomyAttribute/9935  : Neulan langoittajaan sopiva neulatyyppi
gid://shopify/TaxonomyAttribute/9936  : Neulan langanpujottimen mekanismityyppi
gid://shopify/TaxonomyAttribute/9937  : Neulan langoittajan pakkaustyyppi
gid://shopify/TaxonomyAttribute/9938  : Kirjontakankaan värisarja
gid://shopify/TaxonomyAttribute/9939  : Kirjontakankaan koostumus
gid://shopify/TaxonomyAttribute/9940  : Kirjontakankaan sidostyyppi
gid://shopify/TaxonomyAttribute/9941  : Kirjontasarjan mukana tulevat osat
gid://shopify/TaxonomyAttribute/9942  : Kirjontasarjan projektityyppi
gid://shopify/TaxonomyAttribute/3271  : Ompelusetin tyyppi
gid://shopify/TaxonomyAttribute/9943  : Kirjontatyön peittävyysaste
gid://shopify/TaxonomyAttribute/9944  : Kirjontakankaan silmätiheys
gid://shopify/TaxonomyAttribute/9945  : Kirjontakehyksen kankaan kiinnitysmenetelmä
gid://shopify/TaxonomyAttribute/9946  : Kirjontakankaan kehykseen sopiva jalustatyyppi
gid://shopify/TaxonomyAttribute/9947  : Kirjontakankaan kehyksen sisältö
gid://shopify/TaxonomyAttribute/9948  : Kirjontakehyksen kireydensäätötapa
gid://shopify/TaxonomyAttribute/9949  : Pistokirjonnan kuviokaavion muoto
gid://shopify/TaxonomyAttribute/9950  : Kirjontatyön tyyppi
gid://shopify/TaxonomyAttribute/2054  : Negatiivien ja diojen säilytystapa
gid://shopify/TaxonomyAttribute/10726 : Verkon rakenne
gid://shopify/TaxonomyAttribute/2848  : Verkon materiaali
gid://shopify/TaxonomyAttribute/10727 : Verkon kuviointi
gid://shopify/TaxonomyAttribute/2855  : Verkkoasennustyyppi
gid://shopify/TaxonomyAttribute/10728 : Verkon langan paksuus
gid://shopify/TaxonomyAttribute/1895  : Verkkokaapeliliitäntä
gid://shopify/TaxonomyAttribute/5359  : Verkkotason tuki
gid://shopify/TaxonomyAttribute/1937  : Tuetut verkkoprotokollat
gid://shopify/TaxonomyAttribute/1938  : Verkkostandardit
gid://shopify/TaxonomyAttribute/5522  : Harmaasuotimen luokitus
gid://shopify/TaxonomyAttribute/7855  : Nikotiinin lähde
gid://shopify/TaxonomyAttribute/1198  : Yöpaidan tyyli
gid://shopify/TaxonomyAttribute/10729 : Nipan vääntiöliitäntä
gid://shopify/TaxonomyAttribute/1769  : Tuttipullon tutin materiaali
gid://shopify/TaxonomyAttribute/1767  : Tuttipullon tutin muoto
gid://shopify/TaxonomyAttribute/1770  : Nippatyyppi
gid://shopify/TaxonomyAttribute/10730 : Nokin aktivointitapa
gid://shopify/TaxonomyAttribute/10731 : Nokin sovituskoodi
gid://shopify/TaxonomyAttribute/2884  : Nokki-materiaali
gid://shopify/TaxonomyAttribute/10732 : Nokkiuran koko
gid://shopify/TaxonomyAttribute/10733 : Nokin läpinäkyvyystaso
gid://shopify/TaxonomyAttribute/10734 : Nokkityyppi
gid://shopify/TaxonomyAttribute/5449  : Melunvaimennustekniikka
gid://shopify/TaxonomyAttribute/2516  : Melun voimakkuus
gid://shopify/TaxonomyAttribute/5473  : Kohinanvaimennusjärjestelmä
gid://shopify/TaxonomyAttribute/8543  : Melunvaimennuksen tyyppi
gid://shopify/TaxonomyAttribute/10735 : Melunvaimennustekniikka
gid://shopify/TaxonomyAttribute/9951  : Liukuestepohjan ominaisuudet
gid://shopify/TaxonomyAttribute/6036  : Nuudelin ydinosa
gid://shopify/TaxonomyAttribute/10736 : Nenäsillan tyyppi
gid://shopify/TaxonomyAttribute/10737 : Mukana tulevat nenäklipsitarvikkeet
gid://shopify/TaxonomyAttribute/10738 : Nenäklipsin ominaisuudet
gid://shopify/TaxonomyAttribute/10739 : Turvan peitteen tyyli
gid://shopify/TaxonomyAttribute/10740 : Turpahihnan tyyppi
gid://shopify/TaxonomyAttribute/3366  : Muistilehtiön muotoilu
gid://shopify/TaxonomyAttribute/6037  : Suuttimen säädettävyys
gid://shopify/TaxonomyAttribute/5367  : Suuttimen pinnoite
gid://shopify/TaxonomyAttribute/6038  : Suuttimen materiaali
gid://shopify/TaxonomyAttribute/6039  : Suutintyyli
gid://shopify/TaxonomyAttribute/5368  : Suuttimen kierretyyppi
gid://shopify/TaxonomyAttribute/1666  : Suutintyyppi
gid://shopify/TaxonomyAttribute/6040  : Mukana toimitettavat suutintyypit
gid://shopify/TaxonomyAttribute/9952  : Kankaan silmäluku
gid://shopify/TaxonomyAttribute/10741 : Eturattaiden lukumäärä
gid://shopify/TaxonomyAttribute/6041  : Lokeroiden lukumäärä
gid://shopify/TaxonomyAttribute/8544  : Ohjauspisteiden lukumäärä
gid://shopify/TaxonomyAttribute/9953  : Numeroiden lukumäärä
gid://shopify/TaxonomyAttribute/9954  : Kitarapaikkojen lukumäärä
gid://shopify/TaxonomyAttribute/9955  : Kirjontakankaiden lukumäärä
gid://shopify/TaxonomyAttribute/9956  : Muovikanavan silmämäärä
gid://shopify/TaxonomyAttribute/9957  : Tikkauksessa käytettävien kehysten tankojen määrä
gid://shopify/TaxonomyAttribute/10742 : Köysipaikkojen lukumäärä
gid://shopify/TaxonomyAttribute/8545  : Kytkimen napojen lukumäärä
gid://shopify/TaxonomyAttribute/8546  : Kytkimen kytkentäasentojen määrä
gid://shopify/TaxonomyAttribute/8547  : Jakoketjun rivien lukumäärä
gid://shopify/TaxonomyAttribute/8548  : Perävaunun akselien lukumäärä
gid://shopify/TaxonomyAttribute/8549  : Pyörän osien lukumäärä
gid://shopify/TaxonomyAttribute/10743 : Numerointitapa
gid://shopify/TaxonomyAttribute/6042  : Numerotyyli
gid://shopify/TaxonomyAttribute/10744 : Nunchakun kapuloiden yhdistäjä
gid://shopify/TaxonomyAttribute/1739  : Lastenhuoneen teema
gid://shopify/TaxonomyAttribute/6768  : Imetysmahdollisuus
gid://shopify/TaxonomyAttribute/6769  : Imetysmahdollisuuden tyyppi
gid://shopify/TaxonomyAttribute/1782  : Imetyssuojan peittävyys
gid://shopify/TaxonomyAttribute/1783  : Imetystyynyn muotoilu
gid://shopify/TaxonomyAttribute/2902  : Imetystyynyn muoto
gid://shopify/TaxonomyAttribute/7856  : Pähkinävoin koostumus
gid://shopify/TaxonomyAttribute/1491  : Pähkinävoivalikoima
gid://shopify/TaxonomyAttribute/2124  : Mutterin ulkomuoto
gid://shopify/TaxonomyAttribute/1508  : Pähkinöiden käsittelymenetelmä
gid://shopify/TaxonomyAttribute/3101  : Pähkinä-/siementyyppi
gid://shopify/TaxonomyAttribute/1419  : Ravintoainesisältö
gid://shopify/TaxonomyAttribute/7857  : Ravinteiden täydentäminen
gid://shopify/TaxonomyAttribute/9958  : Tammituotteen muoto
gid://shopify/TaxonomyAttribute/9959  : Tammen paahtoaste
gid://shopify/TaxonomyAttribute/9960  : Oboekotelon tilavuus
gid://shopify/TaxonomyAttribute/9961  : Oboekotelon kantotapa
gid://shopify/TaxonomyAttribute/9962  : Oboekotelon rakenne
gid://shopify/TaxonomyAttribute/9963  : Oboekotelon sisäketyyppi
gid://shopify/TaxonomyAttribute/2489  : Oboe sävellajijärjestelmä
gid://shopify/TaxonomyAttribute/9964  : Oboen koneiston pinnoitus
gid://shopify/TaxonomyAttribute/9965  : Oboen hihnan pehmuste
gid://shopify/TaxonomyAttribute/9966  : Oboen puhdistuspuikon tyyppi
gid://shopify/TaxonomyAttribute/6460  : Tarkkailuikkunan materiaali
gid://shopify/TaxonomyAttribute/9967  : Okariinan mukana tulevat lisävarusteet
gid://shopify/TaxonomyAttribute/9968  : Okariinan kammioiden määrä
gid://shopify/TaxonomyAttribute/9969  : Okariinan sormitusjärjestelmä
gid://shopify/TaxonomyAttribute/9970  : Okariinan pintakäsittelyn tyyppi
gid://shopify/TaxonomyAttribute/2490  : Okariinatyyli
gid://shopify/TaxonomyAttribute/1627  : Tilaisuus
gid://shopify/TaxonomyAttribute/1203  : Tilaisuuden tyyli
gid://shopify/TaxonomyAttribute/8550  : Matkustajan luokitteluanturin tuki
gid://shopify/TaxonomyAttribute/9971  : Oktaavihuuliharpun peitelevyn materiaali
gid://shopify/TaxonomyAttribute/9972  : Oktaavihuuliharpun viritysjärjestelmä
gid://shopify/TaxonomyAttribute/9973  : Octobanin ripustusjärjestelmän tyyppi
gid://shopify/TaxonomyAttribute/8551  : Hajun hallintaominaisuudet
gid://shopify/TaxonomyAttribute/5323  : Hajunpoistajan käyttöalue
gid://shopify/TaxonomyAttribute/3158  : Toimistokärryjen ominaisuudet
gid://shopify/TaxonomyAttribute/6943  : Mukana tulevat toimistokalusteet
gid://shopify/TaxonomyAttribute/2924  : Toimiston instrumenttimateriaalit
gid://shopify/TaxonomyAttribute/2922  : Toimisto­tarvikemateriaali
gid://shopify/TaxonomyAttribute/8552  : Öljynjäähdyttimen kennotyyppi
gid://shopify/TaxonomyAttribute/8553  : Öljynjäähdyttimen kiinnitystapa
gid://shopify/TaxonomyAttribute/8554  : Öljynmittatikun osan tyyppi
gid://shopify/TaxonomyAttribute/8555  : Öljynmittatikun mittausmerkinnät
gid://shopify/TaxonomyAttribute/8556  : Öljyn mittatikun putken kiinnitystyyppi
gid://shopify/TaxonomyAttribute/6304  : Öljyn annostelijan suuttimen muotoilu
gid://shopify/TaxonomyAttribute/8557  : Öljyn tyhjennystulpan kannan vääntiötyyppi
gid://shopify/TaxonomyAttribute/8558  : Öljyn tyhjennystulpan magneetin tyyppi
gid://shopify/TaxonomyAttribute/5294  : Öljyn uuttomenetelmä
gid://shopify/TaxonomyAttribute/8559  : Öljyn täyttökorkin tyyppi
gid://shopify/TaxonomyAttribute/8560  : Öljyn täyttökorkin kiinnitystyyppi
gid://shopify/TaxonomyAttribute/8561  : Öljyn täyttökorkin sijainti
gid://shopify/TaxonomyAttribute/8562  : Öljyn täyttöaukon kannen lukitustyyppi
