# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 动物/宠物用品
gid://shopify/TaxonomyCategory/ha-10-4           : 五金/硬件 > 管道 > 水暖软管
gid://shopify/TaxonomyCategory/ha-10-4-1         : 五金/硬件 > 管道 > 水暖软管 > 水龙头供水管
gid://shopify/TaxonomyCategory/ha-10-4-2         : 五金/硬件 > 管道 > 水暖软管 > 厕所供水管
gid://shopify/TaxonomyCategory/ha-10-4-3         : 五金/硬件 > 管道 > 水暖软管 > 洗衣机供水管
gid://shopify/TaxonomyCategory/ha-10-5           : 五金/硬件 > 管道 > 水管管道
gid://shopify/TaxonomyCategory/ha-10-5-1         : 五金/硬件 > 管道 > 水管管道 > 排水管道
gid://shopify/TaxonomyCategory/ha-10-5-2         : 五金/硬件 > 管道 > 水管管道 > 供水管
gid://shopify/TaxonomyCategory/ha-10-5-3         : 五金/硬件 > 管道 > 水管管道 > 通风管
gid://shopify/TaxonomyCategory/ha-10-6           : 五金/硬件 > 管道 > 管道修理工具包
gid://shopify/TaxonomyCategory/ha-10-6-1         : 五金/硬件 > 管道 > 管道修理工具包 > 水龙头修理工具包
gid://shopify/TaxonomyCategory/ha-10-6-2         : 五金/硬件 > 管道 > 管道修理工具包 > 管子修理工具包
gid://shopify/TaxonomyCategory/ha-10-6-3         : 五金/硬件 > 管道 > 管道修理工具包 > 厕所修理工具包
gid://shopify/TaxonomyCategory/ha-10-7           : 五金/硬件 > 管道 > 饮水机与净水器
gid://shopify/TaxonomyCategory/ha-10-7-1         : 五金/硬件 > 管道 > 饮水机与净水器 > 前置管道净水器
gid://shopify/TaxonomyCategory/ha-10-7-2         : 五金/硬件 > 管道 > 饮水机与净水器 > 饮水机
gid://shopify/TaxonomyCategory/ha-10-7-2-1       : 五金/硬件 > 管道 > 饮水机与净水器 > 饮水机 > 饮水器
gid://shopify/TaxonomyCategory/ha-10-7-2-2       : 五金/硬件 > 管道 > 饮水机与净水器 > 饮水机 > 冰水机
gid://shopify/TaxonomyCategory/ha-10-7-3         : 五金/硬件 > 管道 > 饮水机与净水器 > 蒸馏水器
gid://shopify/TaxonomyCategory/ha-10-7-4         : 五金/硬件 > 管道 > 饮水机与净水器 > 净水器配件
gid://shopify/TaxonomyCategory/ha-10-7-4-1       : 五金/硬件 > 管道 > 饮水机与净水器 > 净水器配件 > 净水器滤芯
gid://shopify/TaxonomyCategory/ha-10-7-4-2       : 五金/硬件 > 管道 > 饮水机与净水器 > 净水器配件 > 净水器外壳
gid://shopify/TaxonomyCategory/ha-10-7-5         : 五金/硬件 > 管道 > 饮水机与净水器 > 软水盐
gid://shopify/TaxonomyCategory/ha-10-7-6         : 五金/硬件 > 管道 > 饮水机与净水器 > 软水器
gid://shopify/TaxonomyCategory/ha-10-7-6-1       : 五金/硬件 > 管道 > 饮水机与净水器 > 软水器 > 盐基软水器
gid://shopify/TaxonomyCategory/ha-10-7-6-2       : 五金/硬件 > 管道 > 饮水机与净水器 > 软水器 > 无盐软水器
gid://shopify/TaxonomyCategory/ha-10-8           : 五金/硬件 > 管道 > 水平尺
gid://shopify/TaxonomyCategory/ha-10-9           : 五金/硬件 > 管道 > 浇水/喷水定时器
gid://shopify/TaxonomyCategory/ha-10-10          : 五金/硬件 > 管道 > 水井用品
gid://shopify/TaxonomyCategory/ha-11             : 五金/硬件 > 电动/电气用品
gid://shopify/TaxonomyCategory/ha-11-1           : 五金/硬件 > 电动/电气用品 > 电枢、转子与定子
gid://shopify/TaxonomyCategory/ha-11-1-1         : 五金/硬件 > 电动/电气用品 > 电枢、转子与定子 > 电枢
gid://shopify/TaxonomyCategory/ha-11-1-2         : 五金/硬件 > 电动/电气用品 > 电枢、转子与定子 > 转子
gid://shopify/TaxonomyCategory/ha-11-1-3         : 五金/硬件 > 电动/电气用品 > 电枢、转子与定子 > 定子
gid://shopify/TaxonomyCategory/ha-11-2           : 五金/硬件 > 电动/电气用品 > 镇流器/启辉器
gid://shopify/TaxonomyCategory/ha-11-2-1         : 五金/硬件 > 电动/电气用品 > 镇流器/启辉器 > 电子镇流器
gid://shopify/TaxonomyCategory/ha-11-2-2         : 五金/硬件 > 电动/电气用品 > 镇流器/启辉器 > 磁性镇流器
gid://shopify/TaxonomyCategory/ha-11-2-3         : 五金/硬件 > 电动/电气用品 > 镇流器/启辉器 > 启辉器
gid://shopify/TaxonomyCategory/ha-11-3           : 五金/硬件 > 电动/电气用品 > 碳刷
gid://shopify/TaxonomyCategory/ha-11-4           : 五金/硬件 > 电动/电气用品 > 断路器柜
gid://shopify/TaxonomyCategory/ha-11-4-1         : 五金/硬件 > 电动/电气用品 > 断路器柜 > 主断路器柜
gid://shopify/TaxonomyCategory/ha-11-4-2         : 五金/硬件 > 电动/电气用品 > 断路器柜 > 副断路器柜
gid://shopify/TaxonomyCategory/ha-11-5           : 五金/硬件 > 电动/电气用品 > 断路器
gid://shopify/TaxonomyCategory/ha-11-6           : 五金/硬件 > 电动/电气用品 > 导管/外壳
gid://shopify/TaxonomyCategory/ha-11-6-1         : 五金/硬件 > 电动/电气用品 > 导管/外壳 > 电气导管
gid://shopify/TaxonomyCategory/ha-11-6-1-1       : 五金/硬件 > 电动/电气用品 > 导管/外壳 > 电气导管 > 柔性电气导管
gid://shopify/TaxonomyCategory/ha-11-6-1-2       : 五金/硬件 > 电动/电气用品 > 导管/外壳 > 电气导管 > 刚性电气导管
gid://shopify/TaxonomyCategory/ha-11-6-2         : 五金/硬件 > 电动/电气用品 > 导管/外壳 > 热收缩管
gid://shopify/TaxonomyCategory/ha-11-7           : 五金/硬件 > 电动/电气用品 > 电动马达
gid://shopify/TaxonomyCategory/ha-11-7-1         : 五金/硬件 > 电动/电气用品 > 电动马达 > 感应电机
gid://shopify/TaxonomyCategory/ha-11-7-2         : 五金/硬件 > 电动/电气用品 > 电动马达 > 伺服电机
gid://shopify/TaxonomyCategory/ha-11-7-3         : 五金/硬件 > 电动/电气用品 > 电动马达 > 通用电机
gid://shopify/TaxonomyCategory/ha-11-8           : 五金/硬件 > 电动/电气用品 > 电气安装盒/支架
gid://shopify/TaxonomyCategory/ha-11-8-1         : 五金/硬件 > 电动/电气用品 > 电气安装盒/支架 > 安装盒
gid://shopify/TaxonomyCategory/ha-11-8-2         : 五金/硬件 > 电动/电气用品 > 电气安装盒/支架 > 安装支架
gid://shopify/TaxonomyCategory/ha-11-9           : 五金/硬件 > 电动/电气用品 > 电器插头保护盖
gid://shopify/TaxonomyCategory/ha-11-10          : 五金/硬件 > 电动/电气用品 > 电开关
gid://shopify/TaxonomyCategory/ha-11-10-1        : 五金/硬件 > 电动/电气用品 > 电开关 > 照明开关
gid://shopify/TaxonomyCategory/ha-11-10-1-1      : 五金/硬件 > 电动/电气用品 > 电开关 > 照明开关 > 调光开关
gid://shopify/TaxonomyCategory/ha-11-10-1-2      : 五金/硬件 > 电动/电气用品 > 电开关 > 照明开关 > 单极开关
gid://shopify/TaxonomyCategory/ha-11-10-1-3      : 五金/硬件 > 电动/电气用品 > 电开关 > 照明开关 > 三联开关
gid://shopify/TaxonomyCategory/ha-11-10-2        : 五金/硬件 > 电动/电气用品 > 电开关 > 特种电气开关与继电器
gid://shopify/TaxonomyCategory/ha-11-10-2-1      : 五金/硬件 > 电动/电气用品 > 电开关 > 特种电气开关与继电器 > 限位开关
gid://shopify/TaxonomyCategory/ha-11-10-2-2      : 五金/硬件 > 电动/电气用品 > 电开关 > 特种电气开关与继电器 > 压力开关
gid://shopify/TaxonomyCategory/ha-11-10-2-3      : 五金/硬件 > 电动/电气用品 > 电开关 > 特种电气开关与继电器 > 特殊专用继电器
gid://shopify/TaxonomyCategory/ha-11-11          : 五金/硬件 > 电动/电气用品 > 电线/电缆
gid://shopify/TaxonomyCategory/ha-11-12          : 五金/硬件 > 电动/电气用品 > 插排/电源延长线配件
gid://shopify/TaxonomyCategory/ha-11-13          : 五金/硬件 > 电动/电气用品 > 延长线/接线板
gid://shopify/TaxonomyCategory/ha-11-14          : 五金/硬件 > 电动/电气用品 > 发电机配件
gid://shopify/TaxonomyCategory/ha-11-15          : 五金/硬件 > 电动/电气用品 > 发电机
gid://shopify/TaxonomyCategory/ha-11-15-1        : 五金/硬件 > 电动/电气用品 > 发电机 > 变频发电机
gid://shopify/TaxonomyCategory/ha-11-15-2        : 五金/硬件 > 电动/电气用品 > 发电机 > 便携式发电机
gid://shopify/TaxonomyCategory/ha-11-15-3        : 五金/硬件 > 电动/电气用品 > 发电机 > 备用发电机
gid://shopify/TaxonomyCategory/ha-11-16          : 五金/硬件 > 电动/电气用品 > 家居自动化套装
gid://shopify/TaxonomyCategory/ha-11-16-1        : 五金/硬件 > 电动/电气用品 > 家居自动化套装 > 能源管理套装
gid://shopify/TaxonomyCategory/ha-11-16-2        : 五金/硬件 > 电动/电气用品 > 家居自动化套装 > 照明控制套装
gid://shopify/TaxonomyCategory/ha-11-16-3        : 五金/硬件 > 电动/电气用品 > 家居自动化套装 > 安全套装
gid://shopify/TaxonomyCategory/ha-11-17          : 五金/硬件 > 电动/电气用品 > 电话/网线插座
gid://shopify/TaxonomyCategory/ha-11-17-1        : 五金/硬件 > 电动/电气用品 > 电话/网线插座 > 以太网插座
gid://shopify/TaxonomyCategory/ha-11-17-2        : 五金/硬件 > 电动/电气用品 > 电话/网线插座 > 电话插座
gid://shopify/TaxonomyCategory/ha-11-18          : 五金/硬件 > 电动/电气用品 > 交流-直流转换器
gid://shopify/TaxonomyCategory/ha-11-18-1        : 五金/硬件 > 电动/电气用品 > 交流-直流转换器 > 降压转换器
gid://shopify/TaxonomyCategory/ha-11-18-2        : 五金/硬件 > 电动/电气用品 > 交流-直流转换器 > 升压转换器
gid://shopify/TaxonomyCategory/ha-11-19          : 五金/硬件 > 电动/电气用品 > 电源输入装置
gid://shopify/TaxonomyCategory/ha-11-20          : 五金/硬件 > 电动/电气用品 > 逆变器
gid://shopify/TaxonomyCategory/ha-11-21          : 五金/硬件 > 电动/电气用品 > 插座/墙插
gid://shopify/TaxonomyCategory/ha-11-21-1        : 五金/硬件 > 电动/电气用品 > 插座/墙插 > 地板插座
gid://shopify/TaxonomyCategory/ha-11-21-2        : 五金/硬件 > 电动/电气用品 > 插座/墙插 > 弹出式插座
gid://shopify/TaxonomyCategory/ha-11-21-3        : 五金/硬件 > 电动/电气用品 > 插座/墙插 > 墙壁插座
gid://shopify/TaxonomyCategory/ha-11-22          : 五金/硬件 > 电动/电气用品 > 太阳能组件
gid://shopify/TaxonomyCategory/ha-11-22-1        : 五金/硬件 > 电动/电气用品 > 太阳能组件 > 备用电源组件
gid://shopify/TaxonomyCategory/ha-11-22-2        : 五金/硬件 > 电动/电气用品 > 太阳能组件 > 并网太阳能组件
gid://shopify/TaxonomyCategory/ha-11-22-3        : 五金/硬件 > 电动/电气用品 > 太阳能组件 > 离网太阳能组件
gid://shopify/TaxonomyCategory/ha-11-23          : 五金/硬件 > 电动/电气用品 > 太阳能光伏板
gid://shopify/TaxonomyCategory/ha-11-23-1        : 五金/硬件 > 电动/电气用品 > 太阳能光伏板 > 单晶太阳能光伏板
gid://shopify/TaxonomyCategory/ha-11-23-2        : 五金/硬件 > 电动/电气用品 > 太阳能光伏板 > 多晶太阳能光伏板
gid://shopify/TaxonomyCategory/ha-11-23-3        : 五金/硬件 > 电动/电气用品 > 太阳能光伏板 > 薄膜太阳能光伏板
gid://shopify/TaxonomyCategory/ha-11-24          : 五金/硬件 > 电动/电气用品 > 电压互感器/稳压器
gid://shopify/TaxonomyCategory/ha-11-24-1        : 五金/硬件 > 电动/电气用品 > 电压互感器/稳压器 > 电压稳压器
gid://shopify/TaxonomyCategory/ha-11-24-2        : 五金/硬件 > 电动/电气用品 > 电压互感器/稳压器 > 电压互感器
gid://shopify/TaxonomyCategory/ha-11-25          : 五金/硬件 > 电动/电气用品 > 壁装插座板/开关面板
gid://shopify/TaxonomyCategory/ha-11-25-1        : 五金/硬件 > 电动/电气用品 > 壁装插座板/开关面板 > 空白壁装插座板
gid://shopify/TaxonomyCategory/ha-11-25-2        : 五金/硬件 > 电动/电气用品 > 壁装插座板/开关面板 > 插座盖
gid://shopify/TaxonomyCategory/ha-11-25-3        : 五金/硬件 > 电动/电气用品 > 壁装插座板/开关面板 > 拨动开关面板
gid://shopify/TaxonomyCategory/ha-11-26          : 五金/硬件 > 电动/电气用品 > 墙装插座控制器/感应器
gid://shopify/TaxonomyCategory/ha-11-26-1        : 五金/硬件 > 电动/电气用品 > 墙装插座控制器/感应器 > 光传感器
gid://shopify/TaxonomyCategory/ha-11-26-2        : 五金/硬件 > 电动/电气用品 > 墙装插座控制器/感应器 > 定时开关
gid://shopify/TaxonomyCategory/ha-11-27          : 五金/硬件 > 电动/电气用品 > 接线帽
gid://shopify/TaxonomyCategory/ha-11-27-1        : 五金/硬件 > 电动/电气用品 > 接线帽 > 接线盖帽
gid://shopify/TaxonomyCategory/ha-11-27-2        : 五金/硬件 > 电动/电气用品 > 接线帽 > 接线螺母
gid://shopify/TaxonomyCategory/ha-11-28          : 五金/硬件 > 电动/电气用品 > 接线端子和电线连接头
gid://shopify/TaxonomyCategory/ha-11-28-1        : 五金/硬件 > 电动/电气用品 > 接线端子和电线连接头 > 对接连接头
gid://shopify/TaxonomyCategory/ha-11-28-2        : 五金/硬件 > 电动/电气用品 > 接线端子和电线连接头 > 环形接线端子
gid://shopify/TaxonomyCategory/ha-11-28-3        : 五金/硬件 > 电动/电气用品 > 接线端子和电线连接头 > 扇形接线端子
gid://shopify/TaxonomyCategory/ha-12             : 五金/硬件 > 小型发动机
gid://shopify/TaxonomyCategory/ha-13             : 五金/硬件 > 储罐
gid://shopify/TaxonomyCategory/ha-14             : 五金/硬件 > 工具配件
gid://shopify/TaxonomyCategory/ha-14-1           : 五金/硬件 > 工具配件 > 喷砂机配件
gid://shopify/TaxonomyCategory/ha-14-1-1         : 五金/硬件 > 工具配件 > 喷砂机配件 > 喷砂箱
gid://shopify/TaxonomyCategory/ha-14-1-1-1       : 五金/硬件 > 工具配件 > 喷砂机配件 > 喷砂箱 > 台式箱
gid://shopify/TaxonomyCategory/ha-14-1-1-2       : 五金/硬件 > 工具配件 > 喷砂机配件 > 喷砂箱 > 立式箱
gid://shopify/TaxonomyCategory/ha-14-2           : 五金/硬件 > 工具配件 > 斧子配件
gid://shopify/TaxonomyCategory/ha-14-2-1         : 五金/硬件 > 工具配件 > 斧子配件 > 斧柄
gid://shopify/TaxonomyCategory/ha-14-2-2         : 五金/硬件 > 工具配件 > 斧子配件 > 斧头
gid://shopify/TaxonomyCategory/ha-14-3           : 五金/硬件 > 工具配件 > 切割机配件
gid://shopify/TaxonomyCategory/ha-14-3-1         : 五金/硬件 > 工具配件 > 切割机配件 > 冲剪模具
gid://shopify/TaxonomyCategory/ha-14-4           : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件
gid://shopify/TaxonomyCategory/ha-14-4-1         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头/螺丝刀头
gid://shopify/TaxonomyCategory/ha-14-4-1-1       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头/螺丝刀头 > 砌体钻头
gid://shopify/TaxonomyCategory/ha-14-4-1-2       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头/螺丝刀头 > 螺丝刀头
gid://shopify/TaxonomyCategory/ha-14-4-1-3       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头/螺丝刀头 > 麻花钻头
gid://shopify/TaxonomyCategory/ha-14-4-2         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头延长杆
gid://shopify/TaxonomyCategory/ha-14-4-3         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头研磨机
gid://shopify/TaxonomyCategory/ha-14-4-3-2       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头研磨机 > 手动研磨机
gid://shopify/TaxonomyCategory/ha-14-4-3-1       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻头研磨机 > 电动磨刀器
gid://shopify/TaxonomyCategory/ha-14-4-4         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻夹头
gid://shopify/TaxonomyCategory/ha-14-4-4-1       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻夹头 > 键控夹头
gid://shopify/TaxonomyCategory/ha-14-4-4-2       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻夹头 > 无钥匙夹头
gid://shopify/TaxonomyCategory/ha-14-4-5         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻架和导引架
gid://shopify/TaxonomyCategory/ha-14-4-5-1       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻架和导引架 > 钻导引架
gid://shopify/TaxonomyCategory/ha-14-4-5-2       : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 钻架和导引架 > 钻架
gid://shopify/TaxonomyCategory/ha-14-4-6         : 五金/硬件 > 工具配件 > 钻孔机/螺丝刀配件 > 孔锯/开孔锯
gid://shopify/TaxonomyCategory/ha-14-5           : 五金/硬件 > 工具配件 > 起子配件
gid://shopify/TaxonomyCategory/ha-14-6           : 五金/硬件 > 工具配件 > 手电筒配件
gid://shopify/TaxonomyCategory/ha-14-7           : 五金/硬件 > 工具配件 > 研磨机配件
gid://shopify/TaxonomyCategory/ha-14-7-1         : 五金/硬件 > 工具配件 > 研磨机配件 > 磨轮/研磨点
gid://shopify/TaxonomyCategory/ha-14-8           : 五金/硬件 > 工具配件 > 锤子配件
gid://shopify/TaxonomyCategory/ha-14-8-1         : 五金/硬件 > 工具配件 > 锤子配件 > 气锤配件
gid://shopify/TaxonomyCategory/ha-14-8-2         : 五金/硬件 > 工具配件 > 锤子配件 > 锤柄
gid://shopify/TaxonomyCategory/ha-14-8-3         : 五金/硬件 > 工具配件 > 锤子配件 > 锤头
gid://shopify/TaxonomyCategory/ha-14-9           : 五金/硬件 > 工具配件 > 排钉
gid://shopify/TaxonomyCategory/ha-14-10          : 五金/硬件 > 工具配件 > 夹具
gid://shopify/TaxonomyCategory/ha-14-10-1        : 五金/硬件 > 工具配件 > 夹具 > 钻夹具
gid://shopify/TaxonomyCategory/ha-14-10-2        : 五金/硬件 > 工具配件 > 夹具 > 铣夹具
gid://shopify/TaxonomyCategory/ha-14-10-3        : 五金/硬件 > 工具配件 > 夹具 > 锯夹具
gid://shopify/TaxonomyCategory/ha-14-11          : 五金/硬件 > 工具配件 > 加磁器/消磁器
gid://shopify/TaxonomyCategory/ha-14-12          : 五金/硬件 > 工具配件 > 鹤嘴锄/镐配件
gid://shopify/TaxonomyCategory/ha-14-12-1        : 五金/硬件 > 工具配件 > 鹤嘴锄/镐配件 > 鹤嘴锄把/镐把
gid://shopify/TaxonomyCategory/ha-14-13          : 五金/硬件 > 工具配件 > 测量工具与传感器配件
gid://shopify/TaxonomyCategory/ha-14-13-1        : 五金/硬件 > 工具配件 > 测量工具与传感器配件 > 电气测试工具配件
gid://shopify/TaxonomyCategory/ha-14-13-2        : 五金/硬件 > 工具配件 > 测量工具与传感器配件 > 气体探测器配件
gid://shopify/TaxonomyCategory/ha-14-13-3        : 五金/硬件 > 工具配件 > 测量工具与传感器配件 > 秤配件
gid://shopify/TaxonomyCategory/ha-14-13-5        : 五金/硬件 > 工具配件 > 测量工具与传感器配件 > 千分尺配件
gid://shopify/TaxonomyCategory/ha-14-13-4        : 五金/硬件 > 工具配件 > 测量工具与传感器配件 > 万用表配件
gid://shopify/TaxonomyCategory/ha-14-14          : 五金/硬件 > 工具配件 > 搅拌工具桨叶
gid://shopify/TaxonomyCategory/ha-14-15          : 五金/硬件 > 工具配件 > 油漆工具配件
gid://shopify/TaxonomyCategory/ha-14-15-1        : 五金/硬件 > 工具配件 > 油漆工具配件 > 喷枪配件
gid://shopify/TaxonomyCategory/ha-14-15-2        : 五金/硬件 > 工具配件 > 油漆工具配件 > 油漆刷清洁溶液
gid://shopify/TaxonomyCategory/ha-14-15-2-1      : 五金/硬件 > 工具配件 > 油漆工具配件 > 油漆刷清洁溶液 > 油基清洁剂
gid://shopify/TaxonomyCategory/ha-14-15-2-2      : 五金/硬件 > 工具配件 > 油漆工具配件 > 油漆刷清洁溶液 > 水基清洁剂
gid://shopify/TaxonomyCategory/ha-14-15-3        : 五金/硬件 > 工具配件 > 油漆工具配件 > 滚漆筒配件
gid://shopify/TaxonomyCategory/ha-14-16          : 五金/硬件 > 工具配件 > 电动工具电池
gid://shopify/TaxonomyCategory/ha-14-17          : 五金/硬件 > 工具配件 > 电动工具充电器
gid://shopify/TaxonomyCategory/ha-14-18          : 五金/硬件 > 工具配件 > 镂铣机配件
gid://shopify/TaxonomyCategory/ha-14-18-1        : 五金/硬件 > 工具配件 > 镂铣机配件 > 铣刀
gid://shopify/TaxonomyCategory/ha-14-18-1-1      : 五金/硬件 > 工具配件 > 镂铣机配件 > 铣刀 > 边缘成型铣刀
gid://shopify/TaxonomyCategory/ha-14-18-1-2      : 五金/硬件 > 工具配件 > 镂铣机配件 > 铣刀 > 齐平修整铣刀
gid://shopify/TaxonomyCategory/ha-14-18-1-3      : 五金/硬件 > 工具配件 > 镂铣机配件 > 铣刀 > 直铣刀
gid://shopify/TaxonomyCategory/ha-14-18-2        : 五金/硬件 > 工具配件 > 镂铣机配件 > 铣床/雕刻机
gid://shopify/TaxonomyCategory/ha-14-19          : 五金/硬件 > 工具配件 > 砂磨配件
gid://shopify/TaxonomyCategory/ha-14-19-1        : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦
gid://shopify/TaxonomyCategory/ha-14-19-1-1      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂轮
gid://shopify/TaxonomyCategory/ha-14-19-1-2      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂板
gid://shopify/TaxonomyCategory/ha-14-19-1-3      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 抛光垫
gid://shopify/TaxonomyCategory/ha-14-19-1-4      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂磨带
gid://shopify/TaxonomyCategory/ha-14-19-1-5      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂磨绳
gid://shopify/TaxonomyCategory/ha-14-19-1-6      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂磨垫
gid://shopify/TaxonomyCategory/ha-14-19-1-7      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂磨板
gid://shopify/TaxonomyCategory/ha-14-19-1-8      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 砂磨海绵
gid://shopify/TaxonomyCategory/ha-14-19-1-9      : 五金/硬件 > 工具配件 > 砂磨配件 > 砂纸/磨砂海绵擦 > 钢丝绒
gid://shopify/TaxonomyCategory/ha-14-20          : 五金/硬件 > 工具配件 > 锯配件
gid://shopify/TaxonomyCategory/ha-14-20-1        : 五金/硬件 > 工具配件 > 锯配件 > 带锯工具配件
gid://shopify/TaxonomyCategory/ha-14-20-2        : 五金/硬件 > 工具配件 > 锯配件 > 手持圆锯配件
gid://shopify/TaxonomyCategory/ha-14-20-3        : 五金/硬件 > 工具配件 > 锯配件 > 竖锯配件
gid://shopify/TaxonomyCategory/ha-14-20-4        : 五金/硬件 > 工具配件 > 锯配件 > 斜截锯配件
gid://shopify/TaxonomyCategory/ha-14-20-5        : 五金/硬件 > 工具配件 > 锯配件 > 台锯配件
gid://shopify/TaxonomyCategory/ha-14-21          : 五金/硬件 > 工具配件 > 刨床配件
gid://shopify/TaxonomyCategory/ha-14-21-1        : 五金/硬件 > 工具配件 > 刨床配件 > 插齿刀
gid://shopify/TaxonomyCategory/ha-14-21-1-1      : 五金/硬件 > 工具配件 > 刨床配件 > 插齿刀 > 成型刀具
gid://shopify/TaxonomyCategory/ha-14-21-1-2      : 五金/硬件 > 工具配件 > 刨床配件 > 插齿刀 > 成型铣刀
gid://shopify/TaxonomyCategory/ha-14-21-1-3      : 五金/硬件 > 工具配件 > 刨床配件 > 插齿刀 > 直刀
gid://shopify/TaxonomyCategory/ha-14-22          : 五金/硬件 > 工具配件 > 烙铁配件
gid://shopify/TaxonomyCategory/ha-14-22-1        : 五金/硬件 > 工具配件 > 烙铁配件 > 烙铁架
gid://shopify/TaxonomyCategory/ha-14-22-2        : 五金/硬件 > 工具配件 > 烙铁配件 > 烙铁头
gid://shopify/TaxonomyCategory/ha-14-22-2-1      : 五金/硬件 > 工具配件 > 烙铁配件 > 烙铁头 > 斜角烙铁头
gid://shopify/TaxonomyCategory/ha-14-22-2-2      : 五金/硬件 > 工具配件 > 烙铁配件 > 烙铁头 > 凿子烙铁头
gid://shopify/TaxonomyCategory/ha-14-22-2-3      : 五金/硬件 > 工具配件 > 烙铁配件 > 烙铁头 > 锥形烙铁头
gid://shopify/TaxonomyCategory/ha-14-23          : 五金/硬件 > 工具配件 > 工具刀片
gid://shopify/TaxonomyCategory/ha-14-23-1        : 五金/硬件 > 工具配件 > 工具刀片 > 切刀/刮刀刀片
gid://shopify/TaxonomyCategory/ha-14-23-1-1      : 五金/硬件 > 工具配件 > 工具刀片 > 切刀/刮刀刀片 > 切刀刀片
gid://shopify/TaxonomyCategory/ha-14-23-1-2      : 五金/硬件 > 工具配件 > 工具刀片 > 切刀/刮刀刀片 > 刮刀刀片
gid://shopify/TaxonomyCategory/ha-14-23-2        : 五金/硬件 > 工具配件 > 工具刀片 > 锯片
gid://shopify/TaxonomyCategory/ha-14-23-2-1      : 五金/硬件 > 工具配件 > 工具刀片 > 锯片 > 圆锯片
gid://shopify/TaxonomyCategory/ha-14-23-2-2      : 五金/硬件 > 工具配件 > 工具刀片 > 锯片 > 竖锯锯片
gid://shopify/TaxonomyCategory/ha-14-23-2-3      : 五金/硬件 > 工具配件 > 工具刀片 > 锯片 > 往复锯片
gid://shopify/TaxonomyCategory/ha-14-24          : 五金/硬件 > 工具配件 > 工具堵漏楔
gid://shopify/TaxonomyCategory/ha-14-24-1        : 五金/硬件 > 工具配件 > 工具堵漏楔 > 斧子堵漏楔
gid://shopify/TaxonomyCategory/ha-14-24-2        : 五金/硬件 > 工具配件 > 工具堵漏楔 > 锤子堵漏楔
gid://shopify/TaxonomyCategory/ha-14-25          : 五金/硬件 > 工具配件 > 工具安全绳
gid://shopify/TaxonomyCategory/ha-14-26          : 五金/硬件 > 工具配件 > 工具套筒
gid://shopify/TaxonomyCategory/ha-14-27          : 五金/硬件 > 工具配件 > 工具台
gid://shopify/TaxonomyCategory/ha-14-27-1        : 五金/硬件 > 工具配件 > 工具台 > 锯台
gid://shopify/TaxonomyCategory/ha-14-27-1-1      : 五金/硬件 > 工具配件 > 工具台 > 锯台 > 带锯台
gid://shopify/TaxonomyCategory/ha-14-27-1-2      : 五金/硬件 > 工具配件 > 工具台 > 锯台 > 斜切锯台
gid://shopify/TaxonomyCategory/ha-14-27-1-3      : 五金/硬件 > 工具配件 > 工具台 > 锯台 > 台锯台
gid://shopify/TaxonomyCategory/ha-14-28          : 五金/硬件 > 工具配件 > 楔形工具
gid://shopify/TaxonomyCategory/ha-14-28-1        : 五金/硬件 > 工具配件 > 楔形工具 > 伐木楔
gid://shopify/TaxonomyCategory/ha-14-28-2        : 五金/硬件 > 工具配件 > 楔形工具 > 法兰楔
