# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-briller passformdesign
gid://shopify/TaxonomyAttribute/5158  : Håroljeeffekt
gid://shopify/TaxonomyAttribute/6712  : Kvalitetsgrad for hår
gid://shopify/TaxonomyAttribute/3347  : Hårklippstype
gid://shopify/TaxonomyAttribute/5150  : Hårstylingfordeler
gid://shopify/TaxonomyAttribute/3348  : Hårstylingartikler inkludert
gid://shopify/TaxonomyAttribute/3135  : Hårstylingverktøysfunksjoner
gid://shopify/TaxonomyAttribute/5160  : Hårbehandlingseffekt
gid://shopify/TaxonomyAttribute/1199  : Hårtype
gid://shopify/TaxonomyAttribute/7558  : Halterstil
gid://shopify/TaxonomyAttribute/2920  : Hammerhodemateriale
gid://shopify/TaxonomyAttribute/7559  : Hengekøyestil
gid://shopify/TaxonomyAttribute/6713  : Hånd- og fotdekning
gid://shopify/TaxonomyAttribute/9691  : Konfigurasjon for håndsymbal-sett
gid://shopify/TaxonomyAttribute/9692  : Materiale for håndtrommeskinn
gid://shopify/TaxonomyAttribute/5951  : Type håndtørkertilbehør
gid://shopify/TaxonomyAttribute/7560  : Håndtreningsstil
gid://shopify/TaxonomyAttribute/8401  : Håndbeskyttelsesmateriale i ryggraden
gid://shopify/TaxonomyAttribute/8402  : Håndbeskyttelsesdekningstil
gid://shopify/TaxonomyAttribute/8403  : Monteringstype for håndbeskyttelse
gid://shopify/TaxonomyAttribute/8404  : Konfigurasjon for håndvern-sett
gid://shopify/TaxonomyAttribute/7561  : Håndbeskyttelsesstil
gid://shopify/TaxonomyAttribute/8405  : Håndbeskyttelse værbeskyttelse
gid://shopify/TaxonomyAttribute/7562  : Håndpadlestropptype
gid://shopify/TaxonomyAttribute/9693  : Festemekanisme for håndperkusjonsfeste
gid://shopify/TaxonomyAttribute/9694  : Håndslagverk montering/ekspedering
gid://shopify/TaxonomyAttribute/9695  : Håndperkusjonstype
gid://shopify/TaxonomyAttribute/9696  : Håndperkusjon spillemetode
gid://shopify/TaxonomyAttribute/9697  : Konfigurasjon av håndperkusjonssett
gid://shopify/TaxonomyAttribute/9698  : Håndslagverk størrelsesklasse
gid://shopify/TaxonomyAttribute/1208  : Håndside
gid://shopify/TaxonomyAttribute/5241  : Håndsåpefunksjoner
gid://shopify/TaxonomyAttribute/7563  : Støttenivå for hånd
gid://shopify/TaxonomyAttribute/7564  : Støttestørrelse for hånd
gid://shopify/TaxonomyAttribute/3183  : Håndvarmertype
gid://shopify/TaxonomyAttribute/9699  : Håndsying av nålespisstype
gid://shopify/TaxonomyAttribute/7565  : Balltype for håndball
gid://shopify/TaxonomyAttribute/7566  : Håndballbane
gid://shopify/TaxonomyAttribute/7567  : Håndballmåltype
gid://shopify/TaxonomyAttribute/8406  : Håndbremsaktiveringstype
gid://shopify/TaxonomyAttribute/8407  : Håndbremsens orientering
gid://shopify/TaxonomyAttribute/2581  : Låstype for håndjern
gid://shopify/TaxonomyAttribute/9700  : Materiale for håndvåpengrep
gid://shopify/TaxonomyAttribute/7568  : Håndtakskonfigurasjon
gid://shopify/TaxonomyAttribute/5952  : Håndtakstilkoblingstype
gid://shopify/TaxonomyAttribute/2194  : Håndtakdesign
gid://shopify/TaxonomyAttribute/9701  : Håndtaksergonomi
gid://shopify/TaxonomyAttribute/7569  : Grepsmateriale for håndtak
gid://shopify/TaxonomyAttribute/5953  : Grepstil for håndtak
gid://shopify/TaxonomyAttribute/1669  : Tekstur på håndtaksgrep
gid://shopify/TaxonomyAttribute/7570  : Grepstype for håndtak
gid://shopify/TaxonomyAttribute/5954  : Lengdejustering for håndtak
gid://shopify/TaxonomyAttribute/1295  : Håndtaksmateriale
gid://shopify/TaxonomyAttribute/5955  : Håndtakets posisjon
gid://shopify/TaxonomyAttribute/7571  : Håndtaksform
gid://shopify/TaxonomyAttribute/5070  : Håndtaksstil
gid://shopify/TaxonomyAttribute/1597  : Håndtakstype
gid://shopify/TaxonomyAttribute/7572  : Styredesign
gid://shopify/TaxonomyAttribute/7573  : Styretype
gid://shopify/TaxonomyAttribute/5956  : Konfigurasjon av rekkverk
gid://shopify/TaxonomyAttribute/1849  : Håndsetttype
gid://shopify/TaxonomyAttribute/9702  : Håndsleideboringstype
gid://shopify/TaxonomyAttribute/6714  : Håndmansjettstil
gid://shopify/TaxonomyAttribute/3003  : Håndklesfunksjoner
gid://shopify/TaxonomyAttribute/7574  : Håndisolasjonsmateriale
gid://shopify/TaxonomyAttribute/2780  : Håndklesmateriale
gid://shopify/TaxonomyAttribute/7575  : Hanskestørrelse
gid://shopify/TaxonomyAttribute/3255  : Håndklestype
gid://shopify/TaxonomyAttribute/7576  : Hangglider-design
gid://shopify/TaxonomyAttribute/7577  : Hengertrådstørrelse
gid://shopify/TaxonomyAttribute/5957  : Type hengefeste
gid://shopify/TaxonomyAttribute/1530  : Utforming på hengestol
gid://shopify/TaxonomyAttribute/6916  : Hengende opphengsmetode
gid://shopify/TaxonomyAttribute/5639  : Haptisk tilbakemeldingstype
gid://shopify/TaxonomyAttribute/1459  : Cidervariant
gid://shopify/TaxonomyAttribute/3086  : Harddiskfunksjoner
gid://shopify/TaxonomyAttribute/3314  : Harddiskformfaktor
gid://shopify/TaxonomyAttribute/3315  : Harddiskinstallasjon
gid://shopify/TaxonomyAttribute/2634  : Hjelmklasse
gid://shopify/TaxonomyAttribute/5958  : Hardførhetssone
gid://shopify/TaxonomyAttribute/2255  : Hardhet
gid://shopify/TaxonomyAttribute/5031  : Hardhetsgrad (blyantskala)
gid://shopify/TaxonomyAttribute/8408  : Hardtop-overflatetype
gid://shopify/TaxonomyAttribute/8409  : Materiale for hardtop-skall
gid://shopify/TaxonomyAttribute/8410  : Konfigurasjon av hardtop-vinduer
gid://shopify/TaxonomyAttribute/2081  : Maskinvarefinish
gid://shopify/TaxonomyAttribute/2790  : Maskinvaremateriale
gid://shopify/TaxonomyAttribute/2132  : Monteringstype av maskinvare
gid://shopify/TaxonomyAttribute/2094  : Løvtrekvalitet
gid://shopify/TaxonomyAttribute/9703  : Materiale i munnspill-kam
gid://shopify/TaxonomyAttribute/9704  : Munnspilldeksel, finish
gid://shopify/TaxonomyAttribute/9705  : Materiale i munnspill-dekkplate
gid://shopify/TaxonomyAttribute/9706  : Overflatebehandling for munnspill
gid://shopify/TaxonomyAttribute/9707  : Inkludert munnspill-tilbehør
gid://shopify/TaxonomyAttribute/9708  : Munnspillets noteområde
gid://shopify/TaxonomyAttribute/9709  : Materiale for rørblad til munnspill
gid://shopify/TaxonomyAttribute/9710  : Harmonikasystem/type
gid://shopify/TaxonomyAttribute/9711  : Stemmesystem for munnspill
gid://shopify/TaxonomyAttribute/1269  : Type selelukking
gid://shopify/TaxonomyAttribute/7578  : Seleskalltype
gid://shopify/TaxonomyAttribute/7579  : Selestil
gid://shopify/TaxonomyAttribute/7580  : Seletype
gid://shopify/TaxonomyAttribute/9712  : Handlingstype for harpe
gid://shopify/TaxonomyAttribute/9713  : Harpefinish
gid://shopify/TaxonomyAttribute/9714  : Inkludert harpetilbehør
gid://shopify/TaxonomyAttribute/2481  : Harpestørrelse
gid://shopify/TaxonomyAttribute/7797  : Høstemetode
gid://shopify/TaxonomyAttribute/7798  : Innhøstingsfase
gid://shopify/TaxonomyAttribute/9715  : Hattestil
gid://shopify/TaxonomyAttribute/2093  : Egnet lukeplassering
gid://shopify/TaxonomyAttribute/8411  : Mode
gid://shopify/TaxonomyAttribute/5959  : Oppdagede farer
gid://shopify/TaxonomyAttribute/2636  : Hazmat-draktdesign
gid://shopify/TaxonomyAttribute/7581  : Hodekonfigurasjon
gid://shopify/TaxonomyAttribute/9716  : Materiale for hodet
gid://shopify/TaxonomyAttribute/7582  : Type hodebevegelse
gid://shopify/TaxonomyAttribute/9717  : Hodesiden
gid://shopify/TaxonomyAttribute/7583  : Hodevektstil
gid://shopify/TaxonomyAttribute/6715  : Pannebåndsutsmykning
gid://shopify/TaxonomyAttribute/6917  : Sengegavl-stil
gid://shopify/TaxonomyAttribute/7584  : Konfigurasjon av hodestroppen
gid://shopify/TaxonomyAttribute/9718  : Kroneformet hodeledd
gid://shopify/TaxonomyAttribute/2485  : Hodeplatedel
gid://shopify/TaxonomyAttribute/9719  : Standard for hodeleddsavstand
gid://shopify/TaxonomyAttribute/8412  : Produktformat for takinteriør
gid://shopify/TaxonomyAttribute/5426  : Hodetelefon pute form
gid://shopify/TaxonomyAttribute/5448  : Hodetelefon driverteknologi
gid://shopify/TaxonomyAttribute/1807  : Type hodetelefonkontakt
gid://shopify/TaxonomyAttribute/1814  : Hodetelefonstil
gid://shopify/TaxonomyAttribute/8413  : Festemetode for nakkestøtte
gid://shopify/TaxonomyAttribute/8414  : Nakkestøttetildeling
gid://shopify/TaxonomyAttribute/5009  : Type hodetelefontilkobling
gid://shopify/TaxonomyAttribute/7585  : Standard hodesett
gid://shopify/TaxonomyAttribute/7586  : Nakkestall-stil
gid://shopify/TaxonomyAttribute/3004  : Hodeplaggfunksjoner
gid://shopify/TaxonomyAttribute/6716  : Tiltenkt bruk av hodeplagg
gid://shopify/TaxonomyAttribute/5518  : Høreapparatkompatibilitet
gid://shopify/TaxonomyAttribute/5046  : Øreside for høreapparat
gid://shopify/TaxonomyAttribute/3124  : Høreapparatfunksjoner
gid://shopify/TaxonomyAttribute/2828  : Høreapparatmateriale
gid://shopify/TaxonomyAttribute/7587  : Hørselsforsterkerstil
gid://shopify/TaxonomyAttribute/5047  : Hørselstapsnivå
gid://shopify/TaxonomyAttribute/5312  : Hørselsvernklasse
gid://shopify/TaxonomyAttribute/7588  : Metode for pulsmåling
gid://shopify/TaxonomyAttribute/7589  : Teknologi for pulsmåling
gid://shopify/TaxonomyAttribute/7590  : Pulssensorplassering
gid://shopify/TaxonomyAttribute/1654  : Varmefunksjon
gid://shopify/TaxonomyAttribute/1485  : Varmenivå
gid://shopify/TaxonomyAttribute/6717  : Teknologi for varmehåndtering
gid://shopify/TaxonomyAttribute/1649  : Varmeinnstillinger
gid://shopify/TaxonomyAttribute/2825  : Varmekilde
gid://shopify/TaxonomyAttribute/5121  : Varmeterapitype
gid://shopify/TaxonomyAttribute/8415  : Oppvarmet glassfunksjon
gid://shopify/TaxonomyAttribute/8416  : Metode for aktivering av varmekontroll
gid://shopify/TaxonomyAttribute/8417  : Varmekontroll elektrisk tilkoblingstype
gid://shopify/TaxonomyAttribute/1499  : Oppvarmingsinstruksjoner
gid://shopify/TaxonomyAttribute/1772  : Oppvarmingsmetode
gid://shopify/TaxonomyAttribute/5122  : Varmeputedesign
gid://shopify/TaxonomyAttribute/5120  : Varmeputefunksjoner
gid://shopify/TaxonomyAttribute/1773  : Oppvarmingshastighet
gid://shopify/TaxonomyAttribute/5960  : Oppvarmingstrinn
gid://shopify/TaxonomyAttribute/7799  : Oppvarmingsteknologi
gid://shopify/TaxonomyAttribute/128   : Hælhøyde-type
gid://shopify/TaxonomyAttribute/6718  : Hælform
gid://shopify/TaxonomyAttribute/3267  : Hælskotype
gid://shopify/TaxonomyAttribute/2404  : Høydejustering
gid://shopify/TaxonomyAttribute/5060  : Helicobacter pylori påvisningsmetode
gid://shopify/TaxonomyAttribute/8418  : Helikopteroppdragstype
gid://shopify/TaxonomyAttribute/8419  : Konfigurasjon av helikopterrotor
gid://shopify/TaxonomyAttribute/7591  : Type hjelmtilbehør
gid://shopify/TaxonomyAttribute/8420  : Hjelmlydkoblingstype
gid://shopify/TaxonomyAttribute/8421  : Beredskap for hjelmkommunikasjonssystem
gid://shopify/TaxonomyAttribute/7592  : Konstruksjonstype for hjelm
gid://shopify/TaxonomyAttribute/8422  : Hjelmtilpasning (hodeform)
gid://shopify/TaxonomyAttribute/8423  : Hjelmens innvendige fôrtype
gid://shopify/TaxonomyAttribute/7593  : Materiale i hjelmforing
gid://shopify/TaxonomyAttribute/8424  : Hjelmbevaring lukkingstype
gid://shopify/TaxonomyAttribute/7594  : Sikkerhetssertifisering for hjelmer
gid://shopify/TaxonomyAttribute/8425  : Sikkerhetssertifiseringsstandard for hjelm
gid://shopify/TaxonomyAttribute/2639  : Hjelmskyggedesign
gid://shopify/TaxonomyAttribute/8426  : Materiale i hjelmskall
gid://shopify/TaxonomyAttribute/8427  : Hjelmstørrelsessystem
gid://shopify/TaxonomyAttribute/8428  : Hjelm solvisirtype
gid://shopify/TaxonomyAttribute/8429  : Hjelmtilpasning for kjøretøy
gid://shopify/TaxonomyAttribute/8430  : Justerbar hjelmventilasjon
gid://shopify/TaxonomyAttribute/8431  : Konfigurasjon av hjelmventilasjon
gid://shopify/TaxonomyAttribute/8433  : Optiske funksjoner for hjelmvisir (skjold)
gid://shopify/TaxonomyAttribute/8432  : Justerbarhet av hjelmvisir/skjerm
gid://shopify/TaxonomyAttribute/8434  : Hjelmvisir/skjoldtype
gid://shopify/TaxonomyAttribute/6719  : Faldestil
gid://shopify/TaxonomyAttribute/6430  : Kompatibilitet mellom hemisfære
gid://shopify/TaxonomyAttribute/6720  : Faldestil
gid://shopify/TaxonomyAttribute/7800  : Urteinfusjonsfunksjoner
gid://shopify/TaxonomyAttribute/5133  : Urtetilskudd helsemål
gid://shopify/TaxonomyAttribute/8435  : Heksagonal størrelse
gid://shopify/TaxonomyAttribute/9720  : Hi-hat-sammenkoblet type
gid://shopify/TaxonomyAttribute/9721  : Lydkarakter for hi-hat
gid://shopify/TaxonomyAttribute/6721  : Synlighetsklasse
gid://shopify/TaxonomyAttribute/7595  : Highback-stil
gid://shopify/TaxonomyAttribute/8436  : Diameter på tilhengerfestekule
gid://shopify/TaxonomyAttribute/8437  : Monteringsstil for tilhengerfestekule
gid://shopify/TaxonomyAttribute/2717  : Festepunktklasse
gid://shopify/TaxonomyAttribute/1274  : Koblingstype
gid://shopify/TaxonomyAttribute/6431  : Referansetype for hobbyhest
gid://shopify/TaxonomyAttribute/6432  : Lydfunksjoner for hobbyhester
gid://shopify/TaxonomyAttribute/2852  : Hockeyutstyr inkludert
gid://shopify/TaxonomyAttribute/7596  : Type hockeymål
gid://shopify/TaxonomyAttribute/7597  : Størrelseskategori for hockey
gid://shopify/TaxonomyAttribute/7598  : Hockey størrelsesgruppe
gid://shopify/TaxonomyAttribute/1646  : Holdnivå
gid://shopify/TaxonomyAttribute/7599  : Overflatetekstur på grep
gid://shopify/TaxonomyAttribute/5484  : Hullplateringstype
gid://shopify/TaxonomyAttribute/5961  : Funksjoner i boligalarm
gid://shopify/TaxonomyAttribute/9722  : Startside dekor symønster prosjekttype
gid://shopify/TaxonomyAttribute/8438  : Homologering/regelsett
gid://shopify/TaxonomyAttribute/7801  : Honningform
gid://shopify/TaxonomyAttribute/7802  : Behandlingsmetode for honning
gid://shopify/TaxonomyAttribute/7803  : Honningvariasjon
gid://shopify/TaxonomyAttribute/7600  : Hettekonfigurasjon
gid://shopify/TaxonomyAttribute/6722  : Hettedesign
gid://shopify/TaxonomyAttribute/6723  : Hettestil
gid://shopify/TaxonomyAttribute/6724  : Hettetype
gid://shopify/TaxonomyAttribute/9727  : Borrelåsformat
gid://shopify/TaxonomyAttribute/9728  : Side for borrelås
gid://shopify/TaxonomyAttribute/9723  : Krok og øyestørrelse (kroknummer)
gid://shopify/TaxonomyAttribute/9724  : Borrelås-tollplitter-vurdering
gid://shopify/TaxonomyAttribute/9726  : Festeside for borrelås
gid://shopify/TaxonomyAttribute/7601  : Overflatebehandling på hette
gid://shopify/TaxonomyAttribute/7602  : Krokkonfigurasjon
gid://shopify/TaxonomyAttribute/2130  : Krokdesign
gid://shopify/TaxonomyAttribute/7603  : Øyestil på krok
gid://shopify/TaxonomyAttribute/7604  : Øyetype på krok
gid://shopify/TaxonomyAttribute/2352  : Krokgrep-design
gid://shopify/TaxonomyAttribute/7605  : Krokmateriale
gid://shopify/TaxonomyAttribute/9729  : Krokorganisatorstil
gid://shopify/TaxonomyAttribute/7606  : Konfigurasjon av krokspiss
gid://shopify/TaxonomyAttribute/7607  : Krokpunkttype
gid://shopify/TaxonomyAttribute/7608  : Krokskaftlengde
gid://shopify/TaxonomyAttribute/2353  : Krokstørrelse
gid://shopify/TaxonomyAttribute/5962  : Krokstil
gid://shopify/TaxonomyAttribute/2731  : Kroktype
gid://shopify/TaxonomyAttribute/9725  : Borrelåsformat
gid://shopify/TaxonomyAttribute/9730  : Festemetode for kroker og maljer
gid://shopify/TaxonomyAttribute/1288  : Bøyleform
gid://shopify/TaxonomyAttribute/7609  : Type med oppstivet kant
gid://shopify/TaxonomyAttribute/10582 : Hesteteppetype
gid://shopify/TaxonomyAttribute/10583 : Hestebørstetype
gid://shopify/TaxonomyAttribute/10584 : Formål med hestepleie
gid://shopify/TaxonomyAttribute/1286  : Hestekategori
gid://shopify/TaxonomyAttribute/10585 : Hestefôringsstadium
gid://shopify/TaxonomyAttribute/10586 : Strigleredskapstype for hest
gid://shopify/TaxonomyAttribute/2879  : Hesterøktingsutstyr inkludert
gid://shopify/TaxonomyAttribute/10587 : Beskyttelsestype for hestens bein
gid://shopify/TaxonomyAttribute/9731  : Hestemodellrase
gid://shopify/TaxonomyAttribute/2919  : Slangemateriale
gid://shopify/TaxonomyAttribute/6725  : Strømpebukse med tåstil
gid://shopify/TaxonomyAttribute/1919  : Vertsgrensesnitt
gid://shopify/TaxonomyAttribute/8439  : Type kurv for varmluftsballonger
gid://shopify/TaxonomyAttribute/8440  : Brennertype for varmluftsballong
gid://shopify/TaxonomyAttribute/8441  : Materiale for konvolutt med varmluftsballong
gid://shopify/TaxonomyAttribute/9732  : Applikasjonsverktøy for hurtigreparasjon
gid://shopify/TaxonomyAttribute/10588 : Navakseltype
gid://shopify/TaxonomyAttribute/10589 : Navmotortype
gid://shopify/TaxonomyAttribute/3317  : Oppbevaringsalternativer for hub/bryter
gid://shopify/TaxonomyAttribute/6433  : Konstruksjonstype for rockering
gid://shopify/TaxonomyAttribute/6434  : Egenskaper for rockering
gid://shopify/TaxonomyAttribute/10590 : Skrogdesign
gid://shopify/TaxonomyAttribute/8442  : Skrogtype
gid://shopify/TaxonomyAttribute/5084  : Fuktingssystem
gid://shopify/TaxonomyAttribute/3289  : Luftfukterdesign
gid://shopify/TaxonomyAttribute/5963  : Luftfukterens funksjoner
gid://shopify/TaxonomyAttribute/6297  : Luftfukter-filtertype
gid://shopify/TaxonomyAttribute/9733  : Luftfukterpåfylling medium type
gid://shopify/TaxonomyAttribute/9734  : Metode for påfylling av luftfukter
gid://shopify/TaxonomyAttribute/9735  : Fuktighetsmedium
gid://shopify/TaxonomyAttribute/1450  : Fuktighetskontroll
gid://shopify/TaxonomyAttribute/3297  : Fuktighetskontrollmetode
gid://shopify/TaxonomyAttribute/5964  : Humidor-tilbehørstype
gid://shopify/TaxonomyAttribute/7804  : Ingrediens i hummusbasis
gid://shopify/TaxonomyAttribute/3391  : Jaktblinddesign
gid://shopify/TaxonomyAttribute/10591 : Jaktlokkekalltype
gid://shopify/TaxonomyAttribute/10592 : Funksjon for jaktbånd til hund
gid://shopify/TaxonomyAttribute/2870  : Design på jakt- og overlevelseskniver
gid://shopify/TaxonomyAttribute/8444  : Hybrid drivverkskonfigurasjon
gid://shopify/TaxonomyAttribute/8445  : Hybrid systemtype
gid://shopify/TaxonomyAttribute/8446  : Hybrid lastebilførerhustype
gid://shopify/TaxonomyAttribute/10593 : Funksjoner for drikkesekk
gid://shopify/TaxonomyAttribute/10594 : Funksjoner i drikkebelte
gid://shopify/TaxonomyAttribute/10595 : Kompatibilitet med drikkeblære
gid://shopify/TaxonomyAttribute/10596 : Stil for drikkemunnstykke
gid://shopify/TaxonomyAttribute/10597 : Stil for drikkepakke
gid://shopify/TaxonomyAttribute/10598 : Isolasjon av drikkesystemet
gid://shopify/TaxonomyAttribute/10599 : Type drikkeventil
gid://shopify/TaxonomyAttribute/10600 : Type hydraulikkvæske
gid://shopify/TaxonomyAttribute/7805  : Hydrogeneringsnivå
gid://shopify/TaxonomyAttribute/8447  : Hydrofobisitetsnivå
gid://shopify/TaxonomyAttribute/5965  : Hydroponisk næringssystem
gid://shopify/TaxonomyAttribute/5966  : Hygrometertype
gid://shopify/TaxonomyAttribute/5967  : Inkludert tilbehør til isbøtte
gid://shopify/TaxonomyAttribute/5968  : Isolasjon i isbøtte
gid://shopify/TaxonomyAttribute/7806  : Iskremformat
gid://shopify/TaxonomyAttribute/5969  : Tilbehør til iskremmaskin inkludert
gid://shopify/TaxonomyAttribute/1565  : Type ispose
gid://shopify/TaxonomyAttribute/5970  : Isens form
gid://shopify/TaxonomyAttribute/10601 : Type skøytesliper
gid://shopify/TaxonomyAttribute/10602 : Egnethet for istemperatur
gid://shopify/TaxonomyAttribute/7807  : Melisvariant
gid://shopify/TaxonomyAttribute/2664  : Ikontype
gid://shopify/TaxonomyAttribute/5528  : Krav til identitetsverifisering
gid://shopify/TaxonomyAttribute/8448  : Tennspolekonfigurasjon
gid://shopify/TaxonomyAttribute/8449  : Samsvarsstandard for tenningskabler
gid://shopify/TaxonomyAttribute/8450  : Isolasjonsmateriale for tenningskabel
gid://shopify/TaxonomyAttribute/8451  : Type tenningskabelsett
gid://shopify/TaxonomyAttribute/8452  : Terminaltype for tenningskabel
gid://shopify/TaxonomyAttribute/2169  : Tenningssystem
gid://shopify/TaxonomyAttribute/2620  : Belysningsteknikk
gid://shopify/TaxonomyAttribute/10603 : Belysningstype
gid://shopify/TaxonomyAttribute/2020  : Støttede bildeformater
gid://shopify/TaxonomyAttribute/1999  : Bildesensorstørrelse
gid://shopify/TaxonomyAttribute/8453  : Installasjonstype for kjøretøylås
gid://shopify/TaxonomyAttribute/2718  : Startsperretype
gid://shopify/TaxonomyAttribute/8454  : Metode for opplåsing av startsperre
gid://shopify/TaxonomyAttribute/10604 : Sertifiseringer for støtbeskyttelse
gid://shopify/TaxonomyAttribute/8455  : Støtbeskyttelsesnivå
gid://shopify/TaxonomyAttribute/10605 : Støtbeskyttelsesklassifisering
gid://shopify/TaxonomyAttribute/6435  : Materiale for støtoverflate
gid://shopify/TaxonomyAttribute/9736  : Røkelsesbasismateriale
gid://shopify/TaxonomyAttribute/2282  : Røkelsesduft
gid://shopify/TaxonomyAttribute/5971  : Røkelsesholderstil
gid://shopify/TaxonomyAttribute/3270  : Varer til røkelsessett medfølger
gid://shopify/TaxonomyAttribute/9737  : Metode for å lage røkelse
gid://shopify/TaxonomyAttribute/9738  : Røkelsesverktøytype
gid://shopify/TaxonomyAttribute/2283  : Type røkelse
gid://shopify/TaxonomyAttribute/10606 : Type justering av helling
gid://shopify/TaxonomyAttribute/6436  : Inkludert tilbehør
gid://shopify/TaxonomyAttribute/9739  : Inkludert etuitype
gid://shopify/TaxonomyAttribute/9740  : Inkluderte komponenter
gid://shopify/TaxonomyAttribute/9741  : Inkluderte festekomponenter
gid://shopify/TaxonomyAttribute/10607 : Inkludert hydreringsbeholdertype
gid://shopify/TaxonomyAttribute/9742  : Inkludert vare (treblåseinstrument)
gid://shopify/TaxonomyAttribute/9743  : Inkluderte materialer
gid://shopify/TaxonomyAttribute/8456  : Inkludert monteringstilbehør
gid://shopify/TaxonomyAttribute/6918  : Inkludert pumpetype
gid://shopify/TaxonomyAttribute/9744  : Inkludert skraperedskapstype
gid://shopify/TaxonomyAttribute/5050  : Inkontinensbindtype
gid://shopify/TaxonomyAttribute/10608 : Indikatordesign
gid://shopify/TaxonomyAttribute/10609 : Indikatoregenskaper sporet
gid://shopify/TaxonomyAttribute/6437  : Innendørs/utendørs bruk
gid://shopify/TaxonomyAttribute/5493  : Induktans toleranse
gid://shopify/TaxonomyAttribute/2651  : Bransjefokus
gid://shopify/TaxonomyAttribute/1715  : Aldersgruppe for babyer
gid://shopify/TaxonomyAttribute/9745  : Oppblåsbar dekorasjon inkludert
gid://shopify/TaxonomyAttribute/9746  : Oppblåsbar dekorasjonstype
gid://shopify/TaxonomyAttribute/6438  : Oppblåsbare flåte-/flytefunksjoner
gid://shopify/TaxonomyAttribute/3385  : Inflasjonsmetode
gid://shopify/TaxonomyAttribute/8457  : inflasjonsmetode inkludert
gid://shopify/TaxonomyAttribute/10610 : Infundert duft
gid://shopify/TaxonomyAttribute/5972  : Infusjonstype
gid://shopify/TaxonomyAttribute/9747  : Basetype for ingrediens
gid://shopify/TaxonomyAttribute/1569  : Ingredienskategori
gid://shopify/TaxonomyAttribute/2449  : Ingrediensopprinnelse
gid://shopify/TaxonomyAttribute/9748  : Ingrediensens fysiske form
gid://shopify/TaxonomyAttribute/7808  : Behandlingsmetode for ingrediens
gid://shopify/TaxonomyAttribute/1385  : Ingredienser
gid://shopify/TaxonomyAttribute/5010  : IP-klassifisering (inntrengningsbeskyttelse)
gid://shopify/TaxonomyAttribute/2347  : Blekkpåføringsteknikk
gid://shopify/TaxonomyAttribute/6439  : Blekkfarger inkludert
gid://shopify/TaxonomyAttribute/2301  : Blekkform
gid://shopify/TaxonomyAttribute/9749  : Metode for påføring av blekkpute
gid://shopify/TaxonomyAttribute/9750  : Permanenthet for blekkpute
gid://shopify/TaxonomyAttribute/9751  : Størrelse på blekkpute
gid://shopify/TaxonomyAttribute/9752  : Spesialeffekter av blekkputer
gid://shopify/TaxonomyAttribute/9753  : Blekkbestandighet
gid://shopify/TaxonomyAttribute/9754  : Blekkforberedelse kreves
gid://shopify/TaxonomyAttribute/2305  : Blekktype
gid://shopify/TaxonomyAttribute/10611 : Bremsetype for rulleskøyter
gid://shopify/TaxonomyAttribute/1310  : Rulleskøytestil
gid://shopify/TaxonomyAttribute/5973  : Innerbelegg i gryten
gid://shopify/TaxonomyAttribute/10612 : Innerteltkonfigurasjon
gid://shopify/TaxonomyAttribute/6919  : Type innerfjærspiral
gid://shopify/TaxonomyAttribute/5540  : Inngangstilkoblingstype
gid://shopify/TaxonomyAttribute/9755  : Koblingstype for input
gid://shopify/TaxonomyAttribute/5543  : Inngangssignalgrensesnitt
gid://shopify/TaxonomyAttribute/10613 : Inngangsventiltype
gid://shopify/TaxonomyAttribute/5546  : Videogrensesnitt for inngang
gid://shopify/TaxonomyAttribute/2419  : Inn-/utgangsporter
gid://shopify/TaxonomyAttribute/10614 : Insektsmiddelbehandling
gid://shopify/TaxonomyAttribute/6726  : Dekningsområde for innlegg
gid://shopify/TaxonomyAttribute/6727  : Type innsettingslengde
gid://shopify/TaxonomyAttribute/9756  : Innvendig meldingstype
gid://shopify/TaxonomyAttribute/6728  : Festemetode for innersåle
gid://shopify/TaxonomyAttribute/5325  : Innleggsålengdetype
gid://shopify/TaxonomyAttribute/6729  : Innersålemateriale
gid://shopify/TaxonomyAttribute/5575  : Installasjonstilbehør inkludert
gid://shopify/TaxonomyAttribute/8458  : Fabrikasjonsnivå for montering
gid://shopify/TaxonomyAttribute/8459  : Monteringssted
gid://shopify/TaxonomyAttribute/8460  : Installasjonsmetode
gid://shopify/TaxonomyAttribute/5530  : Installasjonsverktøy inkludert
gid://shopify/TaxonomyAttribute/7809  : Form for pulverkaffe
gid://shopify/TaxonomyAttribute/10615 : Vristdekning
gid://shopify/TaxonomyAttribute/9757  : Instruksjonsformat
gid://shopify/TaxonomyAttribute/1899  : Instruksjonssettarkitektur
gid://shopify/TaxonomyAttribute/2933  : Instrumenttilbehørsmateriale
gid://shopify/TaxonomyAttribute/9758  : Formfaktor for rengjøringspinne for instrumenter
gid://shopify/TaxonomyAttribute/1908  : Type instrumentkontroller
gid://shopify/TaxonomyAttribute/9759  : Enhetskontekst for instrumentdimensjon
gid://shopify/TaxonomyAttribute/9760  : Elektronikktype for instrument
gid://shopify/TaxonomyAttribute/9761  : Instrumentknapp
gid://shopify/TaxonomyAttribute/9762  : Instrumentnivå
gid://shopify/TaxonomyAttribute/2940  : Instrumentmateriale
