# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-brilledesign
gid://shopify/TaxonomyAttribute/5977  : Isoleringstype
gid://shopify/TaxonomyAttribute/5349  : Integreret LED-belysning
gid://shopify/TaxonomyAttribute/6731  : Integreret bundtype
gid://shopify/TaxonomyAttribute/6920  : Integrerede opladningsmuligheder
gid://shopify/TaxonomyAttribute/6921  : Integreret møbelfunktion
gid://shopify/TaxonomyAttribute/8461  : Integreret lås
gid://shopify/TaxonomyAttribute/6922  : Integrerede strømforsyningsmuligheder
gid://shopify/TaxonomyAttribute/5380  : Integrerede strøm-/opladningsmuligheder
gid://shopify/TaxonomyAttribute/5011  : Integreret stativtype
gid://shopify/TaxonomyAttribute/10616 : Integrerede opbevaringsfunktioner
gid://shopify/TaxonomyAttribute/10617 : Integrerede værktøjsfunktioner
gid://shopify/TaxonomyAttribute/2063  : Tiltænkt anvendelse
gid://shopify/TaxonomyAttribute/5978  : Tilsigtet drikkevaretype
gid://shopify/TaxonomyAttribute/10618 : Beregnet boardtype
gid://shopify/TaxonomyAttribute/7810  : Tilsigtet forbrug
gid://shopify/TaxonomyAttribute/9767  : Tilsigtet hobby
gid://shopify/TaxonomyAttribute/7811  : Tilsigtet kulinarisk anvendelse
gid://shopify/TaxonomyAttribute/5127  : Tilsigtet effekt
gid://shopify/TaxonomyAttribute/10619 : Tilsigtet styrtype
gid://shopify/TaxonomyAttribute/5147  : Tilsigtet smykketype
gid://shopify/TaxonomyAttribute/10620 : Tilsigtet spillerrolle
gid://shopify/TaxonomyAttribute/10621 : Tiltænkt spilleoverflade
gid://shopify/TaxonomyAttribute/8462  : Tilsigtet reparationssted
gid://shopify/TaxonomyAttribute/8463  : Tiltænkt siddeposition
gid://shopify/TaxonomyAttribute/9768  : Tilsigtet syanvendelse
gid://shopify/TaxonomyAttribute/5049  : Tilsigtet overflade
gid://shopify/TaxonomyAttribute/9769  : Tilsigtet teknik
gid://shopify/TaxonomyAttribute/8464  : Tiltænkt anvendelse
gid://shopify/TaxonomyAttribute/9770  : Tilsigtet anvendelse (fleece-stof)
gid://shopify/TaxonomyAttribute/8465  : Tilsigtet bruger
gid://shopify/TaxonomyAttribute/9771  : Tilsigtet garnform
gid://shopify/TaxonomyAttribute/6440  : Interaktionstilstand
gid://shopify/TaxonomyAttribute/6441  : Interaktive effekter
gid://shopify/TaxonomyAttribute/5514  : Intercom-kommunikationstype
gid://shopify/TaxonomyAttribute/5513  : Intercom-ledningstype
gid://shopify/TaxonomyAttribute/2466  : Grænsefladetype
gid://shopify/TaxonomyAttribute/9772  : Anvendelsesområde for mellemfor
gid://shopify/TaxonomyAttribute/9773  : Farvefamilie for mellemfor
gid://shopify/TaxonomyAttribute/9774  : Salgstype for mellemfor
gid://shopify/TaxonomyAttribute/9775  : Stivhedsniveau for mellemfor
gid://shopify/TaxonomyAttribute/5146  : Indvendigt foringmateriale
gid://shopify/TaxonomyAttribute/8466  : Type indvending polstring
gid://shopify/TaxonomyAttribute/8467  : Indvendig boksindretning
gid://shopify/TaxonomyAttribute/5206  : Indvendig tekstur
gid://shopify/TaxonomyAttribute/1874  : Intern drev-formfaktor understøttet
gid://shopify/TaxonomyAttribute/5979  : Indvendig membrantype
gid://shopify/TaxonomyAttribute/5468  : Internetradioens formfaktor
gid://shopify/TaxonomyAttribute/3000  : Funktioner for intimbeklædning
gid://shopify/TaxonomyAttribute/2689  : Invertertype
gid://shopify/TaxonomyAttribute/2518  : Invitationspersonaliseringsdesign
gid://shopify/TaxonomyAttribute/9776  : Trykdækning for invitationer
gid://shopify/TaxonomyAttribute/7812  : Jodberigelse
gid://shopify/TaxonomyAttribute/9777  : Iriseringniveau
gid://shopify/TaxonomyAttribute/9778  : Opsætning af irsk warpipe-sæt
gid://shopify/TaxonomyAttribute/5980  : Formål med strygejernsrens
gid://shopify/TaxonomyAttribute/9779  : Påstrygningsmetode for stofapplikation
gid://shopify/TaxonomyAttribute/5981  : Strygebræts formfaktor
gid://shopify/TaxonomyAttribute/5982  : Strygebræts pudeform
gid://shopify/TaxonomyAttribute/6923  : Strygecenterets funktioner
gid://shopify/TaxonomyAttribute/3142  : Strygefunktioner
gid://shopify/TaxonomyAttribute/2680  : Objekttilstand
gid://shopify/TaxonomyAttribute/2948  : Artikelmateriale
gid://shopify/TaxonomyAttribute/2493  : Genstandsstil
gid://shopify/TaxonomyAttribute/1237  : J-Cup-type
gid://shopify/TaxonomyAttribute/6732  : Jakkens bryststil
gid://shopify/TaxonomyAttribute/6733  : Jakkeventilstil
gid://shopify/TaxonomyAttribute/7813  : Konsistens af marmelade og gelé
gid://shopify/TaxonomyAttribute/6298  : Krukkeform
gid://shopify/TaxonomyAttribute/5210  : Kæbeforskydningsjustering
gid://shopify/TaxonomyAttribute/10622 : Kæbeform
gid://shopify/TaxonomyAttribute/7814  : Form på jerky
gid://shopify/TaxonomyAttribute/9780  : Jersey-stil
gid://shopify/TaxonomyAttribute/9781  : Jødeharpetilbehør medfølger
gid://shopify/TaxonomyAttribute/9782  : Rammeform for mundharpe
gid://shopify/TaxonomyAttribute/9783  : Tungeprofil for mundharpe
gid://shopify/TaxonomyAttribute/5141  : Inkluderet smykkerengøringstilbehør
gid://shopify/TaxonomyAttribute/5142  : Smykkerengøringsformål
gid://shopify/TaxonomyAttribute/3275  : Type af smykkefund
gid://shopify/TaxonomyAttribute/2781  : Smykkemateriale
gid://shopify/TaxonomyAttribute/6734  : Smykker medfølger
gid://shopify/TaxonomyAttribute/2313  : Smykkeprojekttype
gid://shopify/TaxonomyAttribute/2285  : Smykkesættype
gid://shopify/TaxonomyAttribute/5145  : Smykkedamprenserfunktioner
gid://shopify/TaxonomyAttribute/60    : Smykketype
gid://shopify/TaxonomyAttribute/6442  : Formen på puslespilsbrikker
gid://shopify/TaxonomyAttribute/6735  : Designfunktioner for jockstrap
gid://shopify/TaxonomyAttribute/3172  : Ledtilslutning
gid://shopify/TaxonomyAttribute/3173  : Type af forside på led
gid://shopify/TaxonomyAttribute/1242  : Ledstil
gid://shopify/TaxonomyAttribute/5033  : Rejsetype
gid://shopify/TaxonomyAttribute/5336  : Joystickmonteringstype
gid://shopify/TaxonomyAttribute/5642  : Joystick-sensorteknologi
gid://shopify/TaxonomyAttribute/9784  : Konstruktionstype for jonglerkølle
gid://shopify/TaxonomyAttribute/9785  : Kernemateriale i jonglerkølle
gid://shopify/TaxonomyAttribute/9786  : Størrelse på rekvisitsæt til jonglering
gid://shopify/TaxonomyAttribute/9787  : Kantstil på jonglerring
gid://shopify/TaxonomyAttribute/7815  : Juiceform
gid://shopify/TaxonomyAttribute/7816  : Forarbejdningsmetode for juice
gid://shopify/TaxonomyAttribute/5983  : Saftpressertype
gid://shopify/TaxonomyAttribute/3382  : Sjippetovdesign
gid://shopify/TaxonomyAttribute/6443  : Sjippetovsstil
gid://shopify/TaxonomyAttribute/2765  : Hoppe overflademateriale
gid://shopify/TaxonomyAttribute/7817  : Kålvariant
gid://shopify/TaxonomyAttribute/6444  : Kalejdoskopets visningstype
gid://shopify/TaxonomyAttribute/1824  : Karaoketilstande
gid://shopify/TaxonomyAttribute/10623 : Kayakonstruktionstype
gid://shopify/TaxonomyAttribute/10624 : Type af kajakdesign
gid://shopify/TaxonomyAttribute/10625 : Kajakkens skrogdesign
gid://shopify/TaxonomyAttribute/10626 : Type af kajakopbevaringstaske
gid://shopify/TaxonomyAttribute/10627 : Kajakstil
gid://shopify/TaxonomyAttribute/8468  : Køltype
gid://shopify/TaxonomyAttribute/2112  : Petroleumspåføring
gid://shopify/TaxonomyAttribute/10628 : Kettlebell-stil
gid://shopify/TaxonomyAttribute/6736  : Nøglefastgørelsesmekanisme
gid://shopify/TaxonomyAttribute/5984  : Nøglebladstype
gid://shopify/TaxonomyAttribute/2138  : Nøgleformål
gid://shopify/TaxonomyAttribute/10629 : Nøglefastholdelse ved oplåsning
gid://shopify/TaxonomyAttribute/2473  : Tastaturhandling
gid://shopify/TaxonomyAttribute/9788  : Tastaturforstærkerindgange
gid://shopify/TaxonomyAttribute/9789  : Udgangstyper for tastaturforstærkere
gid://shopify/TaxonomyAttribute/5649  : Tastatursamlingstype
gid://shopify/TaxonomyAttribute/5644  : Tastaturbaggrundsbelysningstype
gid://shopify/TaxonomyAttribute/9790  : Type af håndtag på keyboardetuiet
gid://shopify/TaxonomyAttribute/9791  : Angiver typen af indvendig polstring i keyboardetuiet
gid://shopify/TaxonomyAttribute/9792  : Keyboardetuiets beskyttelsesniveau
gid://shopify/TaxonomyAttribute/9793  : Hjultype på keyboardetui
gid://shopify/TaxonomyAttribute/1909  : Tastaturformat
gid://shopify/TaxonomyAttribute/3291  : Type af tastaturtaster
gid://shopify/TaxonomyAttribute/1911  : Tastaturlayout
gid://shopify/TaxonomyAttribute/5645  : Tastaturmonteringsstil
gid://shopify/TaxonomyAttribute/9794  : Type af forbindelseskomponent til keyboard
gid://shopify/TaxonomyAttribute/1914  : Tastaturporttype
gid://shopify/TaxonomyAttribute/9795  : Type strømforsyning til keyboardet
gid://shopify/TaxonomyAttribute/3082  : Specialiserede funktioner for tastatur
gid://shopify/TaxonomyAttribute/9796  : Typen af niveauer for keyboardstativ
gid://shopify/TaxonomyAttribute/9797  : Niveauer for keyboardstativ
gid://shopify/TaxonomyAttribute/1912  : Tastaturtasttype
gid://shopify/TaxonomyAttribute/1879  : Tastaturtype
gid://shopify/TaxonomyAttribute/5631  : Tastehætteforklaringstrykmetode
gid://shopify/TaxonomyAttribute/5646  : Tastehættemateriale
gid://shopify/TaxonomyAttribute/5630  : Tastehætteprofil
gid://shopify/TaxonomyAttribute/9798  : Nøgleringstilbehørstype
gid://shopify/TaxonomyAttribute/9799  : Nøgleringstil
gid://shopify/TaxonomyAttribute/1335  : Keypad-stil
gid://shopify/TaxonomyAttribute/5393  : Keystone-korrektionstype
gid://shopify/TaxonomyAttribute/9800  : Tasternes finish
gid://shopify/TaxonomyAttribute/10630 : Stavens bøjningspunkt
gid://shopify/TaxonomyAttribute/10631 : Grebssystemet i kick-zone
gid://shopify/TaxonomyAttribute/10632 : Kickboard-funktioner
gid://shopify/TaxonomyAttribute/10633 : Stil på kickboardets greb
gid://shopify/TaxonomyAttribute/10634 : Monteringsposition for støtteben
gid://shopify/TaxonomyAttribute/10635 : Støttebenstype
gid://shopify/TaxonomyAttribute/8469  : Støtteniveau for nyrebælte
gid://shopify/TaxonomyAttribute/5038  : Ovnfunktioner
gid://shopify/TaxonomyAttribute/9801  : Ovnfyringsatmosfære
gid://shopify/TaxonomyAttribute/9802  : Typen af varmeelement i ovnen
gid://shopify/TaxonomyAttribute/5039  : Ovnens indlæsningstype
gid://shopify/TaxonomyAttribute/10636 : Kingpin-design
gid://shopify/TaxonomyAttribute/10637 : Kingpin-orientering
gid://shopify/TaxonomyAttribute/8470  : Sætkomponenter medfølger
gid://shopify/TaxonomyAttribute/2383  : Sætkonstruktionstype
gid://shopify/TaxonomyAttribute/9803  : Sætformat
gid://shopify/TaxonomyAttribute/9804  : Inkluderede sætgenstande
gid://shopify/TaxonomyAttribute/9805  : Typen af pose eller etui til sættet
gid://shopify/TaxonomyAttribute/6445  : Inkluderede sætværktøjer
gid://shopify/TaxonomyAttribute/5985  : Køkkenindretning
gid://shopify/TaxonomyAttribute/5986  : Køkkentekstiler medfølger
gid://shopify/TaxonomyAttribute/1411  : Køkkenredskaber medfølger
gid://shopify/TaxonomyAttribute/3320  : Møbelartikler til køkken og spisestue medfølger
gid://shopify/TaxonomyAttribute/10638 : System til oppustning af kiten
gid://shopify/TaxonomyAttribute/10639 : Kite line-konfiguration
gid://shopify/TaxonomyAttribute/10640 : Kitetype
gid://shopify/TaxonomyAttribute/10641 : Kiteboard-taskestil
gid://shopify/TaxonomyAttribute/1253  : Kitesurfingstil
gid://shopify/TaxonomyAttribute/7818  : Kiwifrugtsort
gid://shopify/TaxonomyAttribute/5092  : Knæbandagetype
gid://shopify/TaxonomyAttribute/6737  : Lommetype på knæbeskytter
gid://shopify/TaxonomyAttribute/10642 : Knæbeskytterstil
gid://shopify/TaxonomyAttribute/10643 : Knæbeskyttelsesdesign
gid://shopify/TaxonomyAttribute/10644 : Knæbrætkonstruktion
gid://shopify/TaxonomyAttribute/10645 : Remtype for knæbræt
gid://shopify/TaxonomyAttribute/9806  : Låsemekanisme for kniv
gid://shopify/TaxonomyAttribute/10646 : Låsemekanisme for kniv
gid://shopify/TaxonomyAttribute/10647 : Åbningsmekanisme for kniv
gid://shopify/TaxonomyAttribute/9807  : Knivsystem
gid://shopify/TaxonomyAttribute/1263  : Knivtype
gid://shopify/TaxonomyAttribute/9808  : Brug af strikket elastik
gid://shopify/TaxonomyAttribute/6738  : Strikmønster
gid://shopify/TaxonomyAttribute/6739  : Strikstil
gid://shopify/TaxonomyAttribute/9809  : Typen af strikkemarkør eller tæller
gid://shopify/TaxonomyAttribute/9810  : Typen af spids på strikkepinden
gid://shopify/TaxonomyAttribute/2953  : Strikke-/polstringsprojekttype
gid://shopify/TaxonomyAttribute/2414  : Grebsfunktion
gid://shopify/TaxonomyAttribute/2415  : Knapstil
gid://shopify/TaxonomyAttribute/2116  : Håndtagsdesign
gid://shopify/TaxonomyAttribute/8471  : Bankesensorteknologi
gid://shopify/TaxonomyAttribute/5197  : Knudeform
gid://shopify/TaxonomyAttribute/10648 : Riflingens aggressivitet
gid://shopify/TaxonomyAttribute/10649 : Angiver standarden for markering af rifling på stangen
gid://shopify/TaxonomyAttribute/7819  : Kålrabi-sort
gid://shopify/TaxonomyAttribute/7820  : Angiver typen af koji-svamp
gid://shopify/TaxonomyAttribute/7821  : Kumquat-sorten
gid://shopify/TaxonomyAttribute/10662 : LED-farvemuligheder
gid://shopify/TaxonomyAttribute/10663 : LED-indikatorfarve
gid://shopify/TaxonomyAttribute/10664 : LED-lysets farve
gid://shopify/TaxonomyAttribute/5175  : LED-lystilstand
gid://shopify/TaxonomyAttribute/1885  : Lnb-udgang
gid://shopify/TaxonomyAttribute/1886  : Lnb-teknologi
gid://shopify/TaxonomyAttribute/5987  : Labelindholdstype
gid://shopify/TaxonomyAttribute/9811  : Type kant på etiketten
gid://shopify/TaxonomyAttribute/9812  : Labelfinish
gid://shopify/TaxonomyAttribute/9813  : Labelfinish/kantstil
gid://shopify/TaxonomyAttribute/9814  : Typen af foldning af etiketten
gid://shopify/TaxonomyAttribute/9815  : Labelteksttype
gid://shopify/TaxonomyAttribute/3011  : Mærkningsprojekttype
gid://shopify/TaxonomyAttribute/2615  : Laboratoriefryserdesign
gid://shopify/TaxonomyAttribute/6740  : Størrelsen på snøreområdet
gid://shopify/TaxonomyAttribute/10650 : Snørestrammerstil
gid://shopify/TaxonomyAttribute/6741  : Snøretype
gid://shopify/TaxonomyAttribute/10651 : Lacrosseboldcertificering
gid://shopify/TaxonomyAttribute/2851  : Lacrosseudstyr medfølger
gid://shopify/TaxonomyAttribute/10652 : Angiver, hvilke officielle regler eller standarder lacrossemålet er certificeret efter.
gid://shopify/TaxonomyAttribute/10653 : Typen af pocket i lacrosse-staven
gid://shopify/TaxonomyAttribute/10654 : Typen af snøre i lacrosse-staven
gid://shopify/TaxonomyAttribute/6924  : Stigeposition
gid://shopify/TaxonomyAttribute/2732  : Stigetype
gid://shopify/TaxonomyAttribute/3369  : Lamineringstilstand
gid://shopify/TaxonomyAttribute/5041  : Lamineringstype
gid://shopify/TaxonomyAttribute/5988  : Lampes armstil
gid://shopify/TaxonomyAttribute/5406  : Lampe-samlingstype
gid://shopify/TaxonomyAttribute/5989  : Monteringstype for lygtepælsfod
gid://shopify/TaxonomyAttribute/5405  : Lampe-kvalitetsgrad
gid://shopify/TaxonomyAttribute/5990  : Lampeskærms beslagtype
gid://shopify/TaxonomyAttribute/5991  : Lampeskærms form
gid://shopify/TaxonomyAttribute/5992  : Lampeskærms gennemskinnelighed
gid://shopify/TaxonomyAttribute/2041  : Lampetype
gid://shopify/TaxonomyAttribute/5993  : Lampeskærms form
gid://shopify/TaxonomyAttribute/5102  : Lancetmekanismetype
gid://shopify/TaxonomyAttribute/1733  : Sprog
gid://shopify/TaxonomyAttribute/2536  : Sprogversion
gid://shopify/TaxonomyAttribute/6742  : Fastgørelse til nøglesnor
gid://shopify/TaxonomyAttribute/6743  : Nøglesnorsstil
gid://shopify/TaxonomyAttribute/10655 : Nøglesnorstype
gid://shopify/TaxonomyAttribute/9816  : Medfølgende tilbehør til lapvæven
gid://shopify/TaxonomyAttribute/6744  : Reversstil
gid://shopify/TaxonomyAttribute/5648  : Laptop-kabeltype
gid://shopify/TaxonomyAttribute/5647  : Laptop-kabinetdeltype
gid://shopify/TaxonomyAttribute/2270  : Laserlyskilde
gid://shopify/TaxonomyAttribute/9817  : Lasersikkerhedsklasse
gid://shopify/TaxonomyAttribute/6925  : Forarbejdningsmetode for latex
gid://shopify/TaxonomyAttribute/6926  : Latextype
gid://shopify/TaxonomyAttribute/2196  : Anvendelse af drejebænk
gid://shopify/TaxonomyAttribute/10656 : Skudprofil
gid://shopify/TaxonomyAttribute/10657 : Monteringskonfiguration af kaster
gid://shopify/TaxonomyAttribute/5994  : Vaskebolds tekstur
gid://shopify/TaxonomyAttribute/3145  : Funktioner for vaskepulver
gid://shopify/TaxonomyAttribute/5995  : Vasketilbehør
gid://shopify/TaxonomyAttribute/6299  : Plænelufter
gid://shopify/TaxonomyAttribute/5996  : Plæneklipperremtype
gid://shopify/TaxonomyAttribute/5997  : Plæneklipperknivtype
gid://shopify/TaxonomyAttribute/5998  : Græspredertype
gid://shopify/TaxonomyAttribute/6300  : Havetraktors dækmønstertype
gid://shopify/TaxonomyAttribute/6745  : Lagskonstruktion
gid://shopify/TaxonomyAttribute/6746  : Lagdesign
gid://shopify/TaxonomyAttribute/9818  : Typen af spændingskontrol på en lazy kate
gid://shopify/TaxonomyAttribute/2254  : Blygrad
gid://shopify/TaxonomyAttribute/10658 : Type af snorhardware
gid://shopify/TaxonomyAttribute/7822  : Klassificeringen af bladgelatine
gid://shopify/TaxonomyAttribute/7823  : Bladklargøring
gid://shopify/TaxonomyAttribute/8472  : Bladfjedermateriale
gid://shopify/TaxonomyAttribute/6747  : Lækagebeskyttelseslag
gid://shopify/TaxonomyAttribute/10659 : Snorklemmetype
gid://shopify/TaxonomyAttribute/3233  : Snordesign
gid://shopify/TaxonomyAttribute/10660 : Snorstil
gid://shopify/TaxonomyAttribute/10661 : Snortype
gid://shopify/TaxonomyAttribute/5680  : Lædertype
gid://shopify/TaxonomyAttribute/2330  : Læder/vinyltekstur
gid://shopify/TaxonomyAttribute/7824  : Hævemiddeltype
gid://shopify/TaxonomyAttribute/7825  : Hævemiddel
gid://shopify/TaxonomyAttribute/2271  : Monteringstype for talerstol
gid://shopify/TaxonomyAttribute/7826  : Porresort
gid://shopify/TaxonomyAttribute/10665 : Bendækning
gid://shopify/TaxonomyAttribute/6748  : Benmanchetstil
gid://shopify/TaxonomyAttribute/6749  : Snithøjde ved ben
gid://shopify/TaxonomyAttribute/6750  : Benlængdetype
gid://shopify/TaxonomyAttribute/6751  : Benlængde
gid://shopify/TaxonomyAttribute/1852  : Benlåstype
gid://shopify/TaxonomyAttribute/10666 : Benlooptype
gid://shopify/TaxonomyAttribute/6752  : Benåbningsstil
gid://shopify/TaxonomyAttribute/1853  : Bensektioner
gid://shopify/TaxonomyAttribute/6927  : Bentype
gid://shopify/TaxonomyAttribute/5598  : Forklaringstype
gid://shopify/TaxonomyAttribute/6753  : Leggingsfoddesign
gid://shopify/TaxonomyAttribute/6754  : Taljestil for leggings
gid://shopify/TaxonomyAttribute/6755  : Lei-lukningsstil
gid://shopify/TaxonomyAttribute/7827  : Citronsort
gid://shopify/TaxonomyAttribute/5230  : Længdejusterbarhed
gid://shopify/TaxonomyAttribute/6446  : Længdejusteringsmetode
gid://shopify/TaxonomyAttribute/1985  : Enhed, der er kompatibel med objektivdæksel
gid://shopify/TaxonomyAttribute/5219  : Linseetuiets inkluderede tilbehør
gid://shopify/TaxonomyAttribute/5557  : Linsekarakteristik
gid://shopify/TaxonomyAttribute/1693  : Linsebelægning
gid://shopify/TaxonomyAttribute/5397  : Linsefarvekombination
gid://shopify/TaxonomyAttribute/10667 : Linsefarve/toning
gid://shopify/TaxonomyAttribute/2249  : Linsekonfiguration
gid://shopify/TaxonomyAttribute/10668 : Linsekonstruktion
gid://shopify/TaxonomyAttribute/5234  : Linsefilterkategori
gid://shopify/TaxonomyAttribute/1987  : Objektivfiltereffekter
gid://shopify/TaxonomyAttribute/1988  : Objektivfiltertype
gid://shopify/TaxonomyAttribute/5012  : Tilbehør til objektivsæt medfølger
gid://shopify/TaxonomyAttribute/77    : Linsepolarisering
gid://shopify/TaxonomyAttribute/5030  : Linsebeskytterens dækningsstil
gid://shopify/TaxonomyAttribute/5013  : Funktioner i linsebeskytteren
gid://shopify/TaxonomyAttribute/5227  : Linsens brydningsindeks
gid://shopify/TaxonomyAttribute/3303  : Linseopbevaringstype
gid://shopify/TaxonomyAttribute/6756  : Linsetintkategori
gid://shopify/TaxonomyAttribute/5224  : Linsefarvetype
gid://shopify/TaxonomyAttribute/1694  : Linsetype
gid://shopify/TaxonomyAttribute/2957  : Materiale til linse/objektglas
gid://shopify/TaxonomyAttribute/7828  : Salatsort
gid://shopify/TaxonomyAttribute/10669 : Spilleniveau
gid://shopify/TaxonomyAttribute/8473  : Konfiguration af håndtag
gid://shopify/TaxonomyAttribute/9819  : Håndtagstype
gid://shopify/TaxonomyAttribute/8474  : Stilen for nummerpladerammen
gid://shopify/TaxonomyAttribute/8475  : Tilpasningstype for nummerplade
gid://shopify/TaxonomyAttribute/2646  : Licenstype
gid://shopify/TaxonomyAttribute/9820  : Licens-/brugsbetingelser
gid://shopify/TaxonomyAttribute/9821  : Licenseret sportsejendom
gid://shopify/TaxonomyAttribute/5999  : Lågfunktioner
gid://shopify/TaxonomyAttribute/6928  : Hængselmekanisme på låg
gid://shopify/TaxonomyAttribute/9822  : Positioner, hvor låget kan fastholdes
gid://shopify/TaxonomyAttribute/1786  : Lågtype
gid://shopify/TaxonomyAttribute/6000  : Lågventilationstype
gid://shopify/TaxonomyAttribute/10670 : Farvekode for liggende vinkel
gid://shopify/TaxonomyAttribute/10671 : Standard for certificering af redningsveste
gid://shopify/TaxonomyAttribute/3175  : Funktioner for redningsvest
gid://shopify/TaxonomyAttribute/8476  : Standard for certificering af redningsflåder
gid://shopify/TaxonomyAttribute/8477  : Beholdertype til redningsflåde
gid://shopify/TaxonomyAttribute/8478  : Standard for godkendelse af redningsveste
gid://shopify/TaxonomyAttribute/8479  : Tiltænkt bruger af redningsvesten
gid://shopify/TaxonomyAttribute/8480  : Godkendelsesstandard for redningskrans
gid://shopify/TaxonomyAttribute/8481  : Redningskransfunktioner
gid://shopify/TaxonomyAttribute/6001  : Løftemekanisme
gid://shopify/TaxonomyAttribute/6929  : Liftmekanismetype
gid://shopify/TaxonomyAttribute/8482  : Støttepunkt for lift/stativ
gid://shopify/TaxonomyAttribute/8483  : Løftegastype
gid://shopify/TaxonomyAttribute/8484  : Type af løfte- eller støtteudstyr
gid://shopify/TaxonomyAttribute/9823  : Type af ligatur og kapselkomponent
gid://shopify/TaxonomyAttribute/9824  : Ligaturmateriale
gid://shopify/TaxonomyAttribute/9825  : Ligaturbelægning eller -finish
gid://shopify/TaxonomyAttribute/9826  : Angiver, hvordan ligaturen trykker eller kontakter bladet
gid://shopify/TaxonomyAttribute/9827  : Skruens placering på ligaturen (i forhold til bladet)
gid://shopify/TaxonomyAttribute/9828  : Mekanisme til justering af ligaturspænding
gid://shopify/TaxonomyAttribute/9829  : Type af ligaturspændingsmekanisme
gid://shopify/TaxonomyAttribute/2229  : Lysvedhæftningstype
gid://shopify/TaxonomyAttribute/8485  : Materiale i lygtebjælken
gid://shopify/TaxonomyAttribute/8486  : Lygtebjælkens linsemateriale
gid://shopify/TaxonomyAttribute/8487  : Monteringslokation for lygtebjælke
gid://shopify/TaxonomyAttribute/1360  : Lyskontrol
gid://shopify/TaxonomyAttribute/2008  : Lysdesign
gid://shopify/TaxonomyAttribute/2021  : Lyseksponeringstilstande
gid://shopify/TaxonomyAttribute/6002  : Krav til lyseksponering
gid://shopify/TaxonomyAttribute/2050  : Lysfiltrering
gid://shopify/TaxonomyAttribute/1740  : Lysindstillinger
gid://shopify/TaxonomyAttribute/5404  : Lysafvisningstype
gid://shopify/TaxonomyAttribute/1333  : Lyskilde
gid://shopify/TaxonomyAttribute/1574  : Lysspektrum
gid://shopify/TaxonomyAttribute/9830  : Lysstativstil
gid://shopify/TaxonomyAttribute/8488  : Lyskontaktens funktioner
gid://shopify/TaxonomyAttribute/1244  : Lystemperatur
gid://shopify/TaxonomyAttribute/5051  : Lysterapienhedens formfaktor
gid://shopify/TaxonomyAttribute/2742  : Lystype
gid://shopify/TaxonomyAttribute/9831  : Understøttede lysstyringsprotokoller
gid://shopify/TaxonomyAttribute/10672 : Lyseffekter
gid://shopify/TaxonomyAttribute/2982  : Belysningsfunktioner
gid://shopify/TaxonomyAttribute/10673 : Lystilstand
gid://shopify/TaxonomyAttribute/3056  : Belysningsmuligheder
gid://shopify/TaxonomyAttribute/5451  : Belysningstype
gid://shopify/TaxonomyAttribute/9832  : Liljevariant
gid://shopify/TaxonomyAttribute/10674 : Lemmernes bevægelighed
gid://shopify/TaxonomyAttribute/10675 : Benmateriale
gid://shopify/TaxonomyAttribute/7829  : Limevariant
gid://shopify/TaxonomyAttribute/10676 : Snorens opdrift
gid://shopify/TaxonomyAttribute/10677 : Linjeformål
gid://shopify/TaxonomyAttribute/2247  : Linjeafstandsindstillinger
gid://shopify/TaxonomyAttribute/2729  : Linje/rebtype
gid://shopify/TaxonomyAttribute/9833  : Linnedets overfladefinish eller behandling
gid://shopify/TaxonomyAttribute/9834  : Linnedvævningstype
gid://shopify/TaxonomyAttribute/6003  : Linermonteringsmetode
gid://shopify/TaxonomyAttribute/6930  : Sengerands polstringstype
gid://shopify/TaxonomyAttribute/10678 : Polstringens form
gid://shopify/TaxonomyAttribute/6757  : Foringstype
gid://shopify/TaxonomyAttribute/6758  : Foring
gid://shopify/TaxonomyAttribute/6759  : Foringsmateriale
gid://shopify/TaxonomyAttribute/6760  : Foringstype
gid://shopify/TaxonomyAttribute/10679 : Stil for forbindelsesled
gid://shopify/TaxonomyAttribute/6004  : Fnugrulletype
gid://shopify/TaxonomyAttribute/5302  : Læbepomadens farveniveau
gid://shopify/TaxonomyAttribute/5273  : Lipgloss-applikatortype
gid://shopify/TaxonomyAttribute/1621  : Lipgloss-effekt
gid://shopify/TaxonomyAttribute/5272  : Lipgloss-formulering
gid://shopify/TaxonomyAttribute/3336  : Læbeblyantdesign
gid://shopify/TaxonomyAttribute/5271  : Læbemakeupens dækevne
gid://shopify/TaxonomyAttribute/5274  : Læbestiftdækning
gid://shopify/TaxonomyAttribute/1622  : Læbestifteffekt
gid://shopify/TaxonomyAttribute/1464  : Likørvariant
gid://shopify/TaxonomyAttribute/10680 : Levende agntype
gid://shopify/TaxonomyAttribute/6005  : Levendefældes design
gid://shopify/TaxonomyAttribute/2551  : Husdyrfoderingredienser
gid://shopify/TaxonomyAttribute/6931  : Møbelartikler til stue medfølger
gid://shopify/TaxonomyAttribute/2117  : Belastningskapacitet
gid://shopify/TaxonomyAttribute/10681 : Pålastningsmekanisme
gid://shopify/TaxonomyAttribute/2723  : Læsserampetype
gid://shopify/TaxonomyAttribute/1374  : Indlæsningstype
gid://shopify/TaxonomyAttribute/8489  : Låsecylindertype
gid://shopify/TaxonomyAttribute/6006  : Låsens nøglekonfiguration
