# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : ペット・ペット用品
gid://shopify/TaxonomyCategory/fr-1-5-1-4        : 家具 > ベビー用家具 > ベビーベッド関連用品 > ベビーベッド用ベッドガード > メッシュベビーベッドバンパー
gid://shopify/TaxonomyCategory/fr-1-5-1-5        : 家具 > ベビー用家具 > ベビーベッド関連用品 > ベビーベッド用ベッドガード > パッド入りベビーベッドバンパー
gid://shopify/TaxonomyCategory/fr-1-5-1-6        : 家具 > ベビー用家具 > ベビーベッド関連用品 > ベビーベッド用ベッドガード > 歯固めレールカバー
gid://shopify/TaxonomyCategory/fr-1-5-2          : 家具 > ベビー用家具 > ベビーベッド関連用品 > ベビーベッド組み換えキット
gid://shopify/TaxonomyCategory/fr-1-6            : 家具 > ベビー用家具 > ベビーベッド
gid://shopify/TaxonomyCategory/fr-1-6-4          : 家具 > ベビー用家具 > ベビーベッド > 二段幼児用ベッド
gid://shopify/TaxonomyCategory/fr-1-6-5          : 家具 > ベビー用家具 > ベビーベッド > 天蓋付き幼児用ベッド
gid://shopify/TaxonomyCategory/fr-1-6-6          : 家具 > ベビー用家具 > ベビーベッド > ロフト幼児用ベッド
gid://shopify/TaxonomyCategory/fr-1-6-7          : 家具 > ベビー用家具 > ベビーベッド > ミニベビーベッド
gid://shopify/TaxonomyCategory/fr-1-6-9          : 家具 > ベビー用家具 > ベビーベッド > そり幼児用ベッド
gid://shopify/TaxonomyCategory/fr-1-6-10         : 家具 > ベビー用家具 > ベビーベッド > 標準ベビーベッド
gid://shopify/TaxonomyCategory/fr-1-6-11         : 家具 > ベビー用家具 > ベビーベッド > 幼児用ベッド
gid://shopify/TaxonomyCategory/fr-1-6-12         : 家具 > ベビー用家具 > ベビーベッド > トラベル用ベビーベッド
gid://shopify/TaxonomyCategory/fr-1-7            : 家具 > ベビー用家具 > ハイチェア・ベビーチェア用品
gid://shopify/TaxonomyCategory/fr-1-8            : 家具 > ベビー用家具 > ハイチェア・ベビーチェア
gid://shopify/TaxonomyCategory/fr-1-8-2          : 家具 > ベビー用家具 > ハイチェア・ベビーチェア > 食事用ブースターシート
gid://shopify/TaxonomyCategory/fr-1-8-3          : 家具 > ベビー用家具 > ハイチェア・ベビーチェア > コンバーチブルハイチェア
gid://shopify/TaxonomyCategory/fr-1-8-4          : 家具 > ベビー用家具 > ハイチェア・ベビーチェア > ハイチェア
gid://shopify/TaxonomyCategory/fr-1-8-5          : 家具 > ベビー用家具 > ハイチェア・ベビーチェア > フックオンシート
gid://shopify/TaxonomyCategory/fr-1-9            : 家具 > ベビー用家具 > プレイソファ
gid://shopify/TaxonomyCategory/fr-2              : 家具 > ベッド・ベッド用品
gid://shopify/TaxonomyCategory/fr-2-1            : 家具 > ベッド・ベッド用品 > ベッド用品
gid://shopify/TaxonomyCategory/fr-2-2            : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-1          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > エアーベッド
gid://shopify/TaxonomyCategory/fr-2-2-2          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > 二段ベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-3          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > キャビンベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-4          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > 天蓋付きベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-5          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ベビーベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-6          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ディバンベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-7          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > 4ポスター
gid://shopify/TaxonomyCategory/fr-2-2-8          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ロフトベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-9          : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ミッドセンチュリーベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-10         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > パネルベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-11         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > プラットフォームベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-12         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > すのこベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-13         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > そりベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-14         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > トランドルベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-15         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ウォールベッド・ベッドフレーム
gid://shopify/TaxonomyCategory/fr-2-2-16         : 家具 > ベッド・ベッド用品 > ベッド・ベッドフレーム > ウォーターベッド
gid://shopify/TaxonomyCategory/fr-2-3            : 家具 > ベッド・ベッド用品 > フットボード
gid://shopify/TaxonomyCategory/fr-2-4            : 家具 > ベッド・ベッド用品 > ヘッドボード
gid://shopify/TaxonomyCategory/fr-2-5            : 家具 > ベッド・ベッド用品 > マットレスベース
gid://shopify/TaxonomyCategory/fr-2-5-1          : 家具 > ベッド・ベッド用品 > マットレスベース > 調整可能ベース
gid://shopify/TaxonomyCategory/fr-2-5-2          : 家具 > ベッド・ベッド用品 > マットレスベース > ボックススプリング
gid://shopify/TaxonomyCategory/fr-2-5-3          : 家具 > ベッド・ベッド用品 > マットレスベース > バンキーボード
gid://shopify/TaxonomyCategory/fr-2-5-4          : 家具 > ベッド・ベッド用品 > マットレスベース > 折り畳み式金属マットレスベース
gid://shopify/TaxonomyCategory/fr-2-5-5          : 家具 > ベッド・ベッド用品 > マットレスベース > マットレスベースとフレームのセット
gid://shopify/TaxonomyCategory/fr-2-5-7          : 家具 > ベッド・ベッド用品 > マットレスベース > パネルベース
gid://shopify/TaxonomyCategory/fr-2-5-8          : 家具 > ベッド・ベッド用品 > マットレスベース > プラットフォームベース
gid://shopify/TaxonomyCategory/fr-2-6            : 家具 > ベッド・ベッド用品 > マットレス
gid://shopify/TaxonomyCategory/fr-2-6-1          : 家具 > ベッド・ベッド用品 > マットレス > ジェルフォームマットレス
gid://shopify/TaxonomyCategory/fr-2-6-2          : 家具 > ベッド・ベッド用品 > マットレス > 高反発フォームマットレス
gid://shopify/TaxonomyCategory/fr-2-6-3          : 家具 > ベッド・ベッド用品 > マットレス > インナースプリングマットレス
gid://shopify/TaxonomyCategory/fr-2-6-4          : 家具 > ベッド・ベッド用品 > マットレス > ラテックスマットレス
gid://shopify/TaxonomyCategory/fr-2-6-5          : 家具 > ベッド・ベッド用品 > マットレス > 低反発マットレス
gid://shopify/TaxonomyCategory/fr-2-6-6          : 家具 > ベッド・ベッド用品 > マットレス > ロールマットレス
gid://shopify/TaxonomyCategory/fr-2-6-7          : 家具 > ベッド・ベッド用品 > マットレス > ウォーターマットレス
gid://shopify/TaxonomyCategory/fr-3              : 家具 > ベンチ・スツール
gid://shopify/TaxonomyCategory/fr-3-1            : 家具 > ベンチ・スツール > ダイニングベンチ
gid://shopify/TaxonomyCategory/fr-3-1-1          : 家具 > ベンチ・スツール > ダイニングベンチ > 背もたれ付きベンチ
gid://shopify/TaxonomyCategory/fr-3-1-2          : 家具 > ベンチ・スツール > ダイニングベンチ > 背もたれのないベンチ
gid://shopify/TaxonomyCategory/fr-3-1-3          : 家具 > ベンチ・スツール > ダイニングベンチ > Banquettes
gid://shopify/TaxonomyCategory/fr-3-1-4          : 家具 > ベンチ・スツール > ダイニングベンチ > ブース
gid://shopify/TaxonomyCategory/fr-3-1-5          : 家具 > ベンチ・スツール > ダイニングベンチ > コーナーベンチ
gid://shopify/TaxonomyCategory/fr-3-1-6          : 家具 > ベンチ・スツール > ダイニングベンチ > カウンターベンチ
gid://shopify/TaxonomyCategory/fr-3-1-7          : 家具 > ベンチ・スツール > ダイニングベンチ > ダイニングベンチ
gid://shopify/TaxonomyCategory/fr-3-1-8          : 家具 > ベンチ・スツール > ダイニングベンチ > ファームハウスベンチ
gid://shopify/TaxonomyCategory/fr-3-1-9          : 家具 > ベンチ・スツール > ダイニングベンチ > キッチンコーナーベンチ
gid://shopify/TaxonomyCategory/fr-3-1-10         : 家具 > ベンチ・スツール > ダイニングベンチ > L字型ベンチ
gid://shopify/TaxonomyCategory/fr-3-1-11         : 家具 > ベンチ・スツール > ダイニングベンチ > サドルベンチ
gid://shopify/TaxonomyCategory/fr-3-1-13         : 家具 > ベンチ・スツール > ダイニングベンチ > 収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-1-14         : 家具 > ベンチ・スツール > ダイニングベンチ > トレッスル
gid://shopify/TaxonomyCategory/fr-3-1-15         : 家具 > ベンチ・スツール > ダイニングベンチ > 布張りベンチ
gid://shopify/TaxonomyCategory/fr-3-2            : 家具 > ベンチ・スツール > 収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-1          : 家具 > ベンチ・スツール > 収納ベンチ > バスケットベンチ
gid://shopify/TaxonomyCategory/fr-3-2-2          : 家具 > ベンチ・スツール > 収納ベンチ > コートラック
gid://shopify/TaxonomyCategory/fr-3-2-3          : 家具 > ベンチ・スツール > 収納ベンチ > カビーベンチ
gid://shopify/TaxonomyCategory/fr-3-2-4          : 家具 > ベンチ・スツール > 収納ベンチ > 引き出し収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-5          : 家具 > ベンチ・スツール > 収納ベンチ > 玄関ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-6          : 家具 > ベンチ・スツール > 収納ベンチ > 子―トラック
gid://shopify/TaxonomyCategory/fr-3-2-7          : 家具 > ベンチ・スツール > 収納ベンチ > フックベンチ
gid://shopify/TaxonomyCategory/fr-3-2-8          : 家具 > ベンチ・スツール > 収納ベンチ > 蓋付き収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-9          : 家具 > ベンチ・スツール > 収納ベンチ > リフトトップ収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-10         : 家具 > ベンチ・スツール > 収納ベンチ > ロッカーベンチ
gid://shopify/TaxonomyCategory/fr-3-2-12         : 家具 > ベンチ・スツール > 収納ベンチ > 靴収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-13         : 家具 > ベンチ・スツール > 収納ベンチ > 布張り収納ベンチ
gid://shopify/TaxonomyCategory/fr-3-2-14         : 家具 > ベンチ・スツール > 収納ベンチ > 窓際席
gid://shopify/TaxonomyCategory/fr-3-3            : 家具 > ベンチ・スツール > ドレッサースツール
gid://shopify/TaxonomyCategory/fr-4              : 家具 > 収納家具
gid://shopify/TaxonomyCategory/fr-4-1            : 家具 > 収納家具 > 衣装ダンス・ワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-1          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > コンピューター収納庫
gid://shopify/TaxonomyCategory/fr-4-1-2          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > コーナー衣装ダンス
gid://shopify/TaxonomyCategory/fr-4-1-3          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > コーナーワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-4          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > ダブルワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-5          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 吊り下げレールワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-6          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 開き戸ワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-7          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > ジュエリー収納庫
gid://shopify/TaxonomyCategory/fr-4-1-8          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 子供用衣装ダンス
gid://shopify/TaxonomyCategory/fr-4-1-9          : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 子供用ワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-10         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 鏡付き衣装ダンス
gid://shopify/TaxonomyCategory/fr-4-1-11         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 鏡付きワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-12         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > オフィス戸棚
gid://shopify/TaxonomyCategory/fr-4-1-13         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > ポータブルワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-14         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > 棚付き衣装ダンス
gid://shopify/TaxonomyCategory/fr-4-1-15         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > スライディングドア ワードローブ
gid://shopify/TaxonomyCategory/fr-4-1-17         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > テレビ収納
gid://shopify/TaxonomyCategory/fr-4-1-16         : 家具 > 収納家具 > 衣装ダンス・ワードローブ > トリプルワードローブ
gid://shopify/TaxonomyCategory/fr-4-2            : 家具 > 収納家具 > バッフェ
gid://shopify/TaxonomyCategory/fr-4-3            : 家具 > 収納家具 > カップボード
gid://shopify/TaxonomyCategory/fr-4-3-1          : 家具 > 収納家具 > カップボード > ハッチ付きバッフェ
gid://shopify/TaxonomyCategory/fr-4-3-2          : 家具 > 収納家具 > カップボード > キャビネットハッチ
gid://shopify/TaxonomyCategory/fr-4-3-3          : 家具 > 収納家具 > カップボード > 陶磁器用キャビネット
gid://shopify/TaxonomyCategory/fr-4-3-4          : 家具 > 収納家具 > カップボード > コーナーディスプレイキャビネット
gid://shopify/TaxonomyCategory/fr-4-3-5          : 家具 > 収納家具 > カップボード > コーナーハッチ
gid://shopify/TaxonomyCategory/fr-4-3-6          : 家具 > 収納家具 > カップボード > クレデンザハッチ
gid://shopify/TaxonomyCategory/fr-4-3-7          : 家具 > 収納家具 > カップボード > ダイニングルームハッチ
gid://shopify/TaxonomyCategory/fr-4-3-8          : 家具 > 収納家具 > カップボード > ディスプレイハッチ
gid://shopify/TaxonomyCategory/fr-4-3-9          : 家具 > 収納家具 > カップボード > キッチンハッチ
gid://shopify/TaxonomyCategory/fr-4-3-10         : 家具 > 収納家具 > カップボード > ハッチ付き秘書デスク
gid://shopify/TaxonomyCategory/fr-4-3-11         : 家具 > 収納家具 > カップボード > サーバーハッチ
gid://shopify/TaxonomyCategory/fr-4-3-12         : 家具 > 収納家具 > カップボード > ハッチ付きサイドボード
gid://shopify/TaxonomyCategory/fr-4-3-13         : 家具 > 収納家具 > カップボード > 背の高いディスプレイキャビネット
gid://shopify/TaxonomyCategory/fr-4-3-14         : 家具 > 収納家具 > カップボード > 壁掛けハッチ
gid://shopify/TaxonomyCategory/fr-4-4            : 家具 > 収納家具 > クローゼット
gid://shopify/TaxonomyCategory/fr-4-4-1          : 家具 > 収納家具 > クローゼット > クローゼットバスケット
gid://shopify/TaxonomyCategory/fr-4-4-2          : 家具 > 収納家具 > クローゼット > クローゼット用収納ボックス
gid://shopify/TaxonomyCategory/fr-4-4-3          : 家具 > 収納家具 > クローゼット > クローゼットのドア
gid://shopify/TaxonomyCategory/fr-4-4-4          : 家具 > 収納家具 > クローゼット > クローゼットの引き出し
gid://shopify/TaxonomyCategory/fr-4-4-5          : 家具 > 収納家具 > クローゼット > クローゼット用ハンガーパイプ
gid://shopify/TaxonomyCategory/fr-4-4-6          : 家具 > 収納家具 > クローゼット > クローゼットの棚
gid://shopify/TaxonomyCategory/fr-4-4-7          : 家具 > 収納家具 > クローゼット > キッズクローゼット
gid://shopify/TaxonomyCategory/fr-4-4-8          : 家具 > 収納家具 > クローゼット > 壁面収納クローゼット
gid://shopify/TaxonomyCategory/fr-4-4-9          : 家具 > 収納家具 > クローゼット > ウォークインクローゼット
gid://shopify/TaxonomyCategory/fr-4-5            : 家具 > 収納家具 > タンス・チェスト
gid://shopify/TaxonomyCategory/fr-4-6            : 家具 > 収納家具 > ファイルキャビネット
gid://shopify/TaxonomyCategory/fr-4-7            : 家具 > 収納家具 > アイロン台付きキャビネット
gid://shopify/TaxonomyCategory/fr-4-8            : 家具 > 収納家具 > キッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-1          : 家具 > 収納家具 > キッチンキャビネット > ベースキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-2          : 家具 > 収納家具 > キッチンキャビネット > コーナーキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-3          : 家具 > 収納家具 > キッチンキャビネット > 両開きドア
gid://shopify/TaxonomyCategory/fr-4-8-4          : 家具 > 収納家具 > キッチンキャビネット > 引き出しベースキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-5          : 家具 > 収納家具 > キッチンキャビネット > ファームハウスキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-6          : 家具 > 収納家具 > キッチンキャビネット > ガラスドアのキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-7          : 家具 > 収納家具 > キッチンキャビネット > ハッチスタイルのキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-8          : 家具 > 収納家具 > キッチンキャビネット > 電子レンジキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-9          : 家具 > 収納家具 > キッチンキャビネット > オープンシェルフ
gid://shopify/TaxonomyCategory/fr-4-8-10         : 家具 > 収納家具 > キッチンキャビネット > オーブンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-11         : 家具 > 収納家具 > キッチンキャビネット > パントリー
gid://shopify/TaxonomyCategory/fr-4-8-12         : 家具 > 収納家具 > キッチンキャビネット > 引き出し式ゴミ箱
gid://shopify/TaxonomyCategory/fr-4-8-13         : 家具 > 収納家具 > キッチンキャビネット > 片開きキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-14         : 家具 > 収納家具 > キッチンキャビネット > シンクベースキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-15         : 家具 > 収納家具 > キッチンキャビネット > 背の高いキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-8-16         : 家具 > 収納家具 > キッチンキャビネット > ウォールキッチンキャビネット
gid://shopify/TaxonomyCategory/fr-4-9            : 家具 > 収納家具 > マガジンラック
gid://shopify/TaxonomyCategory/fr-4-10           : 家具 > 収納家具 > メディア収納家具
gid://shopify/TaxonomyCategory/fr-4-11           : 家具 > 収納家具 > サイドボード
gid://shopify/TaxonomyCategory/fr-4-12           : 家具 > 収納家具 > ロッカー・キャビネット
gid://shopify/TaxonomyCategory/fr-4-13           : 家具 > 収納家具 > 収納ボックス
gid://shopify/TaxonomyCategory/fr-4-13-1         : 家具 > 収納家具 > 収納ボックス > ベンチ型収納ボックス
gid://shopify/TaxonomyCategory/fr-4-13-2         : 家具 > 収納家具 > 収納ボックス > おもちゃ箱
gid://shopify/TaxonomyCategory/fr-4-14           : 家具 > 収納家具 > 化粧台・鏡台
gid://shopify/TaxonomyCategory/fr-4-14-1         : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-1       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > バスルームキャビネット
gid://shopify/TaxonomyCategory/fr-4-14-1-2       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > バスルーム洗面化粧台セット
gid://shopify/TaxonomyCategory/fr-4-14-1-3       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > コーナー洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-4       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > ダブルシンク
gid://shopify/TaxonomyCategory/fr-4-14-1-5       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > フローティング洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-6       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > 自立型洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-7       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > 台座洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-8       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > シングルシンクの洗面化粧台
gid://shopify/TaxonomyCategory/fr-4-14-1-9       : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > 埋め込みタイプ
gid://shopify/TaxonomyCategory/fr-4-14-1-10      : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > 上乗せタイプ
gid://shopify/TaxonomyCategory/fr-4-14-1-11      : 家具 > 収納家具 > 化粧台・鏡台 > 洗面化粧台 > 洗面化粧台ベース
gid://shopify/TaxonomyCategory/fr-4-14-2         : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー
gid://shopify/TaxonomyCategory/fr-4-14-2-1       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > バスルーム化粧台セット
gid://shopify/TaxonomyCategory/fr-4-14-2-3       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > デスク型化粧台
gid://shopify/TaxonomyCategory/fr-4-14-2-4       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > 化粧台
gid://shopify/TaxonomyCategory/fr-4-14-2-5       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > 照明付き化粧台
gid://shopify/TaxonomyCategory/fr-4-14-2-6       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > メイクアップテーブル
gid://shopify/TaxonomyCategory/fr-4-14-2-7       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > 鏡付き化粧台
gid://shopify/TaxonomyCategory/fr-4-14-2-8       : 家具 > 収納家具 > 化粧台・鏡台 > 鏡台・ドレッサー > 化粧台（テーブル）
gid://shopify/TaxonomyCategory/fr-4-15           : 家具 > 収納家具 > ボトルキャビネット
gid://shopify/TaxonomyCategory/fr-4-16           : 家具 > 収納家具 > ワインラック
gid://shopify/TaxonomyCategory/fr-5              : 家具 > ワゴン
gid://shopify/TaxonomyCategory/fr-5-1            : 家具 > ワゴン > カート
gid://shopify/TaxonomyCategory/fr-5-2            : 家具 > ワゴン > アイランド
gid://shopify/TaxonomyCategory/fr-6              : 家具 > 椅子関連用品
gid://shopify/TaxonomyCategory/fr-6-1            : 家具 > 椅子関連用品 > ハンギングチェア用交換パーツ
gid://shopify/TaxonomyCategory/fr-7              : 家具 > 椅子
gid://shopify/TaxonomyCategory/fr-7-1            : 家具 > 椅子 > アームチェア、リクライニングチェア、スリーパーチェア
gid://shopify/TaxonomyCategory/fr-7-1-1          : 家具 > 椅子 > アームチェア、リクライニングチェア、スリーパーチェア > アームチェア
gid://shopify/TaxonomyCategory/fr-7-1-2          : 家具 > 椅子 > アームチェア、リクライニングチェア、スリーパーチェア > リクライナー
gid://shopify/TaxonomyCategory/fr-7-1-3          : 家具 > 椅子 > アームチェア、リクライニングチェア、スリーパーチェア > スリーパーチェア
gid://shopify/TaxonomyCategory/fr-7-2            : 家具 > 椅子 > ビーンバッグ
gid://shopify/TaxonomyCategory/fr-7-3            : 家具 > 椅子 > シェーズロング
gid://shopify/TaxonomyCategory/fr-7-3-1          : 家具 > 椅子 > シェーズロング > アームレスシェーズロング
gid://shopify/TaxonomyCategory/fr-7-3-2          : 家具 > 椅子 > シェーズロング > シェーズロング
gid://shopify/TaxonomyCategory/fr-7-3-3          : 家具 > 椅子 > シェーズロング > ダブルシェーズロング
gid://shopify/TaxonomyCategory/fr-7-3-5          : 家具 > 椅子 > シェーズロング > リクライニングシェーズロング
gid://shopify/TaxonomyCategory/fr-7-4            : 家具 > 椅子 > 電動マッサージチェア
gid://shopify/TaxonomyCategory/fr-7-5            : 家具 > 椅子 > 座椅子
gid://shopify/TaxonomyCategory/fr-7-6            : 家具 > 椅子 > 折りたたみ椅子
gid://shopify/TaxonomyCategory/fr-7-6-1          : 家具 > 椅子 > 折りたたみ椅子 > 折りたたみ椅子
gid://shopify/TaxonomyCategory/fr-7-6-2          : 家具 > 椅子 > 折りたたみ椅子 > 折りたたみスツール
gid://shopify/TaxonomyCategory/fr-7-7            : 家具 > 椅子 > ゲーム用椅子
gid://shopify/TaxonomyCategory/fr-7-8            : 家具 > 椅子 > ハンギングチェア
gid://shopify/TaxonomyCategory/fr-7-9            : 家具 > 椅子 > ダイニングチェア
gid://shopify/TaxonomyCategory/fr-7-10           : 家具 > 椅子 > ロッキングチェア
gid://shopify/TaxonomyCategory/fr-7-10-1         : 家具 > 椅子 > ロッキングチェア > クラシックロッキングチェア
gid://shopify/TaxonomyCategory/fr-7-10-4         : 家具 > 椅子 > ロッキングチェア > 子供用ロッキングチェア
gid://shopify/TaxonomyCategory/fr-7-10-5         : 家具 > 椅子 > ロッキングチェア > 子供部屋用ロッキングチェア
gid://shopify/TaxonomyCategory/fr-7-11           : 家具 > 椅子 > ラウンジチェア
gid://shopify/TaxonomyCategory/fr-7-12           : 家具 > 椅子 > バースツール
gid://shopify/TaxonomyCategory/fr-7-12-1         : 家具 > 椅子 > バースツール > 調整可能なバースツール
gid://shopify/TaxonomyCategory/fr-7-12-2         : 家具 > 椅子 > バースツール > バースツール
gid://shopify/TaxonomyCategory/fr-8              : 家具 > デイベッド
gid://shopify/TaxonomyCategory/fr-9              : 家具 > テレビ台・オーディオラック
gid://shopify/TaxonomyCategory/fr-10             : 家具 > 家具セット
gid://shopify/TaxonomyCategory/fr-10-1           : 家具 > 家具セット > 浴室家具セット
gid://shopify/TaxonomyCategory/fr-10-2           : 家具 > 家具セット > 寝室用家具セット
gid://shopify/TaxonomyCategory/fr-10-3           : 家具 > 家具セット > キッチン・ダイニング用家具セット
gid://shopify/TaxonomyCategory/fr-10-4           : 家具 > 家具セット > リビング用家具セット
gid://shopify/TaxonomyCategory/fr-11             : 家具 > フトンソファ
gid://shopify/TaxonomyCategory/fr-11-1           : 家具 > フトンソファ > フトンソファ用フレーム
gid://shopify/TaxonomyCategory/fr-11-2           : 家具 > フトンソファ > 布団パッド
gid://shopify/TaxonomyCategory/fr-12             : 家具 > オフィス家具
gid://shopify/TaxonomyCategory/fr-12-1           : 家具 > オフィス家具 > 机・デスク
gid://shopify/TaxonomyCategory/fr-12-2           : 家具 > オフィス家具 > オフィスチェア
gid://shopify/TaxonomyCategory/fr-12-3           : 家具 > オフィス家具 > オフィス家具セット
gid://shopify/TaxonomyCategory/fr-12-4           : 家具 > オフィス家具 > オフィステーブル
gid://shopify/TaxonomyCategory/fr-12-4-1         : 家具 > オフィス家具 > オフィステーブル > 製図・作図用デスク
gid://shopify/TaxonomyCategory/fr-12-4-2         : 家具 > オフィス家具 > オフィステーブル > 会議用テーブル
gid://shopify/TaxonomyCategory/fr-12-5           : 家具 > オフィス家具 > パーティション・間仕切り
gid://shopify/TaxonomyCategory/fr-13             : 家具 > オフィス家具関連用品
gid://shopify/TaxonomyCategory/fr-13-1           : 家具 > オフィス家具関連用品 > 机部品・関連用品
gid://shopify/TaxonomyCategory/fr-13-2           : 家具 > オフィス家具関連用品 > オフィスチェア関連用品
gid://shopify/TaxonomyCategory/fr-13-3           : 家具 > オフィス家具関連用品 > パーティション・間仕切り関連用品
